period,scenario,breakout_quality_label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,breakout_router_all_r12,strong_breakout,2,1,1,50.0,11.11,1.232,5.55,0.105,47.83,0.48,1
2025-02,context_router_all_r12,strong_breakout,2,1,1,50.0,11.11,1.232,5.55,0.105,47.83,0.48,1
2025-02,context_router_all_r12,weak_breakout,5,2,3,40.0,-45.32,0.701,-9.06,-0.121,151.67,1.51,3
2025-02,context_router_v2_all_r12,strong_breakout,2,1,1,50.0,11.11,1.232,5.55,0.105,47.83,0.48,1
2025-02,context_router_v2_all_r12,weak_breakout,4,2,2,50.0,4.65,1.046,1.16,0.103,101.7,1.01,2
2025-02,instant_all_r12,unclassified,13,5,8,38.46,-117.12,0.706,-9.01,-0.156,243.62,2.44,4
2025-02,retest_all_r12,unclassified,5,1,4,20.0,-148.21,0.253,-29.64,-0.568,148.21,1.48,2
2025-08,instant_all_r12,unclassified,2,1,1,50.0,5.8,1.11,2.9,0.1,52.72,0.52,1
2025-08,retest_all_r12,unclassified,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-10,breakout_router_all_r12,strong_breakout,1,1,0,100.0,56.46,,56.46,1.202,0.0,0.0,0
2025-10,context_router_all_r12,weak_breakout,4,3,1,75.0,135.33,3.978,33.83,0.657,45.44,0.45,1
2025-10,context_router_v2_all_r12,weak_breakout,3,2,1,66.67,73.82,2.625,24.61,0.469,45.44,0.45,1
2025-10,instant_all_r12,unclassified,5,5,0,100.0,279.01,,55.8,1.207,0.0,0.0,0
2025-10,retest_all_r12,unclassified,1,1,0,100.0,59.9,,59.9,1.203,0.0,0.0,0
2026-Q1,breakout_router_all_r12,strong_breakout,5,2,3,40.0,-44.47,0.696,-8.89,-0.123,146.33,1.46,3
2026-Q1,breakout_router_all_r12,weak_breakout,1,0,1,0.0,-48.66,0.0,-48.66,-1.022,48.66,0.49,1
2026-Q1,context_router_all_r12,strong_breakout,3,2,1,66.67,50.59,1.987,16.86,0.464,51.27,0.51,1
2026-Q1,context_router_all_r12,weak_breakout,10,4,6,40.0,-58.52,0.783,-5.85,-0.137,177.43,1.75,3
2026-Q1,context_router_v2_all_r12,strong_breakout,5,2,3,40.0,-44.47,0.696,-8.89,-0.123,146.33,1.46,3
2026-Q1,context_router_v2_all_r12,weak_breakout,5,3,2,60.0,78.82,2.097,15.76,0.303,36.92,0.37,1
2026-Q1,instant_all_r12,unclassified,29,11,18,37.93,-238.83,0.723,-8.24,-0.169,512.33,5.0,6
2026-Q1,retest_all_r12,unclassified,18,6,12,33.33,-193.81,0.648,-10.77,-0.273,314.5,3.11,4
