period,scenario,direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,breakout_router_all_r12,SHORT,2,1,1,50.0,11.11,1.232,5.55,0.105,47.83,0.48,1
2025-02,context_router_all_r12,LONG,3,1,2,33.33,-49.03,0.505,-16.34,-0.271,99.11,0.99,2
2025-02,context_router_all_r12,SHORT,4,2,2,50.0,14.82,1.148,3.71,0.104,52.56,0.53,1
2025-02,context_router_v2_all_r12,LONG,2,1,1,50.0,0.94,1.019,0.47,0.104,49.14,0.49,1
2025-02,context_router_v2_all_r12,SHORT,4,2,2,50.0,14.82,1.148,3.71,0.104,52.56,0.53,1
2025-02,instant_all_r12,LONG,6,2,4,33.33,-92.48,0.537,-15.41,-0.272,145.12,1.44,3
2025-02,instant_all_r12,SHORT,7,3,4,42.86,-24.64,0.876,-3.52,-0.057,146.82,1.47,3
2025-02,retest_all_r12,LONG,2,1,1,50.0,-0.74,0.985,-0.37,0.087,50.82,0.51,1
2025-02,retest_all_r12,SHORT,3,0,3,0.0,-147.47,0.0,-49.16,-1.004,147.47,1.47,3
2025-08,instant_all_r12,LONG,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-08,instant_all_r12,SHORT,1,0,1,0.0,-52.72,0.0,-52.72,-1.006,52.72,0.53,1
2025-08,retest_all_r12,LONG,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-10,breakout_router_all_r12,LONG,1,1,0,100.0,56.46,,56.46,1.202,0.0,0.0,0
2025-10,context_router_all_r12,LONG,2,1,1,50.0,14.46,1.318,7.23,0.102,45.44,0.45,1
2025-10,context_router_all_r12,SHORT,2,2,0,100.0,120.87,,60.44,1.212,0.0,0.0,0
2025-10,context_router_v2_all_r12,LONG,2,1,1,50.0,14.46,1.318,7.23,0.102,45.44,0.45,1
2025-10,context_router_v2_all_r12,SHORT,1,1,0,100.0,59.36,,59.36,1.203,0.0,0.0,0
2025-10,instant_all_r12,LONG,2,2,0,100.0,98.03,,49.02,1.203,0.0,0.0,0
2025-10,instant_all_r12,SHORT,3,3,0,100.0,180.98,,60.33,1.21,0.0,0.0,0
2025-10,retest_all_r12,LONG,1,1,0,100.0,59.9,,59.9,1.203,0.0,0.0,0
2026-Q1,breakout_router_all_r12,LONG,2,1,1,50.0,-4.82,0.901,-2.41,0.09,48.66,0.49,1
2026-Q1,breakout_router_all_r12,SHORT,4,1,3,25.0,-88.31,0.397,-22.08,-0.454,146.33,1.46,3
2026-Q1,context_router_all_r12,LONG,5,3,2,60.0,72.83,1.834,14.57,0.297,87.37,0.86,2
2026-Q1,context_router_all_r12,SHORT,8,3,5,37.5,-80.76,0.654,-10.1,-0.183,233.1,2.32,5
2026-Q1,context_router_v2_all_r12,LONG,4,3,1,75.0,125.27,4.586,31.32,0.632,34.93,0.34,1
2026-Q1,context_router_v2_all_r12,SHORT,6,2,4,33.33,-90.92,0.504,-15.15,-0.271,183.25,1.83,4
2026-Q1,instant_all_r12,LONG,15,5,10,33.33,-217.92,0.566,-14.53,-0.273,364.45,3.6,3
2026-Q1,instant_all_r12,SHORT,14,6,8,42.86,-20.91,0.942,-1.49,-0.057,269.45,2.64,5
2026-Q1,retest_all_r12,LONG,7,2,5,28.57,-108.25,0.524,-15.46,-0.384,168.51,1.68,3
2026-Q1,retest_all_r12,SHORT,11,4,7,36.36,-85.56,0.735,-7.78,-0.202,151.45,1.51,3
