period,scenario,label,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_dd,max_dd_pct,max_consecutive_losses
2025-02,breakout_router_all_r12,strong_breakout,2,1,1,50.0,11.11,1.232,5.55,0.105,47.83,0.48,1
2025-02,context_router_all_r12,strong_breakout_clean_context,2,1,1,50.0,11.11,1.232,5.55,0.105,47.83,0.48,1
2025-02,context_router_all_r12,weak_breakout_clean_context,5,2,3,40.0,-45.32,0.701,-9.06,-0.121,151.67,1.51,3
2025-02,context_router_v2_all_r12,strong_breakout_clean_context,2,1,1,50.0,11.11,1.232,5.55,0.105,47.83,0.48,1
2025-02,context_router_v2_all_r12,weak_breakout_clean_context,4,2,2,50.0,4.65,1.046,1.16,0.103,101.7,1.01,2
2025-02,instant_all_r12,clean_nested_nwave_entry,1,0,1,0.0,-50.82,0.0,-50.82,-1.035,50.82,0.51,1
2025-02,instant_all_r12,neckline_break_initial,2,1,1,50.0,13.19,1.294,6.59,0.1,44.93,0.45,1
2025-02,instant_all_r12,neckline_break_late,10,4,6,40.0,-79.49,0.737,-7.95,-0.119,147.87,1.48,2
2025-02,retest_all_r12,retest_confirmation_entry,4,1,3,25.0,-97.39,0.34,-24.35,-0.451,99.64,1.0,2
2025-02,retest_all_r12,retest_then_go_after_return_inside,1,0,1,0.0,-50.82,0.0,-50.82,-1.035,50.82,0.51,1
2025-08,instant_all_r12,neckline_break_late,2,1,1,50.0,5.8,1.11,2.9,0.1,52.72,0.52,1
2025-08,retest_all_r12,retest_confirmation_entry,1,1,0,100.0,58.52,,58.52,1.206,0.0,0.0,0
2025-10,breakout_router_all_r12,strong_breakout,1,1,0,100.0,56.46,,56.46,1.202,0.0,0.0,0
2025-10,context_router_all_r12,weak_breakout_clean_context,4,3,1,75.0,135.33,3.978,33.83,0.657,45.44,0.45,1
2025-10,context_router_v2_all_r12,weak_breakout_clean_context,3,2,1,66.67,73.82,2.625,24.61,0.469,45.44,0.45,1
2025-10,instant_all_r12,neckline_break_initial,3,3,0,100.0,157.39,,52.46,1.203,0.0,0.0,0
2025-10,instant_all_r12,neckline_break_late,2,2,0,100.0,121.62,,60.81,1.214,0.0,0.0,0
2025-10,retest_all_r12,retest_then_go_after_return_inside,1,1,0,100.0,59.9,,59.9,1.203,0.0,0.0,0
2026-Q1,breakout_router_all_r12,strong_breakout,5,2,3,40.0,-44.47,0.696,-8.89,-0.123,146.33,1.46,3
2026-Q1,breakout_router_all_r12,weak_breakout_retest_confirmed,1,0,1,0.0,-48.66,0.0,-48.66,-1.022,48.66,0.49,1
2026-Q1,context_router_all_r12,strong_breakout_clean_context,3,2,1,66.67,50.59,1.987,16.86,0.464,51.27,0.51,1
2026-Q1,context_router_all_r12,weak_breakout_clean_context,10,4,6,40.0,-58.52,0.783,-5.85,-0.137,177.43,1.75,3
2026-Q1,context_router_v2_all_r12,strong_breakout_clean_context,5,2,3,40.0,-44.47,0.696,-8.89,-0.123,146.33,1.46,3
2026-Q1,context_router_v2_all_r12,weak_breakout_clean_context,5,3,2,60.0,78.82,2.097,15.76,0.303,36.92,0.37,1
2026-Q1,instant_all_r12,chasing_after_break,2,1,1,50.0,7.68,1.153,3.84,0.092,50.32,0.5,1
2026-Q1,instant_all_r12,clean_nested_nwave_entry,3,1,2,33.33,-29.04,0.658,-9.68,-0.291,49.92,0.5,1
2026-Q1,instant_all_r12,neckline_break_initial,5,1,4,20.0,-163.77,0.211,-32.75,-0.566,163.77,1.64,3
2026-Q1,instant_all_r12,neckline_break_late,19,8,11,42.11,-53.7,0.897,-2.83,-0.073,358.6,3.49,5
2026-Q1,retest_all_r12,retest_confirmation_entry,14,6,8,42.86,-15.71,0.958,-1.12,-0.058,172.77,1.71,3
2026-Q1,retest_all_r12,retest_then_go_after_return_inside,4,0,4,0.0,-178.1,0.0,-44.53,-1.025,178.1,1.78,4
