period,scenario,event,symbol,direction,session,label,fail_reason,breakout_quality_label,breakout_quality_reason,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.89,0.58,0.43,0.75,0.16,0.26,5
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURJPY,SHORT,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.45,0.44,0.44,0.99,0.28,0.28,5
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURUSD,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,0.07,0.03,0.03,0.94,0.56,0.44,6
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,EURUSD,SHORT,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,0.04,0.03,0.03,0.76,0.76,0.21,7
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.37,0.77,0.84,1.09,0.13,0.1,10
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close|large_directional_wick,0.92,0.29,0.22,0.76,0.71,0.29,9
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_08_15,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close,0.01,0.57,0.36,0.64,0.13,0.3,13
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,AUDJPY,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|sl_too_wide_for_router,0.09,0.88,1.28,1.46,0.12,0.0,8
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,XAUUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,weak_directional_close,0.3,0.86,0.87,1.01,0.07,0.07,7
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,blocked_candidate,XAUUSD,LONG,server_16_23,dirty_breakout,dirty_breakout,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick|sl_too_wide_for_router,0.06,0.32,0.12,0.39,0.66,0.34,12
