period,scenario,direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,fx_net,xauusd_net,long_net,short_net,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,SHORT,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,-47.83,97.58,0,49.75,1.541,0.602,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_best_H4_H1_M15_2R,SHORT,2,1,1,50.0,49.75,2.04,24.88,0.503,47.83,0.48,-47.83,97.58,0,49.75,1.541,0.602,50.0,50.0,50.0,50.0
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,6,1,5,16.67,-163.64,0.342,-27.27,-0.507,248.69,2.47,-203.62,39.98,-163.64,0,1.083,1.348,66.67,50.0,16.67,83.33
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,7,3,4,42.86,92.22,1.465,13.17,0.285,146.82,1.47,-5.36,97.58,0,92.22,1.199,0.521,42.86,42.86,42.86,42.86
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,LONG,6,1,5,16.67,-163.64,0.342,-27.27,-0.507,248.69,2.47,-203.62,39.98,-163.64,0,1.083,1.348,66.67,50.0,16.67,83.33
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,SHORT,6,2,4,33.33,-3.3,0.983,-0.55,-0.0,146.82,1.47,-100.88,97.58,0,-3.3,1.032,0.535,33.33,33.33,33.33,50.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,LONG,2,1,1,50.0,37.22,1.732,18.61,0.483,50.82,0.5,-50.82,88.04,37.22,0,1.359,1.496,100.0,50.0,50.0,50.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_all_H4_H1_M15_2R,SHORT,3,0,3,0.0,-147.47,0.0,-49.16,-1.004,147.47,1.47,-147.47,0,0,-147.47,0.12,0.608,0.0,0.0,0.0,33.33
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,LONG,2,1,1,50.0,37.22,1.732,18.61,0.483,50.82,0.5,-50.82,88.04,37.22,0,1.359,1.496,100.0,50.0,50.0,50.0
2025-02,Nested_NWave_RetestConfirmation_BOTH_best_H4_H1_M15_2R,SHORT,3,0,3,0.0,-147.47,0.0,-49.16,-1.004,147.47,1.47,-147.47,0,0,-147.47,0.12,0.608,0.0,0.0,0.0,33.33
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,LONG,1,1,0,100.0,79.91,,79.91,2.009,0.0,0.0,0,79.91,79.91,0,2.185,0.247,100.0,100.0,100.0,100.0
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,SHORT,1,0,1,0.0,-52.77,0.0,-52.77,-1.006,52.77,0.53,-52.77,0,0,-52.77,0.616,0.991,100.0,0.0,0.0,100.0
