period,scenario,run,entry_selection_mode,candidate_index,time,month,hour,session,symbol,direction,fx_bucket,event,router_decision,breakout_quality_label,breakout_quality_reason,fail_reason,execution_block_reason,label,fib_zone,neckline_break_label,h4_trend_state,h1_counter_trend_state,h4_fib_retracement_pct,entry_price,sl,tp,volume,risk_r,rr,sl_atr,tp_atr,neckline_price,right_side_level,distance_neckline_to_entry_atr,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,hypothetical_exit_time,hypothetical_exit_price,hypothetical_outcome,hypothetical_result_R,hypothetical_net_profit,same_bar_ambiguous,bars_to_exit,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,false_break_return_inside_neckline,false_break_return_bars,cohort,h4_fib_bucket,sl_atr_bucket,neckline_touch_bucket,close_strength_bucket,close_distance_bucket,body_atr_bucket,body_ratio_bucket,directional_wick_bucket,mfe_bucket,mae_bucket,context_quality_v0,context_quality_reasons_v0,context_quality_score_v0
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,1,2025.02.04 08:04:59,2025-02,08,server_08_15,EURJPY,SHORT,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,51.87,159.853,160.161,159.237,0.25,0.308,2.0,1.83,3.66,160.016,160.131,0.97,1.35,0.33,0.32,0.97,0.13,0.54,5,2025.02.11 09:05:00,159.237,tp_hit,2.0,96.15,0,0,10.802,0.0,1,1,1,1,1,10140.0,10140.0,10140.0,10140.0,10140.0,0,,2025-02_other_dirty_weak,50-58_mid,1.5-2.0,5-8_moderate,0.35-0.60_mixed_close,0.80+_far,0.25-0.60_normal,0.30-0.60_mixed,<0.20_clean_wick,2R+,<0.5R,clean_context_v0,h4_mid_pullback|neckline_not_stale|sl_atr_ok|break_too_far|directional_close_mixed|body_atr_usable|wick_ok,5
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,2,2025.02.04 08:19:59,2025-02,08,server_08_15,EURJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,51.87,159.82,160.161,159.138,0.22,0.341,2.0,1.97,3.94,160.016,160.131,1.13,0.89,0.58,0.43,0.75,0.16,0.26,5,2025.02.11 09:05:00,159.138,tp_hit,2.0,93.68,0,0,9.66,0.0,1,1,1,1,1,10125.0,10125.0,10125.0,10125.0,10125.0,0,,2025-02_other_dirty_weak,50-58_mid,1.5-2.0,5-8_moderate,<0.35_weak_close,0.80+_far,0.25-0.60_normal,0.30-0.60_mixed,<0.20_clean_wick,2R+,<0.5R,mixed_context_v0,h4_mid_pullback|neckline_not_stale|sl_atr_ok|break_too_far|directional_close_weak|body_atr_usable|wick_ok,5
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,3,2025.02.04 08:34:59,2025-02,08,server_08_15,EURJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,51.87,159.866,160.161,159.276,0.26,0.295,2.0,1.7,3.41,160.016,160.131,0.87,0.45,0.44,0.44,0.99,0.28,0.28,5,2025.02.11 09:05:00,159.276,tp_hit,2.0,95.78,0,0,11.322,0.0,1,1,1,1,1,10110.0,10110.0,10110.0,10110.0,10110.0,0,,2025-02_other_dirty_weak,50-58_mid,1.5-2.0,5-8_moderate,<0.35_weak_close,0.40-0.80_extended,0.25-0.60_normal,0.30-0.60_mixed,0.20-0.45_mixed_wick,2R+,<0.5R,clean_context_v0,h4_mid_pullback|neckline_not_stale|sl_atr_ok|break_distance_usable|directional_close_weak|body_atr_usable|wick_ok,6
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,4,2025.02.04 08:49:59,2025-02,08,server_08_15,EURJPY,SHORT,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,51.87,159.824,160.161,159.15,0.23,0.337,2.0,1.86,3.72,160.016,160.131,1.06,1.52,0.98,1.08,1.09,0.01,0.99,6,2025.02.11 09:05:00,159.15,tp_hit,2.0,96.79,0,0,9.786,0.0,1,1,1,1,1,10095.0,10095.0,10095.0,10095.0,10095.0,0,,2025-02_other_dirty_weak,50-58_mid,1.5-2.0,5-8_moderate,0.60+_strong_close,0.80+_far,1.00+_overextended,0.60+_body,<0.20_clean_wick,2R+,<0.5R,mixed_context_v0,h4_mid_pullback|neckline_not_stale|sl_atr_ok|break_too_far|directional_close_strong|body_overextended|wick_ok,5
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,5,2025.02.04 19:34:59,2025-02,19,server_16_23,EURUSD,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,58.06,1.03715,1.03885,1.03375,0.29,0.0017,2.0,1.37,2.73,1.03726,1.03867,0.09,0.07,0.03,0.03,0.94,0.56,0.44,6,2025.02.11 09:50:00,1.03375,tp_hit,2.0,98.6,0,0,3.988,0.0,1,1,1,1,1,9495.0,9495.0,9495.0,9495.0,9495.0,0,,2025-02_other_dirty_weak,58-62_deep_edge,1.0-1.5,5-8_moderate,0.35-0.60_mixed_close,<0.20_shallow_break,<0.25_small_body,<0.30_wicky,0.45+_large_wick,2R+,<0.5R,poor_context_v0,h4_edge_pullback|neckline_not_stale|sl_atr_ok|break_too_shallow|directional_close_mixed|body_too_small|large_directional_wick,2
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,6,2025.02.04 19:49:59,2025-02,19,server_16_23,EURUSD,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,58.06,1.03716,1.03885,1.03378,0.29,0.00169,2.0,1.41,2.83,1.03726,1.03867,0.08,0.04,0.03,0.03,0.76,0.76,0.21,7,2025.02.11 09:50:00,1.03378,tp_hit,2.0,98.02,0,0,4.018,0.0,1,1,1,1,1,9480.0,9480.0,9480.0,9480.0,9480.0,0,,2025-02_other_dirty_weak,58-62_deep_edge,1.0-1.5,5-8_moderate,<0.35_weak_close,<0.20_shallow_break,<0.25_small_body,<0.30_wicky,0.45+_large_wick,2R+,<0.5R,poor_context_v0,h4_edge_pullback|neckline_not_stale|sl_atr_ok|break_too_shallow|directional_close_weak|body_too_small|large_directional_wick,2
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,7,2025.02.06 10:19:59,2025-02,10,server_08_15,AUDJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,60.98,95.498,95.315,95.864,0.41,0.183,2.0,1.83,3.67,95.426,95.343,0.72,0.37,0.77,0.84,1.09,0.13,0.1,10,2025.02.06 15:40:00,95.315,sl_hit,-1.0,-46.85,0,64,0.902,1.055,1,0,0,0,0,50.0,,,,,0,,2025-02_other_dirty_weak,58-62_deep_edge,1.5-2.0,9-12_tested,<0.35_weak_close,0.20-0.40_normal,0.60-1.00_large,0.60+_body,<0.20_clean_wick,0.5-1R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_distance_usable|directional_close_weak|body_atr_usable|wick_ok,4
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,8,2025.02.06 10:49:59,2025-02,10,server_08_15,AUDJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|large_directional_wick,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,60.98,95.503,95.315,95.879,0.4,0.188,2.0,1.91,3.82,95.426,95.343,0.78,0.92,0.29,0.22,0.76,0.71,0.29,9,2025.02.06 15:40:00,95.315,sl_hit,-1.0,-46.96,0,58,0.851,1.053,1,0,0,0,0,20.0,,,,,0,,2025-02_other_dirty_weak,58-62_deep_edge,1.5-2.0,9-12_tested,<0.35_weak_close,0.80+_far,<0.25_small_body,<0.30_wicky,0.45+_large_wick,0.5-1R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_too_far|directional_close_weak|body_too_small|large_directional_wick,1
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,9,2025.02.06 11:49:59,2025-02,11,server_08_15,AUDJPY,LONG,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,60.98,95.615,95.434,95.977,0.42,0.181,2.0,1.9,3.8,95.57,95.462,0.47,0.37,0.25,0.14,0.56,0.36,0.64,12,2025.02.06 14:00:00,95.434,sl_hit,-1.0,-47.47,0,26,0.0,1.022,0,0,0,0,0,,,,,,1,2,2025-02_other_dirty_weak,58-62_deep_edge,1.5-2.0,9-12_tested,0.60+_strong_close,0.20-0.40_normal,<0.25_small_body,<0.30_wicky,0.20-0.45_mixed_wick,<0.5R,1-1.5R,poor_context_v0,h4_edge_pullback|neckline_over_tested|sl_atr_ok|break_distance_usable|directional_close_strong|body_too_small|wick_ok,4
2025-02,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,10,2025.02.06 12:04:59,2025-02,12,server_08_15,AUDJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,54.83,95.598,95.434,95.926,0.46,0.164,2.0,1.76,3.51,95.57,95.462,0.3,0.01,0.57,0.36,0.64,0.13,0.3,13,2025.02.06 14:00:00,95.434,sl_hit,-1.0,-47.11,0,23,0.098,1.024,0,0,0,0,0,,,,,,1,0,2025-02_other_dirty_weak,50-58_mid,1.5-2.0,13+_stale,<0.35_weak_close,<0.20_shallow_break,0.25-0.60_normal,0.30-0.60_mixed,<0.20_clean_wick,<0.5R,1-1.5R,poor_context_v0,h4_mid_pullback|neckline_over_tested|sl_atr_ok|break_too_shallow|directional_close_weak|body_atr_usable|wick_ok,4
