period,scenario,trade_index,open_time,symbol,direction,net_profit,label,breakout_close_strength_raw,close_position_in_bar_raw,close_position_in_bar_low_side_raw,breakout_close_strength_directional,close_position_in_bar_directional,directional_strength_pass_0_60,retest_quality,failure_type,winning_type
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,neckline_break_late,0.632,0.632,0.368,0.368,0.368,0,unclear,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,neckline_break_late,0.835,0.835,0.165,0.165,0.165,0,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,neckline_break_late,0.527,0.527,0.473,0.527,0.527,0,no_retest_break_and_go,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,neckline_break_initial,0.369,0.369,0.631,0.369,0.369,0,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,clean_nested_nwave_entry,0.324,0.324,0.676,0.324,0.324,0,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2025.02.14 11:50:00,GBPJPY,LONG,-49.37,neckline_break_late,0.107,0.107,0.893,0.107,0.107,0,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2025.02.21 06:05:00,EURJPY,SHORT,-47.47,neckline_break_late,0.265,0.265,0.735,0.735,0.735,1,unclear,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2025.02.21 10:35:00,EURJPY,SHORT,97.32,neckline_break_initial,0.951,0.951,0.049,0.049,0.049,0,no_retest_break_and_go,,retest_then_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2025.02.24 01:05:00,XAUUSD,SHORT,97.58,neckline_break_late,0.854,0.854,0.146,0.146,0.146,0,shallow_retest_then_go,,fast_follow_through
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2025.02.24 18:20:00,USDJPY,SHORT,-51.379999999999995,neckline_break_late,0.932,0.932,0.068,0.068,0.068,0,immediate_full_false_break,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2025.02.25 13:05:00,GBPJPY,LONG,-48.76,neckline_break_late,0.22,0.22,0.78,0.22,0.22,0,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2025.02.26 19:50:00,EURUSD,LONG,-54.67,neckline_break_late,0.25,0.25,0.75,0.25,0.25,0,immediate_full_false_break,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,neckline_break_late,0.632,0.632,0.368,0.368,0.368,0,unclear,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,neckline_break_late,0.835,0.835,0.165,0.165,0.165,0,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,neckline_break_late,0.527,0.527,0.473,0.527,0.527,0,no_retest_break_and_go,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,neckline_break_initial,0.369,0.369,0.631,0.369,0.369,0,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,clean_nested_nwave_entry,0.324,0.324,0.676,0.324,0.324,0,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2025.02.14 11:50:00,GBPJPY,LONG,-49.37,neckline_break_late,0.107,0.107,0.893,0.107,0.107,0,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2025.02.21 06:05:00,EURJPY,SHORT,-47.47,neckline_break_late,0.265,0.265,0.735,0.735,0.735,1,unclear,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2025.02.21 10:35:00,EURJPY,SHORT,97.32,neckline_break_initial,0.951,0.951,0.049,0.049,0.049,0,no_retest_break_and_go,,retest_then_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2025.02.24 01:05:00,XAUUSD,SHORT,97.58,neckline_break_late,0.854,0.854,0.146,0.146,0.146,0,shallow_retest_then_go,,fast_follow_through
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2025.02.24 18:20:00,USDJPY,SHORT,-51.379999999999995,neckline_break_late,0.932,0.932,0.068,0.068,0.068,0,immediate_full_false_break,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2025.02.24 18:35:00,AUDJPY,SHORT,95.52,neckline_break_late,0.717,0.717,0.283,0.283,0.283,0,no_retest_break_and_go,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2025.02.25 13:05:00,GBPJPY,LONG,-48.76,neckline_break_late,0.22,0.22,0.78,0.22,0.22,0,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2025.02.26 19:50:00,EURUSD,LONG,-54.67,neckline_break_late,0.25,0.25,0.75,0.25,0.25,0,immediate_full_false_break,false_breakout,
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.08.06 16:35:00,XAUUSD,LONG,79.91,neckline_break_late,0.224,0.224,0.776,0.224,0.224,0,shallow_retest_then_go,,retest_then_go
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.08.21 17:20:00,GBPJPY,SHORT,-52.77,neckline_break_late,0.987,0.987,0.013,0.013,0.013,0,return_inside_and_fail,false_breakout,
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.08.06 16:35:00,XAUUSD,LONG,79.91,neckline_break_late,0.224,0.224,0.776,0.224,0.224,0,shallow_retest_then_go,,retest_then_go
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.08.21 17:20:00,GBPJPY,SHORT,-52.77,neckline_break_late,0.987,0.987,0.013,0.013,0.013,0,return_inside_and_fail,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,neckline_break_initial,0.141,0.141,0.859,0.141,0.141,0,deep_retest_but_reclaim,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,neckline_break_initial,0.537,0.537,0.463,0.463,0.463,0,deep_retest_but_reclaim,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,neckline_break_late,0.745,0.745,0.255,0.255,0.255,0,no_retest_break_and_go,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.10.17 23:35:00,XAUUSD,LONG,63.94,neckline_break_initial,0.396,0.396,0.604,0.396,0.396,0,no_retest_break_and_go,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,neckline_break_initial,0.141,0.141,0.859,0.141,0.141,0,deep_retest_but_reclaim,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,neckline_break_initial,0.537,0.537,0.463,0.463,0.463,0,deep_retest_but_reclaim,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,neckline_break_late,0.745,0.745,0.255,0.255,0.255,0,no_retest_break_and_go,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.10.20 09:20:00,USDJPY,SHORT,100.87,neckline_break_late,0.96,0.96,0.04,0.04,0.04,0,no_retest_break_and_go,,fast_follow_through
2025-10,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.10.17 23:35:00,XAUUSD,LONG,63.94,neckline_break_initial,0.396,0.396,0.604,0.396,0.396,0,no_retest_break_and_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2026.01.14 20:05:00,USDJPY,LONG,-43.419999999999995,neckline_break_late,0.676,0.676,0.324,0.676,0.676,1,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2026.01.16 15:35:00,GBPUSD,SHORT,99.94,neckline_break_late,0.024,0.024,0.976,0.976,0.976,1,shallow_retest_then_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2026.01.16 18:05:00,GBPUSD,SHORT,-48.94,neckline_break_late,0.743,0.743,0.257,0.257,0.257,0,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2026.01.21 16:05:00,GBPUSD,LONG,-47.96,neckline_break_late,0.062,0.062,0.938,0.062,0.062,0,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2026.01.28 13:05:00,GBPUSD,LONG,-49.28,neckline_break_late,0.0,0.0,1.0,0.0,0.0,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2026.01.28 20:05:00,GBPUSD,LONG,-48.0,clean_nested_nwave_entry,0.457,0.457,0.543,0.457,0.457,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2026.01.29 01:05:00,EURUSD,LONG,98.55,neckline_break_late,0.857,0.857,0.143,0.857,0.857,1,no_retest_break_and_go,,retest_then_go
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2026.01.30 01:50:00,XAUUSD,LONG,-70.76,neckline_break_initial,0.846,0.846,0.154,0.846,0.846,1,unclear,no_follow_through,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2026.02.03 13:50:00,XAUUSD,SHORT,-36.92,neckline_break_late,0.001,0.001,0.999,0.999,0.999,1,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2026.02.12 18:50:00,USDJPY,SHORT,-53.13,neckline_break_late,0.408,0.408,0.592,0.592,0.592,0,unclear,late_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2026.02.13 16:50:00,GBPJPY,SHORT,-48.41,neckline_break_late,0.409,0.409,0.591,0.591,0.591,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2026.02.13 17:20:00,EURJPY,SHORT,-50.4,neckline_break_late,0.354,0.354,0.646,0.646,0.646,1,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,13,2026.02.18 12:50:00,XAUUSD,SHORT,-42.56,neckline_break_initial,0.583,0.583,0.417,0.417,0.417,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,14,2026.02.23 17:35:00,EURUSD,LONG,-47.79,neckline_break_late,0.0,0.0,1.0,0.0,0.0,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,15,2026.02.26 09:35:00,USDJPY,LONG,-47.63,neckline_break_late,0.027,0.027,0.973,0.027,0.027,0,return_inside_and_fail,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,16,2026.02.27 12:35:00,XAUUSD,SHORT,-46.2,neckline_break_initial,0.01,0.01,0.99,0.99,0.99,1,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,17,2026.03.02 21:20:00,XAUUSD,LONG,-38.35,neckline_break_initial,0.51,0.51,0.49,0.51,0.51,0,no_retest_break_and_go,target_too_far,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,18,2026.03.04 14:35:00,GBPUSD,SHORT,-47.82,clean_nested_nwave_entry,0.952,0.952,0.048,0.048,0.048,0,deep_retest_but_reclaim,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,19,2026.03.11 17:35:00,EURUSD,LONG,-46.2,neckline_break_late,0.232,0.232,0.768,0.232,0.232,0,immediate_full_false_break,false_breakout,
2026-Q1,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,20,2026.03.18 20:50:00,GBPUSD,LONG,-45.8,neckline_break_initial,0.014,0.014,0.986,0.014,0.014,0,return_inside_and_fail,false_breakout,
