period,run,scenario,strategy_family,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,LONG,10,6,4,60.0,237.09,2.23,23.71,,102.46,0.99
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,SHORT,6,4,2,66.67,136.59,2.418,22.77,,49.28,0.48
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,LONG,16,6,10,37.5,-26.73,0.941,-1.67,,146.06,1.44
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,SHORT,11,7,4,63.64,304.91,2.488,27.72,,155.07,1.52
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,LONG,6,1,5,16.67,-163.64,0.342,-27.27,,248.69,2.47
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,SHORT,6,2,4,33.33,-3.3,0.983,-0.55,,146.82,1.47
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,LONG,6,1,5,16.67,-163.64,0.342,-27.27,,248.69,2.47
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,SHORT,7,3,4,42.86,92.22,1.465,13.17,,146.82,1.47
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,LONG,6,2,4,33.33,-70.61,0.649,-11.77,,150.31,1.49
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,SHORT,7,3,4,42.86,30.5,1.155,4.36,,97.5,0.97
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,LONG,19,10,9,52.63,276.69,1.611,14.56,,203.43,1.96
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,SHORT,14,5,9,35.71,-80.81,0.823,-5.77,,232.99,2.3
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,LONG,1,1,0,100.0,79.91,,79.91,,0.0,0.0
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,SHORT,1,0,1,0.0,-52.77,0.0,-52.77,,52.77,0.53
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,LONG,1,1,0,100.0,79.91,,79.91,,0.0,0.0
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,SHORT,1,0,1,0.0,-52.77,0.0,-52.77,,52.77,0.53
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,LONG,15,8,7,53.33,236.4,1.711,15.76,,148.92,1.47
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,SHORT,5,3,2,60.0,108.78,2.254,21.76,,48.89,0.49
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,LONG,28,13,15,46.43,222.62,1.328,7.95,,195.42,1.89
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,SHORT,10,3,7,30.0,-143.38,0.584,-14.34,,189.82,1.9
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,LONG,2,2,0,100.0,163.54,,81.77,,0.0,0.0
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,SHORT,2,1,1,50.0,49.16,1.995,24.58,,49.4,0.49
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,LONG,2,2,0,100.0,163.54,,81.77,,0.0,0.0
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,SHORT,3,2,1,66.67,150.03,4.037,50.01,,49.4,0.49
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,LONG,29,12,17,41.38,87.84,1.115,3.03,,323.43,3.13
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,SHORT,31,15,16,48.39,522.37,1.694,16.85,,198.96,1.92
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,LONG,36,13,23,36.11,-169.9,0.848,-4.72,,419.38,4.1
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,SHORT,60,30,30,50.0,1216.97,1.802,20.28,,279.06,2.45
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,LONG,14,1,13,7.14,-515.34,0.161,-36.81,,515.34,5.15
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,SHORT,11,2,9,18.18,-247.74,0.388,-22.52,,404.97,4.01
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,LONG,14,1,13,7.14,-516.66,0.16,-36.9,,516.66,5.17
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,SHORT,13,3,10,23.08,-200.02,0.559,-15.39,,357.25,3.54
