period,run,scenario,strategy_family,group,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_balance_dd,max_balance_dd_pct
2025-02,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,n/a,16,10,6,62.5,373.68,2.293,23.36,,102.46,0.99
2025-02,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,n/a,27,13,14,48.15,278.18,1.422,10.3,,199.11,1.95
2025-02,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,12,3,9,25.0,-166.94,0.626,-13.91,,207.03,2.07
2025-02,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,13,4,9,30.77,-71.42,0.84,-5.49,,207.03,2.07
2025-08,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,n/a,13,5,8,38.46,-40.11,0.899,-3.09,,247.81,2.45
2025-08,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,n/a,33,15,18,45.45,195.88,1.215,5.94,,385.97,3.67
2025-08,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-08,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,2,1,1,50.0,27.14,1.514,13.57,,52.77,0.52
2025-10,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,n/a,20,11,9,55.0,345.18,1.823,17.26,,176.76,1.75
2025-10,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,n/a,38,16,22,42.11,79.24,1.077,2.09,,253.1,2.48
2025-10,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,4,3,1,75.0,212.7,5.306,53.17,,49.4,0.49
2025-10,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,5,4,1,80.0,313.57,7.348,62.71,,49.4,0.49
2026-Q1,A,current_ThirdWave_regime_BOTH_all_5m,thirdwave_current,n/a,60,27,33,45.0,610.21,1.402,10.17,,278.5,2.65
2026-Q1,B,v4_early_reversal_BOTH_all_5m,thirdwave_v4,n/a,96,43,53,44.79,1047.07,1.397,10.91,,541.77,4.72
2026-Q1,C,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,25,3,22,12.0,-763.08,0.251,-30.52,,819.6,8.15
2026-Q1,D,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,nested_nwave,valid_h4_pullback_zone,27,4,23,14.81,-716.68,0.33,-26.54,,773.2,7.69
