period,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,retest_quality,false_break_return_inside_neckline,false_break_return_bars,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,time_to_0_5R,time_to_1R,time_to_2R,time_to_SL,failure_type,winning_type
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,-1.01,neckline_break_late,unclear,0,,0.399,1.068,0,0,0,0,,,,90.0,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,-1.0,neckline_break_late,return_inside_and_fail,1,3,0.112,0.9,0,0,0,0,,,,,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,2.0,neckline_break_late,no_retest_break_and_go,0,,2.503,0.216,1,1,1,1,165.0,220.0,305.0,,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,-1.002,neckline_break_initial,return_inside_and_fail,1,7,0.28,1.094,0,0,0,0,,,,525.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,-1.035,clean_nested_nwave_entry,return_inside_and_fail,1,0,0.581,2.934,1,0,0,0,5.0,,,20.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2025.02.14 11:50:00,GBPJPY,LONG,-49.37,-1.0,neckline_break_late,deep_retest_but_reclaim,1,1,1.024,1.053,1,1,0,0,190.0,205.0,,390.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2025.02.21 06:05:00,EURJPY,SHORT,-47.47,-1.004,neckline_break_late,unclear,0,,0.498,0.909,0,0,0,0,,,,,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2025.02.21 10:35:00,EURJPY,SHORT,97.32,2.003,neckline_break_initial,no_retest_break_and_go,0,,2.308,0.055,1,1,1,1,10.0,55.0,370.0,,,retest_then_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2025.02.24 01:05:00,XAUUSD,SHORT,97.58,2.009,neckline_break_late,shallow_retest_then_go,1,0,2.833,0.28,1,1,1,1,25.0,70.0,105.0,,,fast_follow_through
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2025.02.24 18:20:00,USDJPY,SHORT,-51.379999999999995,-1.0,neckline_break_late,immediate_full_false_break,1,1,0.444,1.066,0,0,0,0,,,,410.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2025.02.25 13:05:00,GBPJPY,LONG,-48.76,-1.0,neckline_break_late,deep_retest_but_reclaim,1,1,1.799,1.569,1,1,1,0,25.0,30.0,,235.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2025.02.26 19:50:00,EURUSD,LONG,-54.67,-1.006,neckline_break_late,immediate_full_false_break,1,0,0.31,1.224,0,0,0,0,,,,425.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,-1.01,neckline_break_late,unclear,0,,0.399,1.068,0,0,0,0,,,,90.0,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,-1.0,neckline_break_late,return_inside_and_fail,1,3,0.112,0.9,0,0,0,0,,,,,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,2.0,neckline_break_late,no_retest_break_and_go,0,,2.503,0.216,1,1,1,1,165.0,220.0,305.0,,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,-1.002,neckline_break_initial,return_inside_and_fail,1,7,0.28,1.094,0,0,0,0,,,,525.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,-1.035,clean_nested_nwave_entry,return_inside_and_fail,1,0,0.581,2.934,1,0,0,0,5.0,,,20.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,6,2025.02.14 11:50:00,GBPJPY,LONG,-49.37,-1.0,neckline_break_late,deep_retest_but_reclaim,1,1,1.024,1.053,1,1,0,0,190.0,205.0,,390.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,7,2025.02.21 06:05:00,EURJPY,SHORT,-47.47,-1.004,neckline_break_late,unclear,0,,0.498,0.909,0,0,0,0,,,,,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,8,2025.02.21 10:35:00,EURJPY,SHORT,97.32,2.003,neckline_break_initial,no_retest_break_and_go,0,,2.308,0.055,1,1,1,1,10.0,55.0,370.0,,,retest_then_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,9,2025.02.24 01:05:00,XAUUSD,SHORT,97.58,2.009,neckline_break_late,shallow_retest_then_go,1,0,2.833,0.28,1,1,1,1,25.0,70.0,105.0,,,fast_follow_through
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,10,2025.02.24 18:20:00,USDJPY,SHORT,-51.379999999999995,-1.0,neckline_break_late,immediate_full_false_break,1,1,0.444,1.066,0,0,0,0,,,,410.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,11,2025.02.24 18:35:00,AUDJPY,SHORT,95.52,2.0,neckline_break_late,no_retest_break_and_go,0,,2.201,0.437,1,1,1,1,255.0,890.0,920.0,,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,12,2025.02.25 13:05:00,GBPJPY,LONG,-48.76,-1.0,neckline_break_late,deep_retest_but_reclaim,1,1,1.799,1.569,1,1,1,0,25.0,30.0,,235.0,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,13,2025.02.26 19:50:00,EURUSD,LONG,-54.67,-1.006,neckline_break_late,immediate_full_false_break,1,0,0.31,1.224,0,0,0,0,,,,425.0,false_breakout,
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.08.06 16:35:00,XAUUSD,LONG,79.91,2.009,neckline_break_late,shallow_retest_then_go,1,0,2.185,0.247,1,1,1,1,15.0,30.0,725.0,,,retest_then_go
2025-08,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.08.21 17:20:00,GBPJPY,SHORT,-52.77,-1.006,neckline_break_late,return_inside_and_fail,1,0,0.616,0.991,1,0,0,0,400.0,,,,false_breakout,
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.08.06 16:35:00,XAUUSD,LONG,79.91,2.009,neckline_break_late,shallow_retest_then_go,1,0,2.185,0.247,1,1,1,1,15.0,30.0,725.0,,,retest_then_go
2025-08,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.08.21 17:20:00,GBPJPY,SHORT,-52.77,-1.006,neckline_break_late,return_inside_and_fail,1,0,0.616,0.991,1,0,0,0,400.0,,,,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.10.02 06:00:00,XAUUSD,LONG,99.6,2.0,neckline_break_initial,deep_retest_but_reclaim,1,7,2.177,0.904,1,1,1,1,10.0,185.0,345.0,,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.10.10 15:05:00,XAUUSD,SHORT,-49.4,-1.001,neckline_break_initial,deep_retest_but_reclaim,1,2,1.412,1.932,1,1,0,0,40.0,110.0,,180.0,false_breakout,
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.10.16 16:35:00,USDJPY,SHORT,98.56,2.0,neckline_break_late,no_retest_break_and_go,0,,2.181,0.062,1,1,1,1,0.0,10.0,55.0,,,retest_then_go
2025-10,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.10.17 23:35:00,XAUUSD,LONG,63.94,2.0,neckline_break_initial,no_retest_break_and_go,0,,2.455,0.776,1,1,1,1,2965.0,3800.0,3840.0,,,retest_then_go
