period,scenario,run,entry_selection_mode,candidate_index,time,month,hour,session,symbol,direction,fx_bucket,event,router_decision,breakout_quality_label,breakout_quality_reason,fail_reason,execution_block_reason,label,fib_zone,neckline_break_label,h4_trend_state,h1_counter_trend_state,h4_fib_retracement_pct,entry_price,sl,tp,volume,risk_r,rr,sl_atr,tp_atr,neckline_price,right_side_level,distance_neckline_to_entry_atr,breakout_close_distance_from_neckline_atr,breakout_body_ratio,breakout_body_atr,breakout_range_atr,breakout_directional_wick_ratio,breakout_close_position_directional,neckline_touch_count,hypothetical_exit_time,hypothetical_exit_price,hypothetical_outcome,hypothetical_result_R,hypothetical_net_profit,same_bar_ambiguous,bars_to_exit,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_1_5R,reached_2R,reached_3R,time_to_0_5R,time_to_1R,time_to_1_5R,time_to_2R,time_to_3R,false_break_return_inside_neckline,false_break_return_bars
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,1,2025.10.02 06:00:00,2025-10,06,server_00_07,XAUUSD,LONG,XAUUSD,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,38.36,3866.29,3861.31,3876.25,0.1,4.98,2.0,0.97,1.94,3865.17,3861.57,0.22,0.19,0.4,0.24,0.61,0.39,0.61,14,2025.10.02 11:45:00,3876.25,tp_hit,2.0,99.6,0,69,2.056,0.904,1,1,1,1,0,10.0,185.0,195.0,345.0,,1,7
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,3,2025.10.02 06:30:00,2025-10,06,server_00_07,XAUUSD,LONG,XAUUSD,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,38.36,3867.38,3861.34,3879.46,0.08,6.04,2.0,1.3,2.59,3865.17,3861.57,0.47,0.43,0.72,0.39,0.54,0.18,0.1,14,2025.10.02 12:45:00,3879.46,tp_hit,2.0,96.64,0,75,2.05,0.925,1,1,1,1,0,115.0,165.0,315.0,375.0,,1,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,4,2025.10.02 07:00:00,2025-10,07,server_00_07,XAUUSD,LONG,XAUUSD,order_blocked,strong_blocked_existing_position,strong_breakout,instant_entry_quality,existing_position,existing_position,strong_breakout,valid_h4_pullback_zone,router_strong_instant,bullish_nwave,bearish_counter_nwave,38.36,3866.73,3861.35,3877.49,0.09,5.38,2.0,1.24,2.47,3865.17,3861.57,0.36,0.31,0.67,0.43,0.65,0.22,0.78,13,2025.10.02 11:55:00,3877.49,tp_hit,2.0,96.84,0,59,2.217,0.918,1,1,1,1,0,85.0,135.0,280.0,295.0,,1,6
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,6,2025.10.10 15:19:59,2025-10,15,server_08_15,XAUUSD,SHORT,XAUUSD,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,41.78,3992.74,4000.47,3977.28,0.06,7.73,2.0,1.0,2.01,3990.81,4000.08,0.25,0.3,0.21,0.17,0.82,0.32,0.47,8,2025.10.10 16:55:00,3977.28,tp_hit,2.0,92.76,0,19,2.226,0.696,1,1,1,1,0,0.0,15.0,25.0,95.0,,1,1
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,9,2025.10.13 12:50:00,2025-10,12,server_08_15,AUDJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,56.0,99.259,99.387,99.003,0.6,0.128,2.0,1.26,2.51,99.255,99.359,0.04,0.03,0.05,0.02,0.36,0.81,0.14,7,2025.10.13 14:05:00,99.003,tp_hit,2.0,95.9,0,15,2.031,0.203,1,1,1,1,0,70.0,75.0,75.0,75.0,,1,0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,10,2025.10.13 13:04:59,2025-10,13,server_08_15,AUDJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,56.0,99.247,99.387,98.967,0.54,0.14,2.0,1.43,2.86,99.255,99.359,0.08,0.06,0.08,0.03,0.39,0.05,0.95,8,2025.10.13 14:30:00,98.967,tp_hit,2.0,94.4,0,17,2.093,0.107,1,1,1,1,0,55.0,60.0,60.0,85.0,,0,
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,12,2025.10.13 13:34:59,2025-10,13,server_08_15,AUDJPY,SHORT,FX,blocked_candidate,strong_blocked_spread_guard,strong_breakout,instant_entry_quality,spread_guard,spread_guard,strong_breakout,valid_h4_pullback_zone,router_strong_instant,bearish_nwave,bullish_counter_nwave,56.0,99.244,99.387,98.958,0.53,0.143,2.0,1.61,3.21,99.255,99.359,0.12,0.46,0.78,0.44,0.56,0.22,0.78,10,2025.10.13 14:30:00,98.958,tp_hit,2.0,94.64,0,11,2.028,0.126,1,1,1,1,0,25.0,30.0,30.0,55.0,,0,
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,16,2025.10.16 06:04:59,2025-10,06,server_00_07,EURJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,61.26,175.893,175.628,176.423,0.28,0.265,2.0,2.03,4.07,175.864,175.658,0.22,0.16,0.92,0.61,0.66,0.07,0.93,12,2025.10.16 12:15:00,176.423,tp_hit,2.0,92.67,0,74,2.034,0.219,1,1,1,1,0,100.0,125.0,215.0,370.0,,1,2
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,17,2025.10.16 06:19:59,2025-10,06,server_00_07,EURJPY,LONG,FX,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|weak_directional_close|large_directional_wick,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bullish_nwave,bearish_counter_nwave,61.26,175.88,175.628,176.384,0.3,0.252,2.0,1.96,3.92,175.864,175.658,0.12,0.06,0.25,0.16,0.62,0.5,0.25,12,2025.10.16 12:05:00,176.384,tp_hit,2.0,94.42,0,69,2.079,0.179,1,1,1,1,0,85.0,110.0,195.0,345.0,,0,
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,18,2025.10.16 16:04:59,2025-10,16,server_16_23,USDJPY,SHORT,FX,blocked_candidate,strong_blocked_spread_guard,strong_breakout,instant_entry_quality,spread_guard,spread_guard,strong_breakout,valid_h4_pullback_zone,router_strong_instant,bearish_nwave,bullish_counter_nwave,47.76,151.215,151.389,150.867,0.43,0.174,2.0,1.63,3.27,151.154,151.367,0.57,0.59,0.64,0.93,1.45,0.19,0.81,11,2025.10.16 17:10:00,150.867,tp_hit,2.0,99.19,0,13,2.006,0.109,1,1,1,1,0,5.0,40.0,65.0,65.0,,1,5
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,19,2025.10.16 16:34:59,2025-10,16,server_16_23,USDJPY,SHORT,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,47.76,151.21,151.387,150.856,0.43,0.177,2.0,1.54,3.07,151.154,151.367,0.49,0.14,0.18,0.17,0.96,0.28,0.54,12,2025.10.16 17:30:00,150.856,tp_hit,2.0,100.9,0,11,2.107,0.062,1,1,1,1,0,0.0,10.0,35.0,55.0,,0,
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,21,2025.10.17 23:34:59,2025-10,23,server_16_23,XAUUSD,LONG,XAUUSD,blocked_candidate,dirty_skipped,dirty_breakout,shallow_close_distance|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_initial,bullish_nwave,bearish_counter_nwave,60.43,4244.13,4211.75,4308.89,0.01,32.38,2.0,2.07,4.14,4244.63,4212.53,0.03,0.06,0.89,0.86,0.96,0.04,0.96,9,2025.10.20 15:35:00,4308.89,tp_hit,2.0,64.76,0,180,2.298,0.776,1,1,1,1,0,2965.0,3800.0,3820.0,3840.0,,0,
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,25,2025.10.20 09:19:59,2025-10,09,server_08_15,USDJPY,SHORT,FX,blocked_candidate,dirty_skipped,dirty_breakout,weak_directional_close|large_directional_wick|sl_too_wide_for_router,dirty_breakout,,dirty_breakout,valid_h4_pullback_zone,neckline_break_late,bearish_nwave,bullish_counter_nwave,60.28,150.705,150.902,150.311,0.38,0.197,2.0,2.08,4.16,150.804,150.887,1.04,1.66,0.04,0.04,0.95,0.69,0.27,8,2025.10.20 12:05:00,150.311,tp_hit,2.0,99.61,0,33,2.234,0.614,1,1,1,1,0,10.0,160.0,165.0,165.0,,0,
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,27,2025.10.30 09:04:59,2025-10,09,server_08_15,EURUSD,SHORT,FX,blocked_candidate,strong_blocked_spread_guard,strong_breakout,instant_entry_quality,spread_guard,spread_guard,strong_breakout,valid_h4_pullback_zone,router_strong_instant,bearish_nwave,bullish_counter_nwave,61.68,1.16263,1.16352,1.16085,0.56,0.00089,2.0,1.33,2.67,1.16261,1.16334,0.03,0.43,0.83,0.96,1.15,0.06,0.94,4,2025.10.30 11:10:00,1.16085,tp_hit,2.0,99.68,0,25,2.315,0.303,1,1,1,1,0,30.0,35.0,80.0,125.0,,1,0
2025-10,Nested_NWave_BreakoutQualityRouter_BOTH_all_H4_H1_M15_2R,H,ALL_SCORE_PASSING,28,2025.10.30 09:49:59,2025-10,09,server_08_15,EURUSD,SHORT,FX,blocked_candidate,weak_routed_to_retest,weak_breakout,route_to_retest_confirmation,weak_breakout_waiting_retest,,weak_breakout,valid_h4_pullback_zone,clean_nested_nwave_entry,bearish_nwave,bullish_counter_nwave,61.68,1.16237,1.16322,1.16067,0.59,0.00085,2.0,1.11,2.22,1.16237,1.16304,0.0,0.46,0.4,0.57,1.44,0.26,0.74,6,2025.10.30 11:10:00,1.16067,tp_hit,2.0,100.3,0,16,2.118,0.094,1,1,1,1,0,0.0,10.0,55.0,80.0,,0,
