entry_selection_mode,period,breakout_quality_label,candidates,hypothetical_wins,hypothetical_losses,hypothetical_win_rate,hypothetical_net_profit,hypothetical_profit_factor,hypothetical_expected_payoff,hypothetical_avg_R,avg_mfe_R,avg_mae_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,false_break_return_pct,same_bar_ambiguous,fx_hypothetical_net,xauusd_hypothetical_net,long_hypothetical_net,short_hypothetical_net
ALL_SCORE_PASSING,2025-02,dirty_breakout,27,8,19,29.63,-138.57,0.844,-5.13,-0.111,1.803,0.915,62.96,37.04,29.63,51.85,0,-189.49,50.92,-422.69,284.12
ALL_SCORE_PASSING,2025-02,strong_breakout,3,1,2,33.33,6.05,1.066,2.02,0.0,0.83,0.861,33.33,33.33,33.33,66.67,0,-91.11,97.16,0,6.05
ALL_SCORE_PASSING,2025-02,weak_breakout,11,5,6,45.45,185.85,1.649,16.9,0.364,2.571,0.772,54.55,45.45,45.45,54.55,0,137.75,48.1,-93.68,279.53
ALL_SCORE_PASSING,2025-08,dirty_breakout,14,8,6,57.14,462.39,2.69,33.03,0.714,1.397,0.946,71.43,64.29,57.14,64.29,0,272.85,189.54,642.25,-179.86
ALL_SCORE_PASSING,2025-08,weak_breakout,5,2,3,40.0,51.26,1.368,10.25,0.2,1.132,1.273,80.0,40.0,40.0,80.0,0,51.26,0,96.18,-44.92
ALL_SCORE_PASSING,2025-10,dirty_breakout,16,7,9,43.75,212.32,1.498,13.27,0.312,1.328,0.859,68.75,56.25,43.75,62.5,0,97.96,114.36,154.94,57.38
ALL_SCORE_PASSING,2025-10,strong_breakout,5,5,0,100.0,484.31,,96.86,2.0,2.125,0.479,100.0,100.0,100.0,80.0,0,293.51,190.8,190.8,293.51
ALL_SCORE_PASSING,2025-10,weak_breakout,7,4,3,57.14,251.46,2.77,35.92,0.714,1.428,0.83,71.43,71.43,57.14,71.43,0,153.88,97.58,54.18,197.28
ALL_SCORE_PASSING,2026-Q1,dirty_breakout,76,19,57,25.0,-781.54,0.702,-10.28,-0.25,1.189,1.048,72.37,52.63,25.0,63.16,0,-440.22,-341.32,-641.33,-140.21
ALL_SCORE_PASSING,2026-Q1,strong_breakout,8,3,5,37.5,83.31,1.403,10.41,0.125,1.264,1.086,75.0,62.5,37.5,87.5,0,165.51,-82.2,-37.16,120.47
ALL_SCORE_PASSING,2026-Q1,weak_breakout,35,10,25,28.57,-222.04,0.807,-6.34,-0.143,1.192,1.1,71.43,54.29,25.71,65.71,0,148.34,-370.38,-203.55,-18.49
BEST_ONLY,2025-02,dirty_breakout,27,8,19,29.63,-138.57,0.844,-5.13,-0.111,1.803,0.915,62.96,37.04,29.63,51.85,0,-189.49,50.92,-422.69,284.12
BEST_ONLY,2025-02,strong_breakout,3,1,2,33.33,6.05,1.066,2.02,0.0,0.83,0.861,33.33,33.33,33.33,66.67,0,-91.11,97.16,0,6.05
BEST_ONLY,2025-02,weak_breakout,11,5,6,45.45,185.85,1.649,16.9,0.364,2.571,0.772,54.55,45.45,45.45,54.55,0,137.75,48.1,-93.68,279.53
BEST_ONLY,2025-08,dirty_breakout,14,8,6,57.14,462.39,2.69,33.03,0.714,1.397,0.946,71.43,64.29,57.14,64.29,0,272.85,189.54,642.25,-179.86
BEST_ONLY,2025-08,weak_breakout,5,2,3,40.0,51.26,1.368,10.25,0.2,1.132,1.273,80.0,40.0,40.0,80.0,0,51.26,0,96.18,-44.92
BEST_ONLY,2025-10,dirty_breakout,16,7,9,43.75,212.32,1.498,13.27,0.312,1.328,0.859,68.75,56.25,43.75,62.5,0,97.96,114.36,154.94,57.38
BEST_ONLY,2025-10,strong_breakout,5,5,0,100.0,484.31,,96.86,2.0,2.125,0.479,100.0,100.0,100.0,80.0,0,293.51,190.8,190.8,293.51
BEST_ONLY,2025-10,weak_breakout,7,4,3,57.14,251.46,2.77,35.92,0.714,1.428,0.83,71.43,71.43,57.14,71.43,0,153.88,97.58,54.18,197.28
BEST_ONLY,2026-Q1,dirty_breakout,76,19,57,25.0,-781.54,0.702,-10.28,-0.25,1.189,1.048,72.37,52.63,25.0,63.16,0,-440.22,-341.32,-641.33,-140.21
BEST_ONLY,2026-Q1,strong_breakout,8,3,5,37.5,83.31,1.403,10.41,0.125,1.264,1.086,75.0,62.5,37.5,87.5,0,165.51,-82.2,-37.16,120.47
BEST_ONLY,2026-Q1,weak_breakout,35,10,25,28.57,-222.04,0.807,-6.34,-0.143,1.192,1.1,71.43,54.29,25.71,65.71,0,148.34,-370.38,-203.55,-18.49
