period,scenario,trade_index,open_time,symbol,direction,net_profit,final_result_R,label,true_clean_candidate_v0,breakout_close_strength_directional,entry_close_distance_from_neckline_atr,false_break_return_inside_neckline,sl_atr,h4_pullback_depth_bucket,retest_quality,failure_type,winning_type
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,-1.01,neckline_break_late,0,0.368,0.97,0,1.83,50-58,unclear,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,-1.0,neckline_break_late,0,0.165,0.089,1,1.37,58-62_deep_zone,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,2.0,neckline_break_late,0,0.527,0.508,0,1.91,38-42_shallow_zone,no_retest_break_and_go,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,-1.002,neckline_break_initial,0,0.369,0.04,1,2.03,50-58,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,-1.035,clean_nested_nwave_entry,0,0.324,0.263,1,0.78,50-58,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,6,2025.02.14 11:50:00,GBPJPY,LONG,-49.37,-1.0,neckline_break_late,0,0.107,0.401,1,1.92,58-62_deep_zone,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,7,2025.02.21 06:05:00,EURJPY,SHORT,-47.47,-1.004,neckline_break_late,0,0.735,0.228,0,1.33,42-50,unclear,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,8,2025.02.21 10:35:00,EURJPY,SHORT,97.32,2.003,neckline_break_initial,0,0.049,0.349,0,2.2,50-58,no_retest_break_and_go,,retest_then_go
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,9,2025.02.24 01:05:00,XAUUSD,SHORT,97.58,2.009,neckline_break_late,0,0.146,0.597,1,1.16,58-62_deep_zone,shallow_retest_then_go,,fast_follow_through
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,10,2025.02.24 18:20:00,USDJPY,SHORT,-51.379999999999995,-1.0,neckline_break_late,0,0.068,0.406,1,2.11,42-50,immediate_full_false_break,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,11,2025.02.25 13:05:00,GBPJPY,LONG,-48.76,-1.0,neckline_break_late,0,0.22,0.21,1,1.33,50-58,deep_retest_but_reclaim,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_best_H4_H1_M15_2R,12,2025.02.26 19:50:00,EURUSD,LONG,-54.67,-1.006,neckline_break_late,0,0.25,0.196,1,1.55,58-62_deep_zone,immediate_full_false_break,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,1,2025.02.04 08:05:00,EURJPY,SHORT,-50.05,-1.01,neckline_break_late,0,0.368,0.97,0,1.83,50-58,unclear,no_follow_through,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,2,2025.02.04 19:35:00,EURUSD,SHORT,-49.3,-1.0,neckline_break_late,0,0.165,0.089,1,1.37,58-62_deep_zone,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,3,2025.02.06 22:35:00,XAUUSD,LONG,85.05000000000001,2.0,neckline_break_late,0,0.527,0.508,0,1.91,38-42_shallow_zone,no_retest_break_and_go,,clean_break_and_go
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,4,2025.02.11 18:05:00,XAUUSD,LONG,-45.07,-1.002,neckline_break_initial,0,0.369,0.04,1,2.03,50-58,return_inside_and_fail,false_breakout,
2025-02,Nested_NWave_NecklineBreak_BOTH_all_H4_H1_M15_2R,5,2025.02.13 20:20:00,GBPJPY,LONG,-50.82,-1.035,clean_nested_nwave_entry,0,0.324,0.263,1,0.78,50-58,return_inside_and_fail,false_breakout,
