period,variant,direction,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,LONG,106,48,58,45.28,542.88,1.18,5.12,0.155,690.84,6.46,8,-406.13,5.15,537.73,542.88,0,74.53,100.0,3.194,4.791,0.1326,0.5369,52.46,3.055,0.164,0.55
2024,current_thirdwave_current_sl_1_5R,SHORT,72,30,42,41.67,171.37,1.08,2.38,0.039,451.83,4.3,5,-248.62,151.49,19.88,0,171.37,59.72,0.0,3.022,4.532,0.1385,0.3775,53.37,2.878,0.181,0.69
2024,v4_micro_or_candle_lower_tf_sl_1_2R,LONG,137,65,72,47.45,-49.53,0.986,-0.36,0.057,864.83,8.4,7,-362.87,-3.74,-45.79,-49.53,0,74.45,100.0,2.46,2.952,0.1338,0.5188,55.78,2.491,0.194,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,SHORT,103,44,59,42.72,-372.82,0.866,-3.62,-0.08,687.23,6.76,7,-326.48,-155.42,-217.4,0,-372.82,56.31,0.0,2.167,2.6,0.1423,0.4763,57.49,2.221,0.209,0.71
2024,v4_micro_or_candle_lower_tf_sl_1_3R,LONG,135,63,72,46.67,121.71,1.034,0.9,0.086,740.61,7.21,7,-362.87,120.02,1.69,121.71,0,74.81,100.0,2.459,3.196,0.1335,0.5176,55.85,2.493,0.194,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,SHORT,103,41,62,39.81,-488.76,0.833,-4.75,-0.105,747.29,7.41,7,-326.48,-180.81,-307.95,0,-488.76,56.31,0.0,2.168,2.818,0.1423,0.476,57.55,2.221,0.209,0.71
2024,v4_without_weak_lower_tf_sl_1_3R,LONG,135,63,72,46.67,153.46,1.045,1.14,0.086,708.78,6.91,7,-331.73,112.84,40.62,153.46,0,74.81,100.0,2.459,3.196,0.1335,0.5176,55.85,2.493,0.19,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,SHORT,150,56,94,37.33,-1065.34,0.756,-7.1,-0.151,1172.12,11.63,9,-405.06,-564.35,-500.99,0,-1065.34,52.0,0.0,2.103,2.734,0.1427,0.4554,56.85,2.104,0.219,0.87
2025,current_thirdwave_current_sl_1_5R,LONG,160,62,98,38.75,-550.52,0.881,-3.44,-0.035,1090.69,10.51,10,-499.51,-210.91,-339.61,-550.52,0,81.88,100.0,3.203,4.805,0.0966,0.5481,52.85,3.084,0.094,0.51
2025,current_thirdwave_current_sl_1_5R,SHORT,109,44,65,40.37,118.54,1.038,1.09,0.029,533.5,5.15,6,-288.2,-199.91,318.45,0,118.54,66.97,0.0,3.057,4.585,0.1025,0.3621,58.59,2.933,0.119,0.8
2025,v4_micro_or_candle_lower_tf_sl_1_2R,LONG,188,100,88,53.19,1389.23,1.321,7.39,0.18,289.55,2.82,5,-253.21,264.82,1124.41,1389.23,0,82.98,100.0,2.417,2.901,0.0919,0.5306,52.93,2.36,0.116,0.75
2025,v4_micro_or_candle_lower_tf_sl_1_2R,SHORT,149,63,86,42.28,-545.62,0.872,-3.66,-0.067,881.46,8.6,8,-388.88,-347.98,-197.64,0,-545.62,61.07,0.0,2.318,2.782,0.108,0.3957,58.65,2.339,0.199,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,LONG,186,94,92,50.54,1275.26,1.285,6.86,0.173,367.76,3.59,5,-253.21,172.12,1103.14,1275.26,0,83.33,100.0,2.41,3.133,0.0911,0.5328,52.92,2.353,0.114,0.72
2025,v4_micro_or_candle_lower_tf_sl_1_3R,SHORT,149,60,89,40.27,-550.41,0.873,-3.69,-0.07,848.51,8.33,8,-374.74,-456.78,-93.63,0,-550.41,61.07,0.0,2.319,3.015,0.108,0.3954,58.82,2.339,0.196,0.83
2025,v4_without_weak_lower_tf_sl_1_3R,LONG,186,94,92,50.54,1267.28,1.283,6.81,0.173,360.3,3.52,5,-264.72,175.32,1091.96,1267.28,0,83.33,100.0,2.41,3.133,0.0911,0.5328,52.92,2.353,0.114,0.74
2025,v4_without_weak_lower_tf_sl_1_3R,SHORT,202,85,117,42.08,-148.93,0.974,-0.74,-0.01,816.36,8.0,12,-578.32,-695.95,547.02,0,-148.93,55.94,0.0,2.301,2.991,0.1128,0.378,57.89,2.211,0.2,0.85
2026YTD,current_thirdwave_current_sl_1_5R,LONG,37,16,21,43.24,104.0,1.101,2.81,0.093,323.43,3.13,4,-176.67,-49.77,153.77,104.0,0,97.3,100.0,3.151,4.727,0.0487,0.5198,56.2,3.044,0.041,0.31
2026YTD,current_thirdwave_current_sl_1_5R,SHORT,58,28,30,48.28,761.75,1.534,13.13,0.205,215.21,1.98,4,-198.96,59.41,702.34,0,761.75,84.48,0.0,2.789,4.183,0.0619,0.377,59.01,2.68,0.064,0.44
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,LONG,44,21,23,47.73,-18.73,0.985,-0.43,0.038,408.49,3.94,6,-317.77,-171.04,152.31,-18.73,0,88.64,100.0,2.498,2.998,0.065,0.4646,55.46,2.5,0.074,0.4
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,SHORT,78,42,36,53.85,940.39,1.517,12.06,0.209,339.52,3.03,6,-313.24,577.22,363.17,0,940.39,82.05,0.0,2.336,2.803,0.061,0.3813,57.65,2.346,0.081,0.61
