period,variant,reversal_signal_type,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,unclear,178,78,100,43.82,714.25,1.139,4.01,0.108,754.33,6.9,9,-457.0,156.64,557.61,542.88,171.37,68.54,59.55,3.124,4.687,0.135,0.4724,52.83,2.983,0.171,0.69
2024,v4_micro_or_candle_lower_tf_sl_1_2R,candle_reversal,155,67,88,43.23,-650.57,0.848,-4.2,-0.06,1091.98,10.54,5,-245.08,-128.0,-522.57,-35.98,-614.59,61.29,55.48,2.189,2.626,0.138,0.5302,56.41,2.297,0.218,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,micro_break,85,42,43,49.41,228.22,1.11,2.68,0.104,618.04,6.13,8,-389.39,-31.16,259.38,-13.55,241.77,76.47,60.0,2.599,3.119,0.1364,0.4466,56.71,2.518,0.167,0.81
2024,v4_micro_or_candle_lower_tf_sl_1_3R,candle_reversal,155,63,92,40.65,-787.57,0.824,-5.08,-0.079,1096.78,10.72,5,-243.35,-72.17,-715.4,-23.1,-764.47,61.94,54.84,2.182,2.837,0.1374,0.5289,56.62,2.291,0.218,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,micro_break,83,41,42,49.4,420.52,1.208,5.07,0.157,601.83,5.96,8,-389.39,11.38,409.14,144.81,275.71,75.9,60.24,2.615,3.399,0.1373,0.4449,56.52,2.533,0.168,0.81
2024,v4_without_weak_lower_tf_sl_1_3R,candle_reversal,141,57,84,40.43,-670.17,0.83,-4.75,-0.072,996.34,9.72,5,-238.61,-180.77,-489.4,17.9,-688.07,63.12,60.28,2.184,2.84,0.1372,0.5291,56.81,2.294,0.215,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,early_lower_high,76,30,46,39.47,-395.47,0.819,-5.2,-0.107,616.68,6.12,6,-271.67,-252.7,-142.77,0,-395.47,47.37,0.0,2.023,2.63,0.14,0.4268,55.48,1.992,0.234,0.87
2024,v4_without_weak_lower_tf_sl_1_3R,micro_break,68,32,36,47.06,153.76,1.092,2.26,0.105,487.55,4.88,7,-334.16,-18.04,171.8,135.56,18.2,79.41,73.53,2.729,3.548,0.139,0.458,56.48,2.606,0.154,0.8
2025,current_thirdwave_current_sl_1_5R,unclear,269,106,163,39.41,-431.98,0.944,-1.61,-0.009,1178.66,11.11,9,-451.53,-410.82,-21.16,-550.52,118.54,75.84,59.48,3.144,4.716,0.099,0.4727,55.18,3.023,0.104,0.8
2025,v4_micro_or_candle_lower_tf_sl_1_2R,candle_reversal,237,117,120,49.37,723.58,1.121,3.05,0.086,649.15,6.25,9,-440.66,-298.17,1021.75,1332.05,-608.47,70.89,56.54,2.31,2.772,0.1018,0.4694,55.31,2.315,0.166,0.83
