period,variant,symbol,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,AUDJPY,2,0,2,0.0,-106.14,0.0,-53.07,-1.006,106.14,1.06,2,-106.14,-106.14,0,-53.94,-52.2,0.0,50.0,4.53,6.795,0.1293,0.5595,45.07,4.395,0.085,0.11
2024,current_thirdwave_current_sl_1_5R,EURJPY,12,3,9,25.0,-258.3,0.473,-21.52,-0.427,410.43,4.07,6,-334.49,-258.3,0,-126.88,-131.42,0.0,41.67,3.266,4.899,0.1609,0.1834,47.2,3.105,0.275,0.67
2024,current_thirdwave_current_sl_1_5R,EURUSD,1,0,1,0.0,-49.92,0.0,-49.92,-1.0,49.92,0.5,1,-49.92,-49.92,0,0,-49.92,0.0,0.0,2.72,4.08,0.1556,0.5787,54.58,2.56,0.26,0.26
2024,current_thirdwave_current_sl_1_5R,GBPJPY,19,11,8,57.89,428.99,2.074,22.58,0.451,101.23,0.96,2,-96.55,428.99,0,204.19,224.8,0.0,57.89,3.06,4.59,0.1585,0.5814,47.25,2.902,0.299,0.69
2024,current_thirdwave_current_sl_1_5R,GBPUSD,3,0,3,0.0,-161.57,0.0,-53.86,-1.071,161.57,1.62,3,-161.57,-161.57,0,-112.25,-49.32,0.0,66.67,2.71,4.065,0.1766,0.1521,60.71,2.533,0.317,0.42
2024,current_thirdwave_current_sl_1_5R,USDJPY,19,10,9,52.63,303.58,1.65,15.98,0.324,160.29,1.54,3,-151.92,303.58,0,94.03,209.55,0.0,42.11,2.791,4.187,0.1625,0.4696,48.45,2.627,0.269,0.55
2024,current_thirdwave_current_sl_1_5R,XAUUSD,122,54,68,44.26,557.61,1.161,4.57,0.13,531.98,5.01,5,-267.41,0,557.61,537.73,19.88,100.0,64.75,3.163,4.744,0.1234,0.4899,54.85,3.031,0.122,0.36
2024,v4_micro_or_candle_lower_tf_sl_1_2R,AUDJPY,1,0,1,0.0,-47.13,0.0,-47.13,-1.025,47.13,0.47,1,-47.13,-47.13,0,0,-47.13,0.0,0.0,2.54,3.048,0.1355,0.6168,28.97,2.81,0.13,0.13
2024,v4_micro_or_candle_lower_tf_sl_1_2R,EURJPY,22,10,12,45.45,-3.5,0.994,-0.16,0.006,273.82,2.7,3,-150.61,-3.5,0,46.38,-49.88,0.0,45.45,2.04,2.448,0.1733,0.4663,56.59,2.033,0.356,0.83
2024,v4_micro_or_candle_lower_tf_sl_1_2R,EURUSD,1,0,1,0.0,-50.46,0.0,-50.46,-1.0,50.46,0.5,1,-50.46,-50.46,0,0,-50.46,0.0,0.0,2.75,3.3,0.1738,0.5516,54.58,2.88,0.29,0.29
