trade_index,time,close_time,symbol,direction,month,session,entry_price,close_price,sl,tp,result_R,net_profit,scan_driver_symbol,max_favorable_r,max_adverse_r,reached_0_5R,reached_1R,reached_2R,h4_bias_state,h4_ma_state,h4_dow_state,h4_fib_zone,h4_fib_retracement_pct,h1_pullback_type,h1_prev_extreme_break_state,h1_counter_nwave_state,h1_counter_wave_atr,bos_level_type,true_bos_level,m15_trigger_type,room_to_1r,room_to_2r,nearest_obstacle_type,nearest_obstacle_price,sl_atr,distance_bos_to_entry_atr,distance_neckline_to_entry_atr,label,cond_h4_bias_ma,cond_h4_fib_382_618,cond_h1_prev_extreme_break,cond_h1_counter_nwave,cond_h1_counter_wave_atr,cond_true_bos_level,cond_m15_prev_extreme_bos,cond_room_to_2r,cond_h4_dow_bias,cond_m15_close_bos,cond_room_to_1r,cond_sl_atr_ok,source_scenario,h1_counter_wave_atr_bucket,h4_fib_bucket,round_number_level,round_number_distance,round_number_room_to_2r,cond_major_or_round_room_to_2r,scenario
1,2025.01.03 19:35:00,2025.01.03 22:42:45,EURJPY,SHORT,2025-01,server_16_23,161.771,162.014,162.011,161.291,-1.013,-49.44,USDJPY,0.375,1.562,false,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.6,last_higher_low,161.685,m15_true_bos_close,1.64,0.82,h1_counter_low,161.377,1.53,0.0,0.55,condition_factorial_candidate,true,false,true,true,true,true,false,false,true,true,true,true,A_current_broad_fx_only,deep,unknown,161.0,0.771,true,false,A_current_broad_fx_only
2,2025.01.06 15:35:00,2025.01.06 15:41:57,GBPJPY,SHORT,2025-01,server_08_15,195.964,196.264,196.264,195.364,-1.0,-47.88,USDJPY,0.113,1.313,false,false,false,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,2.73,last_higher_low,196.016,m15_prev_extreme_bos,0.8,0.4,h4_impulse_low,195.724,0.98,0.0,0.17,condition_factorial_candidate,true,true,true,true,true,true,true,false,false,false,false,true,A_current_broad_fx_only,deep,unknown,195.0,0.964,true,false,A_current_broad_fx_only
3,2025.01.09 17:50:00,2025.01.10 06:33:05,USDJPY,LONG,2025-01,server_16_23,157.935,158.326,157.74,158.325,2.005,100.7,USDJPY,2.369,0.118,true,true,true,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_down,prev_extreme_break,counter_nwave_pass,3.7,last_lower_high,158.277,m15_prev_extreme_bos,2.43,1.22,h4_impulse_high,158.409,1.91,0.0,3.36,condition_factorial_candidate,true,true,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,158.0,0.065,false,false,A_current_broad_fx_only
4,2025.01.20 02:35:00,2025.01.20 12:42:08,USDJPY,SHORT,2025-01,server_00_07,156.122,156.384,156.384,155.598,-1.0,-50.26,USDJPY,1.611,1.057,true,true,false,none,ma_bias_pass,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.76,last_higher_low,156.097,m15_prev_extreme_bos,2.19,1.09,h1_counter_low,155.549,2.07,0.0,0.2,condition_factorial_candidate,true,true,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,156.0,0.122,false,false,A_current_broad_fx_only
5,2025.01.20 19:35:00,2025.01.20 21:48:27,GBPUSD,SHORT,2025-01,server_16_23,1.22868,1.23279,1.23276,1.22052,-1.007,-49.32,USDJPY,0.527,1.39,true,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.6,last_higher_low,1.21818,m15_prev_extreme_bos,2.99,1.5,h1_counter_low,1.21647,1.87,0.0,4.81,condition_factorial_candidate,false,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,1.22,0.00868,true,true,A_current_broad_fx_only
6,2025.01.30 19:20:00,2025.01.30 22:27:47,GBPUSD,SHORT,2025-01,server_16_23,1.24411,1.2464,1.24638,1.23957,-1.009,-48.09,USDJPY,1.511,0.978,true,true,false,none,ma_bias_fail,dow_bias_pass,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.75,weak_higher_low,1.24237,m15_prev_extreme_bos,0.77,0.38,h1_counter_low,1.24237,1.76,0.0,1.35,condition_factorial_candidate,false,true,true,false,true,true,true,false,true,false,false,true,A_current_broad_fx_only,normal,unknown,1.24,0.00411,false,false,A_current_broad_fx_only
7,2025.01.31 17:05:00,2025.01.31 18:10:00,USDJPY,SHORT,2025-01,server_16_23,154.662,154.944,154.944,154.098,-1.0,-49.14,USDJPY,0.507,1.067,true,false,false,none,ma_bias_pass,dow_bias_pass,unknown,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,3.87,last_higher_low,154.479,m15_prev_extreme_bos,2.68,1.34,h1_counter_low,153.906,1.97,0.0,1.28,condition_factorial_candidate,true,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,154.0,0.662,true,true,A_current_broad_fx_only
8,2025.02.04 17:20:00,2025.02.05 01:46:44,EURJPY,SHORT,2025-02,server_16_23,160.423,159.919,160.674,159.921,2.008,95.71,USDJPY,2.331,0.721,true,true,true,none,ma_bias_pass,dow_bias_pass,too_deep_pullback,0.0,pullback_up,prev_extreme_break,counter_nwave_pass,5.01,last_higher_low,160.172,m15_prev_extreme_bos,2.12,1.06,h4_impulse_low,159.892,1.58,0.0,1.58,condition_factorial_candidate,true,false,true,true,true,true,true,true,true,false,true,true,A_current_broad_fx_only,deep,unknown,160.0,0.423,false,false,A_current_broad_fx_only
9,2025.02.07 17:35:00,2025.02.07 18:40:15,EURUSD,SHORT,2025-02,server_16_23,1.03767,1.03281,1.0401,1.03281,2.0,97.2,USDJPY,2.296,0.374,true,true,true,none,ma_bias_pass,dow_bias_fail,valid_h4_pullback_zone,0.0,pullback_up,prev_extreme_break,counter_nwave_fail,1.74,weak_higher_low,1.03719,m15_true_bos_close,0.2,0.1,h1_counter_low,1.03719,1.81,0.0,0.36,condition_factorial_candidate,true,true,true,false,true,true,false,false,false,true,false,true,A_current_broad_fx_only,normal,unknown,1.03,0.00767,true,false,A_current_broad_fx_only
10,2025.02.19 19:50:00,2025.02.19 21:08:21,USDJPY,LONG,2025-02,server_16_23,151.744,151.524,151.525,152.182,-1.005,-50.82,USDJPY,0.361,1.644,false,false,false,none,ma_bias_fail,dow_bias_pass,too_deep_pullback,0.0,pullback_down,prev_extreme_break,counter_nwave_fail,1.37,weak_lower_high,151.948,m15_prev_extreme_bos,0.93,0.47,h1_counter_high,151.948,1.84,0.0,1.72,condition_factorial_candidate,false,false,true,false,true,true,true,false,true,false,false,true,A_current_broad_fx_only,normal,unknown,152.0,0.256,false,false,A_current_broad_fx_only
