scenario,group,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,chasing_entry,5,0.0,0.0,-1.006,-249.26,249.26,2.49,0.585,1.518,100.0,0.0,0.0,1,4,-47.82,-201.44,-1.005,-1.006,2,4,GBPUSD:3;USDJPY:2,2025-01:2;2025-06:1;2025-07:1;2025-10:1,LONG:1;SHORT:4
A_current_broad_fx_only,m15_false_reversal,7,0.0,0.0,-1.008,-354.93,354.93,3.55,0.245,1.321,0.0,0.0,0.0,2,5,-101.56,-253.37,-1.006,-1.008,4,5,AUDJPY:1;EURJPY:1;EURUSD:2;USDJPY:3,2025-03:1;2025-04:2;2025-07:1;2025-08:1;2025-09:2,LONG:2;SHORT:5
A_current_broad_fx_only,target_blocked_before_1r,14,0.0,0.0,-1.005,-680.45,680.45,6.8,0.666,1.156,42.86,28.57,0.0,8,6,-390.24,-290.21,-1.007,-1.002,6,9,AUDJPY:1;EURJPY:2;EURUSD:1;GBPJPY:1;GBPUSD:2;USDJPY:7,2025-01:2;2025-02:1;2025-04:1;2025-06:1;2025-08:2;2025-09:1;2025-10:2;2025-11:2;2025-12:2,LONG:8;SHORT:6
A_current_broad_fx_only,target_blocked_before_2r,14,0.0,0.0,-1.008,-710.37,710.37,7.1,0.758,1.326,50.0,28.57,0.0,5,9,-254.05,-456.32,-1.008,-1.009,3,8,EURJPY:2;GBPUSD:6;USDJPY:6,2025-01:1;2025-03:1;2025-04:1;2025-05:1;2025-06:2;2025-08:5;2025-09:1;2025-11:2,LONG:5;SHORT:9
A_current_broad_fx_only,target_too_far_after_1r,6,0.0,0.0,-1.007,-296.29,296.29,2.96,1.277,1.272,100.0,100.0,0.0,4,2,-194.59,-101.7,-1.006,-1.007,3,6,EURUSD:1;GBPJPY:2;USDJPY:3,2025-01:1;2025-03:1;2025-04:1;2025-07:1;2025-09:1;2025-11:1,LONG:4;SHORT:2
A_current_broad_fx_only,win,17,100.0,,2.021,1687.63,0.0,0.0,2.514,0.55,100.0,100.0,100.0,8,9,796.06,891.57,2.033,2.01,4,6,EURJPY:4;EURUSD:4;GBPJPY:3;USDJPY:6,2025-01:1;2025-02:3;2025-03:4;2025-04:5;2025-07:3;2025-11:1,LONG:8;SHORT:9
B_broad_hard_gate_reduced,bad_h4_context,1427,0.0,0.0,-0.552,-26802.07,26802.07,268.02,1.022,1.39,61.74,37.07,10.51,681,746,-14207.29,-12594.78,-0.532,-0.571,6,12,AUDJPY:76;EURJPY:177;EURUSD:203;GBPJPY:181;GBPUSD:278;USDJPY:512,2025-01:148;2025-02:121;2025-03:161;2025-04:247;2025-05:131;2025-06:110;2025-07:92;2025-08:89;2025-09:85;2025-10:110;2025-11:70;2025-12:63,LONG:681;SHORT:746
B_broad_hard_gate_reduced,chasing_entry,346,0.0,0.0,-0.362,-6549.02,6549.02,65.49,1.456,1.58,99.71,28.32,28.32,166,180,-2862.15,-3686.87,-0.258,-0.457,6,12,AUDJPY:24;EURJPY:36;EURUSD:57;GBPJPY:56;GBPUSD:37;USDJPY:136,2025-01:27;2025-02:32;2025-03:52;2025-04:50;2025-05:41;2025-06:23;2025-07:22;2025-08:22;2025-09:19;2025-10:23;2025-11:20;2025-12:15,LONG:166;SHORT:180
B_broad_hard_gate_reduced,m15_false_reversal,418,0.0,0.0,-1.048,-8207.74,8207.74,82.08,0.24,1.542,0.0,0.0,0.0,244,174,-4528.33,-3679.41,-1.029,-1.074,6,12,AUDJPY:21;EURJPY:60;EURUSD:59;GBPJPY:45;GBPUSD:61;USDJPY:172,2025-01:45;2025-02:44;2025-03:59;2025-04:54;2025-05:52;2025-06:32;2025-07:27;2025-08:25;2025-09:19;2025-10:21;2025-11:23;2025-12:17,LONG:244;SHORT:174
B_broad_hard_gate_reduced,other,7,0.0,0.0,0.624,-128.75,128.75,1.29,1.515,0.982,100.0,42.86,42.86,4,3,-84.34,-44.41,0.484,0.811,3,4,EURJPY:1;GBPUSD:1;USDJPY:5,2025-02:1;2025-03:2;2025-04:2;2025-12:2,LONG:4;SHORT:3
