scenario,condition,state,trades,win_rate,PF,avg_R,net,maxDD,maxDD_pct,avg_MFE_R,avg_MAE_R,reached_0_5R_pct,reached_1R_pct,reached_2R_pct,LONG trades,SHORT trades,LONG net,SHORT net,LONG avg_R,SHORT avg_R,symbol_count,month_count,symbol_distribution,month_distribution,direction_distribution
A_current_broad_fx_only,cond_h4_bias_ma,ON,43,27.91,0.77,-0.165,-352.0,892.44,8.47,1.223,1.078,67.44,55.81,27.91,22,21,-50.64,-301.36,-0.047,-0.288,6,11,AUDJPY:2;EURJPY:5;EURUSD:7;GBPJPY:4;GBPUSD:6;USDJPY:19,2025-01:5;2025-02:3;2025-03:5;2025-04:4;2025-06:3;2025-07:4;2025-08:6;2025-09:3;2025-10:2;2025-11:6;2025-12:2,LONG:22;SHORT:21
A_current_broad_fx_only,cond_h4_bias_ma,OFF,20,25.0,0.668,-0.244,-251.67,300.33,2.99,1.121,1.11,60.0,35.0,25.0,6,14,-141.56,-110.11,-0.474,-0.145,5,10,EURJPY:4;EURUSD:1;GBPJPY:2;GBPUSD:5;USDJPY:8,2025-01:2;2025-02:1;2025-03:2;2025-04:6;2025-05:1;2025-06:1;2025-07:2;2025-08:2;2025-09:2;2025-10:1,LONG:6;SHORT:14
B_broad_hard_gate_reduced,cond_h4_bias_ma,ON,1431,29.35,0.903,-0.184,-1804.76,2299.39,21.94,1.296,1.365,67.44,48.99,26.48,769,662,-1206.41,-598.35,-0.136,-0.239,6,12,AUDJPY:85;EURJPY:186;EURUSD:215;GBPJPY:184;GBPUSD:236;USDJPY:525,2025-01:159;2025-02:132;2025-03:176;2025-04:209;2025-05:150;2025-06:112;2025-07:84;2025-08:77;2025-09:78;2025-10:97;2025-11:86;2025-12:71,LONG:769;SHORT:662
B_broad_hard_gate_reduced,cond_h4_bias_ma,OFF,2568,29.48,0.785,-0.047,-7422.86,8079.34,76.13,1.386,1.268,70.37,50.93,29.67,1225,1343,-4480.6,-2942.26,-0.017,-0.075,6,12,AUDJPY:135;EURJPY:332;EURUSD:361;GBPJPY:332;GBPUSD:437;USDJPY:971,2025-01:254;2025-02:245;2025-03:308;2025-04:401;2025-05:252;2025-06:199;2025-07:182;2025-08:153;2025-09:138;2025-10:196;2025-11:136;2025-12:104,LONG:1225;SHORT:1343
C_sweep_reclaim_only,cond_h4_bias_ma,ON,651,29.19,0.872,-0.113,-1829.62,2736.44,25.2,1.352,1.257,71.27,51.15,27.34,307,344,-574.22,-1255.4,-0.156,-0.075,6,12,AUDJPY:33;EURJPY:77;EURUSD:101;GBPJPY:64;GBPUSD:97;USDJPY:279,2025-01:67;2025-02:62;2025-03:99;2025-04:118;2025-05:75;2025-06:45;2025-07:39;2025-08:30;2025-09:23;2025-10:37;2025-11:28;2025-12:28,LONG:307;SHORT:344
C_sweep_reclaim_only,cond_h4_bias_ma,OFF,1164,29.9,0.811,-0.044,-4843.2,5477.53,52.07,1.328,1.209,70.27,48.54,29.9,529,635,-2914.34,-1928.86,-0.095,-0.001,6,12,AUDJPY:56;EURJPY:120;EURUSD:161;GBPJPY:143;GBPUSD:194;USDJPY:490,2025-01:108;2025-02:97;2025-03:160;2025-04:224;2025-05:114;2025-06:99;2025-07:81;2025-08:54;2025-09:50;2025-10:92;2025-11:50;2025-12:35,LONG:529;SHORT:635
D_bos_retest_only,cond_h4_bias_ma,ON,600,25.83,0.716,-0.265,-3693.58,4274.35,40.51,1.233,1.24,66.67,46.33,24.83,302,298,-2433.56,-1260.02,-0.361,-0.168,6,12,AUDJPY:42;EURJPY:65;EURUSD:94;GBPJPY:67;GBPUSD:116;USDJPY:216,2025-01:66;2025-02:70;2025-03:87;2025-04:95;2025-05:59;2025-06:42;2025-07:37;2025-08:26;2025-09:26;2025-10:38;2025-11:26;2025-12:28,LONG:302;SHORT:298
D_bos_retest_only,cond_h4_bias_ma,OFF,1035,31.3,0.849,-0.071,-3162.42,3539.7,35.38,1.369,1.187,68.02,50.24,32.85,504,531,-1298.55,-1863.87,0.009,-0.147,6,12,AUDJPY:58;EURJPY:122;EURUSD:129;GBPJPY:133;GBPUSD:164;USDJPY:429,2025-01:118;2025-02:106;2025-03:114;2025-04:171;2025-05:98;2025-06:87;2025-07:78;2025-08:68;2025-09:52;2025-10:69;2025-11:43;2025-12:31,LONG:504;SHORT:531
E_first_pullback_after_reclaim_only,cond_h4_bias_ma,ON,1009,28.54,0.771,-0.185,-4163.57,4317.69,42.52,1.258,1.294,67.49,46.18,25.57,521,488,-2370.91,-1792.66,-0.195,-0.175,6,12,AUDJPY:66;EURJPY:121;EURUSD:167;GBPJPY:116;GBPUSD:184;USDJPY:355,2025-01:105;2025-02:112;2025-03:144;2025-04:161;2025-05:97;2025-06:75;2025-07:53;2025-08:36;2025-09:45;2025-10:76;2025-11:62;2025-12:43,LONG:521;SHORT:488
E_first_pullback_after_reclaim_only,cond_h4_bias_ma,OFF,1879,30.71,0.874,0.001,-4024.9,5147.32,47.02,1.344,1.231,68.39,50.08,30.12,922,957,-1355.17,-2669.73,0.066,-0.062,6,12,AUDJPY:104;EURJPY:225;EURUSD:266;GBPJPY:237;GBPUSD:330;USDJPY:717,2025-01:217;2025-02:210;2025-03:211;2025-04:272;2025-05:185;2025-06:148;2025-07:121;2025-08:114;2025-09:94;2025-10:150;2025-11:96;2025-12:61,LONG:922;SHORT:957
F_combined_new_triggers,cond_h4_bias_ma,ON,1391,28.4,0.798,-0.128,-3808.69,4296.78,41.0,1.307,1.329,69.02,48.45,25.52,709,682,-2169.68,-1639.01,-0.18,-0.075,6,12,AUDJPY:91;EURJPY:169;EURUSD:225;GBPJPY:151;GBPUSD:239;USDJPY:516,2025-01:156;2025-02:150;2025-03:198;2025-04:208;2025-05:146;2025-06:100;2025-07:79;2025-08:55;2025-09:59;2025-10:97;2025-11:77;2025-12:66,LONG:709;SHORT:682
