period,run,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2025,A,ThirdWave_BOTH,AUDJPY:LONG,1,1,0,100.0,69.22,69.22,0.0,,69.22,69.22,0.0
2025,A,ThirdWave_BOTH,EURJPY:LONG,9,4,5,44.44,54.9,297.98,-243.08,1.226,6.1,74.5,-48.62
2025,A,ThirdWave_BOTH,EURJPY:SHORT,3,2,1,66.67,99.83,146.41,-46.58,3.143,33.28,73.2,-46.58
2025,A,ThirdWave_BOTH,EURUSD:LONG,7,3,4,42.86,26.59,216.81,-190.22,1.14,3.8,72.27,-47.56
2025,A,ThirdWave_BOTH,EURUSD:SHORT,6,2,4,33.33,-57.45,138.95,-196.4,0.707,-9.57,69.47,-49.1
2025,A,ThirdWave_BOTH,GBPJPY:LONG,3,1,2,33.33,-20.08,74.9,-94.98,0.789,-6.69,74.9,-47.49
2025,A,ThirdWave_BOTH,GBPJPY:SHORT,4,1,3,25.0,-69.46,71.78,-141.24,0.508,-17.37,71.78,-47.08
2025,A,ThirdWave_BOTH,GBPUSD:LONG,1,0,1,0.0,-48.84,0.0,-48.84,0.0,-48.84,0.0,-48.84
2025,A,ThirdWave_BOTH,GBPUSD:SHORT,1,0,1,0.0,-49.6,0.0,-49.6,0.0,-49.6,0.0,-49.6
2025,A,ThirdWave_BOTH,USDJPY:LONG,23,7,16,30.43,-273.9,495.41,-769.31,0.644,-11.91,70.77,-48.08
2025,A,ThirdWave_BOTH,USDJPY:SHORT,36,16,20,44.44,206.22,1159.53,-953.31,1.216,5.73,72.47,-47.67
2025,A,ThirdWave_BOTH,XAUUSD:LONG,218,83,135,38.07,-859.15,5342.14,-6201.29,0.861,-3.94,64.36,-45.94
2025,A,ThirdWave_BOTH,XAUUSD:SHORT,139,59,80,42.45,457.31,3987.47,-3530.16,1.13,3.29,67.58,-44.13
2025,B,ThirdWave_LONG_ONLY,AUDJPY:LONG,1,1,0,100.0,66.74,66.74,0.0,,66.74,66.74,0.0
2025,B,ThirdWave_LONG_ONLY,EURJPY:LONG,9,4,5,44.44,49.64,284.98,-235.34,1.211,5.52,71.24,-47.07
2025,B,ThirdWave_LONG_ONLY,EURUSD:LONG,7,3,4,42.86,18.81,209.03,-190.22,1.099,2.69,69.68,-47.56
2025,B,ThirdWave_LONG_ONLY,GBPJPY:LONG,2,0,2,0.0,-92.63,0.0,-92.63,0.0,-46.31,0.0,-46.31
2025,B,ThirdWave_LONG_ONLY,GBPUSD:LONG,4,0,4,0.0,-190.27,0.0,-190.27,0.0,-47.57,0.0,-47.57
2025,B,ThirdWave_LONG_ONLY,USDJPY:LONG,24,7,17,29.17,-366.16,463.15,-829.31,0.558,-15.26,66.16,-48.78
2025,B,ThirdWave_LONG_ONLY,XAUUSD:LONG,224,86,138,38.39,-850.69,5233.06,-6083.75,0.86,-3.8,60.85,-44.09
2025,C,ThirdWave_SHORT_ONLY,AUDJPY:SHORT,1,0,1,0.0,-47.38,0.0,-47.38,0.0,-47.38,0.0,-47.38
2025,C,ThirdWave_SHORT_ONLY,EURJPY:SHORT,4,2,2,50.0,44.07,145.76,-101.69,1.433,11.02,72.88,-50.84
2025,C,ThirdWave_SHORT_ONLY,EURUSD:SHORT,6,2,4,33.33,-46.02,150.38,-196.4,0.766,-7.67,75.19,-49.1
2025,C,ThirdWave_SHORT_ONLY,GBPJPY:SHORT,4,1,3,25.0,-74.44,71.78,-146.22,0.491,-18.61,71.78,-48.74
2025,C,ThirdWave_SHORT_ONLY,GBPUSD:SHORT,1,0,1,0.0,-51.2,0.0,-51.2,0.0,-51.2,0.0,-51.2
2025,C,ThirdWave_SHORT_ONLY,USDJPY:SHORT,41,16,25,39.02,-59.17,1170.1,-1229.27,0.952,-1.44,73.13,-49.17
2025,C,ThirdWave_SHORT_ONLY,XAUUSD:SHORT,151,64,87,42.38,480.84,4489.97,-4009.13,1.12,3.18,70.16,-46.08
