period,run,scenario,direction,execution_block_reason,logged_rows
2024,A,ThirdWave_BOTH,LONG,max_positions,318
2024,A,ThirdWave_BOTH,LONG,spread_guard,2147
2024,A,ThirdWave_BOTH,SHORT,max_positions,247
2024,A,ThirdWave_BOTH,SHORT,spread_guard,2284
2024,B,ThirdWave_LONG_ONLY,LONG,max_positions,311
2024,B,ThirdWave_LONG_ONLY,LONG,spread_guard,2147
2024,C,ThirdWave_SHORT_ONLY,SHORT,max_positions,238
2024,C,ThirdWave_SHORT_ONLY,SHORT,spread_guard,2284
2025,A,ThirdWave_BOTH,LONG,max_positions,471
2025,A,ThirdWave_BOTH,LONG,spread_guard,1968
2025,A,ThirdWave_BOTH,SHORT,max_positions,388
2025,A,ThirdWave_BOTH,SHORT,order_failed,13
2025,A,ThirdWave_BOTH,SHORT,spread_guard,2433
2025,B,ThirdWave_LONG_ONLY,LONG,max_positions,468
2025,B,ThirdWave_LONG_ONLY,LONG,spread_guard,1968
2025,C,ThirdWave_SHORT_ONLY,SHORT,max_positions,369
2025,C,ThirdWave_SHORT_ONLY,SHORT,order_failed,13
2025,C,ThirdWave_SHORT_ONLY,SHORT,spread_guard,2433
2026YTD,A,ThirdWave_BOTH,LONG,max_positions,201
2026YTD,A,ThirdWave_BOTH,LONG,spread_guard,771
2026YTD,A,ThirdWave_BOTH,SHORT,max_positions,146
2026YTD,A,ThirdWave_BOTH,SHORT,spread_guard,901
2026YTD,B,ThirdWave_LONG_ONLY,LONG,max_positions,197
2026YTD,B,ThirdWave_LONG_ONLY,LONG,spread_guard,771
2026YTD,C,ThirdWave_SHORT_ONLY,SHORT,max_positions,143
2026YTD,C,ThirdWave_SHORT_ONLY,SHORT,spread_guard,901
