period,run,scenario,direction,structure_stage_fail_reason,logged_rows
2024,A,ThirdWave_BOTH,LONG,sl_too_close,203
2024,A,ThirdWave_BOTH,LONG,sl_too_wide,9298
2024,A,ThirdWave_BOTH,SHORT,sl_too_close,334
2024,A,ThirdWave_BOTH,SHORT,sl_too_wide,4778
2024,B,ThirdWave_LONG_ONLY,LONG,sl_too_close,203
2024,B,ThirdWave_LONG_ONLY,LONG,sl_too_wide,9298
2024,C,ThirdWave_SHORT_ONLY,SHORT,sl_too_close,334
2024,C,ThirdWave_SHORT_ONLY,SHORT,sl_too_wide,4778
2025,A,ThirdWave_BOTH,LONG,sl_too_close,264
2025,A,ThirdWave_BOTH,LONG,sl_too_wide,8723
2025,A,ThirdWave_BOTH,SHORT,sl_too_close,296
2025,A,ThirdWave_BOTH,SHORT,sl_too_wide,5575
2025,B,ThirdWave_LONG_ONLY,LONG,sl_too_close,264
2025,B,ThirdWave_LONG_ONLY,LONG,sl_too_wide,8723
2025,C,ThirdWave_SHORT_ONLY,SHORT,sl_too_close,296
2025,C,ThirdWave_SHORT_ONLY,SHORT,sl_too_wide,5575
2026YTD,A,ThirdWave_BOTH,LONG,sl_too_close,83
2026YTD,A,ThirdWave_BOTH,LONG,sl_too_wide,3831
2026YTD,A,ThirdWave_BOTH,SHORT,sl_too_close,142
2026YTD,A,ThirdWave_BOTH,SHORT,sl_too_wide,2371
2026YTD,B,ThirdWave_LONG_ONLY,LONG,sl_too_close,83
2026YTD,B,ThirdWave_LONG_ONLY,LONG,sl_too_wide,3831
2026YTD,C,ThirdWave_SHORT_ONLY,SHORT,sl_too_close,142
2026YTD,C,ThirdWave_SHORT_ONLY,SHORT,sl_too_wide,2371
