period,scenario,group,trades,wins,losses,win_rate,net_profit,gross_profit,gross_loss,profit_factor,expected_payoff,avg_win,avg_loss
2024,ThirdWave_original_BOTH,0.75-1.00,4,1,3,25.0,-82.44,66.32,-148.76,0.446,-20.61,66.32,-49.59
2024,ThirdWave_original_BOTH,1.00-1.25,4,2,2,50.0,47.71,141.62,-93.91,1.508,11.93,70.81,-46.95
2024,ThirdWave_original_BOTH,1.25-1.50,11,3,8,27.27,-157.9,214.98,-372.88,0.577,-14.35,71.66,-46.61
2024,ThirdWave_original_BOTH,1.50-2.00,46,14,32,30.43,-570.18,958.1,-1528.28,0.627,-12.4,68.44,-47.76
2024,ThirdWave_original_BOTH,2.00+,289,116,173,40.14,-101.8,7969.97,-8071.77,0.987,-0.35,68.71,-46.66
2024,ThirdWave_original_BOTH,<0.75,1,0,1,0.0,-49.43,0.0,-49.43,0.0,-49.43,0.0,-49.43
2024,ThirdWave_regime_BOTH,0.75-1.00,1,0,1,0.0,-55.04,0.0,-55.04,0.0,-55.04,0.0,-55.04
2024,ThirdWave_regime_BOTH,1.00-1.25,3,2,1,66.67,108.37,157.2,-48.83,3.219,36.12,78.6,-48.83
2024,ThirdWave_regime_BOTH,1.25-1.50,3,1,2,33.33,-26.01,75.72,-101.73,0.744,-8.67,75.72,-50.86
2024,ThirdWave_regime_BOTH,1.50-2.00,23,9,14,39.13,-67.37,681.23,-748.6,0.91,-2.93,75.69,-53.47
2024,ThirdWave_regime_BOTH,2.00+,129,59,70,45.74,872.46,4457.95,-3585.49,1.243,6.76,75.56,-51.22
2024,ThirdWave_regime_LONG_ONLY,0.75-1.00,1,0,1,0.0,-53.1,0.0,-53.1,0.0,-53.1,0.0,-53.1
2024,ThirdWave_regime_LONG_ONLY,1.00-1.25,1,1,0,100.0,74.12,74.12,0.0,,74.12,74.12,0.0
2024,ThirdWave_regime_LONG_ONLY,1.25-1.50,2,0,2,0.0,-101.73,0.0,-101.73,0.0,-50.86,0.0,-50.86
2024,ThirdWave_regime_LONG_ONLY,1.50-2.00,16,6,10,37.5,-79.31,453.74,-533.05,0.851,-4.96,75.62,-53.3
2024,ThirdWave_regime_LONG_ONLY,2.00+,80,39,41,48.75,755.85,2859.96,-2104.11,1.359,9.45,73.33,-51.32
2024,ThirdWave_regime_SHORT_ONLY,1.00-1.25,2,1,1,50.0,31.3,80.4,-49.1,1.637,15.65,80.4,-49.1
2024,ThirdWave_regime_SHORT_ONLY,1.25-1.50,2,2,0,100.0,145.61,145.61,0.0,,72.81,72.81,0.0
2024,ThirdWave_regime_SHORT_ONLY,1.50-2.00,7,3,4,42.86,18.74,222.35,-203.61,1.092,2.68,74.12,-50.9
2024,ThirdWave_regime_SHORT_ONLY,2.00+,54,22,32,40.74,62.28,1610.45,-1548.17,1.04,1.15,73.2,-48.38
2025,ThirdWave_original_BOTH,0.75-1.00,6,2,4,33.33,-67.04,144.81,-211.85,0.684,-11.17,72.41,-52.96
2025,ThirdWave_original_BOTH,1.00-1.25,12,2,10,16.67,-332.65,136.2,-468.85,0.29,-27.72,68.1,-46.88
2025,ThirdWave_original_BOTH,1.25-1.50,12,8,4,66.67,386.02,571.59,-185.57,3.08,32.17,71.45,-46.39
2025,ThirdWave_original_BOTH,1.50-2.00,48,16,32,33.33,-394.83,1079.53,-1474.36,0.732,-8.23,67.47,-46.07
2025,ThirdWave_original_BOTH,2.00+,371,149,222,40.16,-201.68,9922.7,-10124.38,0.98,-0.54,66.6,-45.61
2025,ThirdWave_original_BOTH,<0.75,2,2,0,100.0,145.77,145.77,0.0,,72.88,72.88,0.0
2025,ThirdWave_regime_BOTH,0.75-1.00,2,1,1,50.0,24.98,76.22,-51.24,1.488,12.49,76.22,-51.24
2025,ThirdWave_regime_BOTH,1.00-1.25,2,0,2,0.0,-97.4,0.0,-97.4,0.0,-48.7,0.0,-48.7
2025,ThirdWave_regime_BOTH,1.25-1.50,6,4,2,66.67,187.65,281.73,-94.08,2.995,31.27,70.43,-47.04
2025,ThirdWave_regime_BOTH,1.50-2.00,24,4,20,16.67,-692.33,272.49,-964.82,0.282,-28.85,68.12,-48.24
2025,ThirdWave_regime_BOTH,2.00+,213,86,127,40.38,10.08,5874.1,-5864.02,1.002,0.05,68.3,-46.17
2025,ThirdWave_regime_LONG_ONLY,0.75-1.00,1,0,1,0.0,-50.91,0.0,-50.91,0.0,-50.91,0.0,-50.91
2025,ThirdWave_regime_LONG_ONLY,1.00-1.25,1,0,1,0.0,-45.41,0.0,-45.41,0.0,-45.41,0.0,-45.41
2025,ThirdWave_regime_LONG_ONLY,1.25-1.50,3,2,1,66.67,99.9,148.74,-48.84,3.045,33.3,74.37,-48.84
2025,ThirdWave_regime_LONG_ONLY,1.50-2.00,13,1,12,7.69,-479.31,73.86,-553.17,0.134,-36.87,73.86,-46.1
2025,ThirdWave_regime_LONG_ONLY,2.00+,138,56,82,40.58,-184.47,3630.48,-3814.95,0.952,-1.34,64.83,-46.52
2025,ThirdWave_regime_SHORT_ONLY,0.75-1.00,1,1,0,100.0,77.17,77.17,0.0,,77.17,77.17,0.0
2025,ThirdWave_regime_SHORT_ONLY,1.00-1.25,1,0,1,0.0,-49.6,0.0,-49.6,0.0,-49.6,0.0,-49.6
2025,ThirdWave_regime_SHORT_ONLY,1.25-1.50,3,2,1,66.67,104.54,153.55,-49.01,3.133,34.85,76.78,-49.01
2025,ThirdWave_regime_SHORT_ONLY,1.50-2.00,10,2,8,20.0,-279.45,137.57,-417.02,0.33,-27.95,68.78,-52.13
2025,ThirdWave_regime_SHORT_ONLY,2.00+,89,35,54,39.33,71.79,2579.31,-2507.52,1.029,0.81,73.69,-46.44
2026YTD,ThirdWave_original_BOTH,0.75-1.00,1,0,1,0.0,-51.73,0.0,-51.73,0.0,-51.73,0.0,-51.73
2026YTD,ThirdWave_original_BOTH,1.00-1.25,5,1,4,20.0,-127.11,65.36,-192.47,0.34,-25.42,65.36,-48.12
2026YTD,ThirdWave_original_BOTH,1.25-1.50,7,3,4,42.86,17.5,214.46,-196.96,1.089,2.5,71.49,-49.24
2026YTD,ThirdWave_original_BOTH,1.50-2.00,25,11,14,44.0,99.23,802.29,-703.06,1.141,3.97,72.94,-50.22
2026YTD,ThirdWave_original_BOTH,2.00+,151,67,84,44.37,918.22,4839.51,-3921.29,1.234,6.08,72.23,-46.68
2026YTD,ThirdWave_regime_BOTH,0.75-1.00,1,0,1,0.0,-51.73,0.0,-51.73,0.0,-51.73,0.0,-51.73
2026YTD,ThirdWave_regime_BOTH,1.00-1.25,1,0,1,0.0,-48.78,0.0,-48.78,0.0,-48.78,0.0,-48.78
2026YTD,ThirdWave_regime_BOTH,1.25-1.50,4,2,2,50.0,24.68,137.96,-113.28,1.218,6.17,68.98,-56.64
