variant,direction,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,LONG,60,60,28,32,46.67,490.72,1.329,8.18,0.197,323.43,3.01,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,SHORT,49,49,25,24,51.02,798.24,1.704,16.29,0.258,198.96,1.87,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,LONG,99,99,42,57,42.42,302.68,1.112,3.06,0.074,419.38,3.91,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,SHORT,95,95,45,50,47.37,1297.69,1.514,13.66,0.187,396.47,3.8,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,LONG,59,59,26,33,44.07,259.51,1.164,4.4,0.118,376.59,3.54,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,SHORT,64,64,30,34,46.88,996.18,1.591,15.57,0.169,361.39,3.48,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,LONG,36,36,16,20,44.44,199.95,1.22,5.55,0.108,254.97,2.46,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,SHORT,32,32,12,20,37.5,-146.05,0.857,-4.56,-0.063,304.1,2.99,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,LONG,71,71,33,38,46.48,516.77,1.281,7.28,0.176,371.9,3.47,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,SHORT,71,71,34,37,47.89,1126.51,1.613,15.87,0.195,357.03,3.13,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,LONG,71,71,33,38,46.48,537.9,1.292,7.58,0.176,371.9,3.47,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,SHORT,95,95,45,50,47.37,1287.93,1.504,13.56,0.187,385.55,3.7,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
