variant,session,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,server_00_07,28,28,17,11,60.71,918.34,2.94,32.8,0.519,127.57,1.19,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,server_08_15,40,40,15,25,37.5,-104.72,0.912,-2.62,-0.067,288.95,2.84,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
current_thirdwave,server_16_23,41,41,21,20,51.22,475.34,1.498,11.59,0.306,161.62,1.54,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,server_00_07,52,52,22,30,42.31,306.63,1.213,5.9,0.056,331.96,3.22,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,server_08_15,70,70,27,43,38.57,-143.73,0.935,-2.05,-0.036,399.39,3.96,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_all_signals,server_16_23,72,72,38,34,52.78,1437.47,1.906,19.96,0.344,385.35,3.3,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,server_00_07,33,33,10,23,30.3,-204.49,0.817,-6.2,-0.247,518.61,5.19,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,server_08_15,44,44,22,22,50.0,495.87,1.436,11.27,0.247,299.36,2.77,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_candle_reversal_only,server_16_23,46,46,24,22,52.17,964.31,1.948,20.96,0.327,272.33,2.44,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,server_00_07,20,20,9,11,45.0,149.05,1.317,7.45,0.125,185.99,1.85,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,server_08_15,26,26,7,19,26.92,-502.88,0.501,-19.34,-0.332,588.72,5.84,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_break_only,server_16_23,22,22,12,10,54.55,407.73,1.892,18.53,0.364,150.3,1.44,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,server_00_07,40,40,16,24,40.0,173.25,1.151,4.33,-0.003,336.17,3.35,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,server_08_15,48,48,20,28,41.67,29.65,1.02,0.62,0.039,501.15,4.76,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_micro_or_candle,server_16_23,54,54,31,23,57.41,1440.38,2.337,26.67,0.455,193.25,1.68,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,server_00_07,45,45,19,26,42.22,292.36,1.232,6.5,0.057,269.06,2.66,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,server_08_15,59,59,26,33,44.07,249.1,1.144,4.22,0.104,225.67,2.18,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
v4_without_weak_signals,server_16_23,62,62,33,29,53.23,1284.37,1.916,20.72,0.348,360.51,3.13,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
