variant,sl_mode,reversal_signal_type,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,unclear,327,327,163,164,49.85,2894.86,1.381,8.85,0.158,826.05,6.53,49.54,47.4,0,0,0,0,0.81,1.035,16710154403.67,22280205871.56,0.084
current_thirdwave,LOWER_TF_REVERSAL_SL,unclear,327,237,96,141,40.51,-443.5,0.93,-1.87,-0.05,1910.42,17.98,28.75,41.28,0,3,81,6,0.869,0.894,9607213037.975,12809617383.966,0.124
current_thirdwave,MID_TF_STRUCTURE_SL,unclear,327,327,163,164,49.85,2894.86,1.381,8.85,0.158,826.05,6.53,49.54,47.4,0,0,0,0,0.81,1.035,16710154403.67,22280205871.56,0.084
v4_all_signals,CURRENT_SL,candle_reversal,240,240,115,125,47.92,2389.47,1.398,9.96,0.116,1194.25,8.93,47.92,52.08,0,0,0,0,0.797,1.061,17589342375.0,23452456500.0,0.124
v4_all_signals,CURRENT_SL,confirmed_fractal_reclaim,9,9,3,6,33.33,-73.27,0.711,-8.14,-0.222,253.62,2.49,33.33,66.67,0,0,0,0,1.009,0.659,21960000000.0,29280000000.0,0.027
v4_all_signals,CURRENT_SL,early_higher_low,147,147,62,85,42.18,14.56,1.004,0.1,-0.006,1340.03,11.88,42.18,55.78,0,0,0,0,0.967,0.929,8637775510.204,11517034013.605,0.119
v4_all_signals,CURRENT_SL,early_lower_high,123,123,59,64,47.97,760.18,1.23,6.18,0.117,729.0,6.45,47.97,49.59,0,0,0,0,0.768,0.999,18324739756.098,24432986341.463,0.172
v4_all_signals,CURRENT_SL,micro_break,60,60,47,13,78.33,2383.66,4.778,39.73,0.825,288.93,2.89,78.33,21.67,0,0,0,0,0.592,1.287,8746466000.0,11661954666.667,0.169
v4_all_signals,CURRENT_SL,momentum_turn,3,3,0,3,0.0,-133.8,0.0,-44.6,-1.0,133.8,1.34,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,14866666666.667,0.04
v4_all_signals,LOWER_TF_REVERSAL_SL,candle_reversal,240,207,103,104,49.76,2168.19,1.448,10.47,0.162,1106.19,8.47,40.0,39.58,0,6,24,3,0.758,1.014,16658623478.261,22211497971.014,0.123
v4_all_signals,LOWER_TF_REVERSAL_SL,confirmed_fractal_reclaim,9,9,3,6,33.33,-73.27,0.711,-8.14,-0.222,253.62,2.49,33.33,66.67,0,0,0,0,1.009,0.659,21960000000.0,29280000000.0,0.027
v4_all_signals,LOWER_TF_REVERSAL_SL,early_higher_low,147,129,51,78,39.53,-416.64,0.882,-3.23,-0.071,1137.98,10.83,32.65,48.98,0,0,9,9,1.011,0.885,9035860465.116,12047813953.488,0.101
v4_all_signals,LOWER_TF_REVERSAL_SL,early_lower_high,123,114,55,59,48.25,948.72,1.346,8.32,0.134,702.97,6.13,43.9,43.09,0,0,6,3,0.771,1.061,13428929736.842,17905239649.123,0.177
v4_all_signals,LOWER_TF_REVERSAL_SL,micro_break,60,57,44,13,77.19,2124.45,4.367,37.27,0.777,288.93,2.89,66.67,21.67,0,0,0,3,0.614,1.245,8746572105.263,11662096140.351,0.151
v4_all_signals,LOWER_TF_REVERSAL_SL,momentum_turn,3,3,0,3,0.0,-133.8,0.0,-44.6,-1.0,133.8,1.34,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,14866666666.667,0.04
v4_all_signals,MID_TF_STRUCTURE_SL,candle_reversal,240,240,115,125,47.92,2389.47,1.398,9.96,0.116,1194.25,8.93,47.92,52.08,0,0,0,0,0.797,1.061,17589342375.0,23452456500.0,0.124
v4_all_signals,MID_TF_STRUCTURE_SL,confirmed_fractal_reclaim,9,9,3,6,33.33,-73.27,0.711,-8.14,-0.222,253.62,2.49,33.33,66.67,0,0,0,0,1.009,0.659,21960000000.0,29280000000.0,0.027
v4_all_signals,MID_TF_STRUCTURE_SL,early_higher_low,147,147,62,85,42.18,14.56,1.004,0.1,-0.006,1340.03,11.88,42.18,55.78,0,0,0,0,0.967,0.929,8637775510.204,11517034013.605,0.119
v4_all_signals,MID_TF_STRUCTURE_SL,early_lower_high,123,123,59,64,47.97,760.18,1.23,6.18,0.117,729.0,6.45,47.97,49.59,0,0,0,0,0.768,0.999,18324739756.098,24432986341.463,0.172
v4_all_signals,MID_TF_STRUCTURE_SL,micro_break,60,60,47,13,78.33,2383.66,4.778,39.73,0.825,288.93,2.89,78.33,21.67,0,0,0,0,0.592,1.287,8746466000.0,11661954666.667,0.169
v4_all_signals,MID_TF_STRUCTURE_SL,momentum_turn,3,3,0,3,0.0,-133.8,0.0,-44.6,-1.0,133.8,1.34,0.0,100.0,0,0,0,0,1.004,0.023,11150000000.0,14866666666.667,0.04
v4_candle_reversal_only,CURRENT_SL,candle_reversal,369,369,187,182,50.68,4343.81,1.498,11.77,0.179,1236.22,8.17,50.68,49.32,0,0,0,0,0.783,1.076,16566702357.724,22088936476.965,0.118
v4_candle_reversal_only,LOWER_TF_REVERSAL_SL,candle_reversal,369,300,152,148,50.67,3311.5,1.485,11.04,0.18,1287.51,9.3,39.3,37.67,0,9,54,6,0.761,1.042,15066811600.0,20089082133.333,0.124
v4_candle_reversal_only,MID_TF_STRUCTURE_SL,candle_reversal,369,369,187,182,50.68,4343.81,1.498,11.77,0.179,1236.22,8.17,50.68,49.32,0,0,0,0,0.783,1.076,16566702357.724,22088936476.965,0.118
v4_micro_break_only,CURRENT_SL,micro_break,204,204,99,105,48.53,1102.56,1.218,5.4,0.128,699.33,6.08,48.53,50.0,1,0,0,0,0.803,1.09,14859878970.588,19813171960.784,0.103
v4_micro_break_only,LOWER_TF_REVERSAL_SL,micro_break,204,171,90,81,52.63,1647.32,1.447,9.63,0.226,370.92,3.15,40.69,35.29,0,0,27,6,0.787,1.086,13470821929.825,17961095906.433,0.101
v4_micro_break_only,MID_TF_STRUCTURE_SL,micro_break,204,204,99,105,48.53,1102.56,1.218,5.4,0.128,699.33,6.08,48.53,50.0,1,0,0,0,0.803,1.09,14859878970.588,19813171960.784,0.103
v4_micro_or_candle,CURRENT_SL,candle_reversal,312,312,155,157,49.68,3553.17,1.476,11.39,0.156,1620.1,10.83,49.68,50.32,0,0,0,0,0.791,1.07,16917542115.385,22556722820.513,0.119
v4_micro_or_candle,CURRENT_SL,micro_break,114,114,69,45,60.53,2162.48,1.949,18.97,0.41,478.85,4.19,60.53,39.47,0,0,0,0,0.723,1.189,12252916842.105,16337222456.14,0.121
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,candle_reversal,312,264,133,131,50.38,2864.21,1.472,10.85,0.173,1339.71,9.62,40.38,39.1,0,9,33,6,0.754,1.039,15826460568.182,21101947424.242,0.127
v4_micro_or_candle,LOWER_TF_REVERSAL_SL,micro_break,114,99,63,36,63.64,2496.58,2.597,25.22,0.494,288.93,2.84,51.75,26.32,0,0,12,3,0.68,1.175,9695345151.515,12927126868.687,0.118
v4_micro_or_candle,MID_TF_STRUCTURE_SL,candle_reversal,312,312,155,157,49.68,3553.17,1.476,11.39,0.156,1620.1,10.83,49.68,50.32,0,0,0,0,0.791,1.07,16917542115.385,22556722820.513,0.119
v4_micro_or_candle,MID_TF_STRUCTURE_SL,micro_break,114,114,69,45,60.53,2162.48,1.949,18.97,0.41,478.85,4.19,60.53,39.47,0,0,0,0,0.723,1.189,12252916842.105,16337222456.14,0.121
v4_without_weak_signals,CURRENT_SL,candle_reversal,282,282,136,146,48.23,2758.74,1.395,9.78,0.123,1308.45,9.45,48.23,51.77,0,0,0,0,0.817,1.072,16250823297.872,21667764397.163,0.118
v4_without_weak_signals,CURRENT_SL,early_lower_high,123,123,59,64,47.97,701.28,1.206,5.7,0.117,795.06,7.03,47.97,49.59,0,0,0,0,0.768,0.999,18324739756.098,24432986341.463,0.173
v4_without_weak_signals,CURRENT_SL,micro_break,93,93,62,31,66.67,2473.71,2.667,26.6,0.554,290.94,2.49,66.67,33.33,0,0,0,0,0.67,1.227,9994816774.194,13326422365.591,0.127
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,candle_reversal,282,240,120,120,50.0,2522.11,1.45,10.51,0.165,1084.38,8.17,40.07,39.36,0,9,30,3,0.766,1.039,15422187750.0,20562917000.0,0.119
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,early_lower_high,123,114,55,59,48.25,877.22,1.309,7.69,0.134,780.34,6.8,43.9,43.09,0,0,6,3,0.771,1.061,13428929736.842,17905239649.123,0.177
v4_without_weak_signals,LOWER_TF_REVERSAL_SL,micro_break,93,81,56,25,69.14,2511.83,3.36,31.01,0.626,288.93,2.84,55.91,20.43,0,0,9,3,0.612,1.173,10039439629.63,13385919506.173,0.12
v4_without_weak_signals,MID_TF_STRUCTURE_SL,candle_reversal,282,282,136,146,48.23,2758.74,1.395,9.78,0.123,1308.45,9.45,48.23,51.77,0,0,0,0,0.817,1.072,16250823297.872,21667764397.163,0.118
v4_without_weak_signals,MID_TF_STRUCTURE_SL,early_lower_high,123,123,59,64,47.97,701.28,1.206,5.7,0.117,795.06,7.03,47.97,49.59,0,0,0,0,0.768,0.999,18324739756.098,24432986341.463,0.173
v4_without_weak_signals,MID_TF_STRUCTURE_SL,micro_break,93,93,62,31,66.67,2473.71,2.667,26.6,0.554,290.94,2.49,66.67,33.33,0,0,0,0,0.67,1.227,9994816774.194,13326422365.591,0.127
