variant,sl_mode,session,month,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,server_00_07,2025-02,15,15,15,0,100.0,952.19,,63.48,1.333,0.0,0.0,100.0,0.0,0,0,0,0,0.263,1.527,5390000000.0,7186666666.667,0.09
current_thirdwave,CURRENT_SL,server_00_07,2025-08,6,6,3,3,50.0,48.35,1.33,8.06,0.167,146.58,1.47,50.0,50.0,0,0,0,0,0.877,1.179,3960000000.0,5280000000.0,0.125
current_thirdwave,CURRENT_SL,server_00_07,2025-10,12,12,3,9,25.0,-207.65,0.487,-17.3,-0.417,294.42,2.94,25.0,75.0,0,0,0,0,0.841,0.458,8885500000.0,11847333333.333,0.142
current_thirdwave,CURRENT_SL,server_00_07,2026-01,12,12,9,3,75.0,361.63,3.118,30.14,0.75,170.76,1.62,75.0,25.0,0,0,0,0,0.866,1.229,22725000000.0,30300000000.0,0.035
current_thirdwave,CURRENT_SL,server_00_07,2026-02,18,18,9,9,50.0,549.5,2.642,30.53,0.167,223.8,2.08,50.0,50.0,0,0,0,0,0.932,0.804,43078333333.334,57437777777.778,0.018
current_thirdwave,CURRENT_SL,server_00_07,2026-03,21,21,14,7,66.67,809.52,4.395,38.55,0.548,101.73,0.96,66.67,33.33,0,0,0,0,0.731,1.18,37018571428.571,49358095238.095,0.02
current_thirdwave,CURRENT_SL,server_08_15,2025-02,15,15,7,8,46.67,66.29,1.177,4.42,0.08,315.14,3.09,46.67,53.33,0,0,0,0,1.061,0.934,6898000000.0,9197333333.333,0.098
current_thirdwave,CURRENT_SL,server_08_15,2025-08,18,18,7,11,38.89,-90.75,0.832,-5.04,-0.1,480.75,4.63,38.89,61.11,0,0,0,0,0.952,0.885,4815000000.0,6420000000.0,0.115
current_thirdwave,CURRENT_SL,server_08_15,2025-10,21,21,12,9,57.14,324.56,1.76,15.46,0.333,144.72,1.44,57.14,42.86,0,0,0,0,0.671,0.962,8978142857.143,11970857142.857,0.09
current_thirdwave,CURRENT_SL,server_08_15,2026-01,33,33,12,21,36.36,-149.24,0.843,-4.52,-0.152,665.6,6.5,36.36,63.64,0,0,0,0,0.939,0.836,17170727272.727,22894303030.303,0.065
current_thirdwave,CURRENT_SL,server_08_15,2026-02,12,12,0,12,0.0,-523.8,0.0,-43.65,-1.0,523.8,5.24,0.0,100.0,0,0,0,0,1.2,0.568,14172500000.0,18896666666.667,0.035
current_thirdwave,CURRENT_SL,server_08_15,2026-03,21,21,9,12,42.86,-58.82,0.907,-2.8,0.0,333.36,3.24,42.86,57.14,0,0,0,0,0.878,0.798,21363660000.0,28484880000.0,0.077
current_thirdwave,CURRENT_SL,server_16_23,2025-02,18,18,9,9,50.0,56.86,1.131,3.16,0.107,287.49,2.87,44.44,33.33,0,0,0,0,0.639,0.842,5197000000.0,6929333333.333,0.13
current_thirdwave,CURRENT_SL,server_16_23,2025-08,15,15,6,9,40.0,-95.67,0.785,-6.38,-0.067,292.53,2.93,40.0,40.0,0,0,0,0,0.832,1.094,6298000000.0,8397333333.333,0.216
current_thirdwave,CURRENT_SL,server_16_23,2025-10,27,27,18,9,66.67,659.27,2.592,24.42,0.556,156.54,1.54,66.67,33.33,0,0,0,0,0.682,1.447,13855333333.333,18473777777.778,0.057
current_thirdwave,CURRENT_SL,server_16_23,2026-01,18,18,9,9,50.0,182.92,1.466,10.16,0.167,307.32,3.01,50.0,50.0,0,0,0,0,0.891,1.399,16281666666.667,21708888888.889,0.035
