variant,sl_mode,reward_r,trades,valid_trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,tp_hit_rate_pct,sl_hit_rate_pct,same_bar_ambiguous,invalid_stops,sl_too_tight,sl_too_wide,avg_mae_R,avg_mfe_R,avg_sl_atr,avg_tp_atr,avg_hypothetical_lot_size
current_thirdwave,CURRENT_SL,1.2,109,109,56,53,51.38,818.8,1.334,7.51,0.13,275.35,2.54,51.38,45.87,0,0,0,0,0.785,0.961,16710154403.67,20052185284.404,0.084
current_thirdwave,CURRENT_SL,1.3,109,109,54,55,49.54,861.08,1.338,7.9,0.139,284.03,2.73,49.54,47.71,0,0,0,0,0.81,1.034,16710154403.67,21723200724.771,0.084
current_thirdwave,CURRENT_SL,1.5,109,109,53,56,48.62,1214.98,1.467,11.15,0.206,302.82,2.72,47.71,48.62,0,0,0,0,0.834,1.112,16710154403.67,25065231605.505,0.084
current_thirdwave,LOWER_TF_REVERSAL_SL,1.2,109,79,33,46,41.77,-213.54,0.897,-2.7,-0.067,645.14,6.33,30.28,40.37,0,1,27,2,0.851,0.859,9607213037.975,11528655645.57,0.124
current_thirdwave,LOWER_TF_REVERSAL_SL,1.3,109,79,32,47,40.51,-204.69,0.904,-2.59,-0.065,646.64,6.36,28.44,41.28,0,1,27,2,0.872,0.883,9607213037.975,12489376949.367,0.124
current_thirdwave,LOWER_TF_REVERSAL_SL,1.5,109,79,31,48,39.24,-25.27,0.988,-0.32,-0.018,669.43,6.49,27.52,42.2,0,1,27,2,0.884,0.94,9607213037.975,14410819556.962,0.124
current_thirdwave,MID_TF_STRUCTURE_SL,1.2,109,109,56,53,51.38,818.8,1.334,7.51,0.13,275.35,2.54,51.38,45.87,0,0,0,0,0.785,0.961,16710154403.67,20052185284.404,0.084
current_thirdwave,MID_TF_STRUCTURE_SL,1.3,109,109,54,55,49.54,861.08,1.338,7.9,0.139,284.03,2.73,49.54,47.71,0,0,0,0,0.81,1.034,16710154403.67,21723200724.771,0.084
current_thirdwave,MID_TF_STRUCTURE_SL,1.5,109,109,53,56,48.62,1214.98,1.467,11.15,0.206,302.82,2.72,47.71,48.62,0,0,0,0,0.834,1.112,16710154403.67,25065231605.505,0.084
v4_all_signals,CURRENT_SL,1.2,194,194,100,94,51.55,1645.38,1.364,8.48,0.137,508.29,4.25,51.55,47.42,0,0,0,0,0.8,0.966,14606556907.216,17527868288.66,0.136
