open_time,close_time,symbol,direction,volume,open_price,close_price,open_deal,close_deal,commission,swap,profit,net_profit,close_balance,close_comment,holding_minutes,open_bar_m5,close_bar_m5,period,context,run,variant,scenario,signal_mode,trade_index,time,event,entry_price,sl,tp,mid_tf_structure_sl,lower_tf_reversal_sl,mid_tf_structure_sl_atr,lower_tf_reversal_sl_atr,lower_tf_reversal_sl_status,result_R,regime,session,scan_interval,entry_selection_mode,v4_signal_mode,v4_signal_mode_pass,v4_signal_mode_blocked,higher_tf,higher_structure_state,mid_tf,pullback_depth_pct,pullback_depth_atr,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name,month,hour,is_xauusd
2025.02.05 10:50:00,2025.02.05 17:00:08,USDJPY,SHORT,0.23,153.027,152.53,2,3,0.0,0.0,74.94,74.94,10074.94,tp 152.532,370.13,2025.02.05 10:50:00,2025.02.05 17:00:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,1,2025.02.05 10:49:59,order_sent,153.027,153.357,152.532,153.357,153.406,2.91,3.34,sl_too_wide,1.5061,REGIME_TREND_DOWN,server_08_15,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,LL_LH,PERIOD_M15,53.67,1.57,2.74,65.20,PERIOD_M5,153.186,153.009,1,0.16,18.0,early,100.00,2.91,0.330,1.50,0.1674,,,true,,true,,90.00,true,2.98,3,0.21,unclear,,0,1,0.16,65.20,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,10,FX
2025.02.05 19:10:00,2025.02.05 21:05:10,XAUUSD,LONG,0.04,2875.11,2862.84,4,5,0.0,0.0,-49.08,-49.08,10025.86,sl 2862.84,115.17,2025.02.05 19:10:00,2025.02.05 21:05:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,2,2025.02.05 19:09:59,order_sent,2875.11,2862.84,2893.52,2862.84,2869.36,3.70,1.74,valid,-1.0,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,75.18,2.38,3.62,64.93,PERIOD_M5,2871.53,2876.19,1,0.33,108.0,acceptable,100.00,3.70,12.27,1.50,0.0543,,,true,,true,,70.00,true,1.64,3,0.39,unclear,,0,1,0.33,64.93,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,19,XAUUSD
2025.02.07 18:35:00,2025.02.07 19:16:47,USDJPY,SHORT,0.11,151.126,151.775,6,7,0.0,0.0,-47.04,-47.04,9978.82,sl 151.771,41.78,2025.02.07 18:35:00,2025.02.07 19:15:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,3,2025.02.07 18:34:59,order_sent,151.126,151.771,150.159,151.771,151.504,3.93,2.30,valid,-1.0062,REGIME_TREND_DOWN,server_16_23,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,LL_LH,PERIOD_M15,56.87,2.68,3.84,44.33,PERIOD_M5,151.266,151.195,1,0.42,69.0,acceptable,100.00,3.93,0.645,1.50,0.0976,,,true,,true,,35.00,false,1.01,4,0.40,unclear,,0,1,0.42,44.33,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,18,FX
2025.02.10 06:00:00,2025.02.10 08:10:33,XAUUSD,LONG,0.1,2875.74,2882.87,8,9,0.0,0.0,71.3,71.3,10050.12,tp 2882.66,130.55,2025.02.10 06:00:00,2025.02.10 08:10:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,4,2025.02.10 05:59:59,order_sent,2875.74,2871.13,2882.66,2871.13,2872.30,2.78,2.07,valid,1.5466,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,48.54,4.89,2.67,13.90,PERIOD_M5,2874.62,2875.38,1,0.22,36.0,early,100.00,2.78,4.61,1.50,0.1086,,,true,,true,,20.00,false,1.10,2,0.19,unclear,,0,1,0.22,13.90,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,06,XAUUSD
2025.02.10 23:05:00,2025.02.11 01:32:48,XAUUSD,LONG,0.11,2906.67,2913.41,10,11,0.0,-9.18,64.96,64.96000000000001,10115.08,tp 2913.23,147.8,2025.02.10 23:05:00,2025.02.11 01:30:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,5,2025.02.10 23:04:59,order_sent,2906.67,2902.30,2913.23,2902.30,2902.73,3.37,3.04,valid,1.5423,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,61.29,3.45,3.23,27.82,PERIOD_M5,2905.49,2907.37,1,0.54,70.0,acceptable,100.00,3.37,4.37,1.50,0.1389,,,true,,true,,70.00,true,2.81,4,0.84,unclear,,0,1,0.54,27.82,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,23,XAUUSD
2025.02.11 07:40:00,2025.02.11 08:06:32,XAUUSD,LONG,0.08,2920.4,2928.92,12,13,0.0,0.0,68.16,68.16,10183.24,tp 2928.89,26.53,2025.02.11 07:40:00,2025.02.11 08:05:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,6,2025.02.11 07:39:59,order_sent,2920.40,2914.74,2928.89,2914.74,2917.12,3.63,2.10,sl_too_tight,1.5053,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,75.27,3.73,3.39,14.45,PERIOD_M5,2919.75,2920.85,1,0.29,45.0,acceptable,100.00,3.63,5.66,1.50,0.1153,,,true,,true,,70.00,true,1.66,3,0.34,unclear,,0,1,0.29,14.45,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,07,XAUUSD
2025.02.11 08:10:00,2025.02.11 09:02:07,XAUUSD,LONG,0.03,2928.46,2914.74,14,15,0.0,0.0,-41.16,-41.16,10142.08,sl 2914.76,52.12,2025.02.11 08:10:00,2025.02.11 09:00:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,7,2025.02.11 08:09:59,order_sent,2928.46,2914.76,2949.01,2914.76,2921.24,6.72,3.54,valid,-1.0015,REGIME_TREND_UP,server_08_15,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,75.27,3.98,6.55,36.48,PERIOD_M5,2919.75,2927.04,1,0.70,142.0,unclear,100.00,6.72,13.70,1.50,0.0883,,,true,,true,,35.00,false,2.43,1,0.65,unclear,,0,1,0.70,36.48,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,08,XAUUSD
2025.02.12 16:05:00,2025.02.12 17:00:08,EURJPY,LONG,0.32,159.483,159.839,16,17,0.0,0.0,75.07,75.07,10217.15,tp 159.839,55.13,2025.02.12 16:05:00,2025.02.12 17:00:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,8,2025.02.12 16:04:59,order_sent,159.483,159.246,159.839,159.246,159.261,1.48,1.38,valid,1.5021,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,53.96,2.28,1.29,29.78,PERIOD_M5,159.497,159.548,1,0.40,65.0,acceptable,100.00,1.48,0.237,1.50,0.1867,,,true,,true,,35.00,false,1.21,2,0.46,unclear,,0,1,0.40,29.78,0.00,0.00,third_wave_middle,valid_but_not_initial,DowFractal_ThirdWave_Regime,2025-02,16,FX
2025.02.19 07:40:00,2025.02.19 10:26:28,XAUUSD,LONG,0.1,2931.39,2939.0,18,19,0.0,0.0,76.1,76.1,10293.25,tp 2939.00,166.47,2025.02.19 07:40:00,2025.02.19 10:25:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,9,2025.02.19 07:39:59,order_sent,2931.39,2926.32,2939.00,2926.32,2927.75,3.91,2.81,valid,1.501,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,84.39,4.54,3.77,31.29,PERIOD_M5,2930.26,2931.37,1,0.02,2.0,early,100.00,3.91,5.07,1.50,0.1388,,,true,,true,,55.00,false,1.77,2,0.02,unclear,,0,1,0.02,31.29,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,07,XAUUSD
2025.02.20 07:20:00,2025.02.20 09:36:56,XAUUSD,LONG,0.1,2944.05,2951.47,20,21,0.0,0.0,74.2,74.2,10367.45,tp 2951.40,136.93,2025.02.20 07:20:00,2025.02.20 09:35:00,2025-02,2025 losing-period sample,A,current_thirdwave,ThirdWave_regime_BOTH_all_5m,not_used,10,2025.02.20 07:19:59,order_sent,2944.05,2939.15,2951.40,2939.15,2939.19,3.79,3.76,valid,1.5143,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_ALL,true,false,PERIOD_H1,HH_HL,PERIOD_M15,58.27,2.76,3.65,36.48,PERIOD_M5,2941.48,2943.01,1,0.80,104.0,unclear,75.00,3.79,4.90,1.50,0.1391,,,true,,true,,70.00,true,2.32,3,0.57,unclear,,0,1,0.80,36.48,0.00,0.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_Regime,2025-02,07,XAUUSD
