time,event,symbol,direction,entry_price,sl,tp,mid_tf_structure_sl,lower_tf_reversal_sl,mid_tf_structure_sl_atr,lower_tf_reversal_sl_atr,lower_tf_reversal_sl_status,result_R,profit,regime,session,scan_interval,entry_selection_mode,v4_signal_mode,v4_signal_mode_pass,v4_signal_mode_blocked,higher_tf,higher_swing_low_1,higher_swing_high_1,higher_swing_low_2,higher_swing_high_2,higher_structure_state,higher_trend_age_bars,higher_ema_slope,higher_atr,mid_tf,impulse_start_price,impulse_end_price,pullback_extreme_price,pullback_depth_pct,pullback_depth_atr,pullback_bars,pullback_broke_origin,pullback_structure_low_or_high,distance_from_pullback_extreme_to_entry_atr,distance_from_pullback_extreme_to_entry_pct_of_impulse,lower_tf,minor_reversal_level,reclaim_or_breakdown_price,bars_since_reclaim_or_breakdown,entry_distance_from_reclaim_atr,entry_distance_from_reclaim_points,lower_reversal_quality,lower_reversal_quality_score,sl_atr,risk_r,rr,spread_atr,structure_stage_fail_reason,execution_block_reason,v2_filter_pass,v2_filter_fail_reason,v3_filter_pass,v3_filter_fail_reason,v3_momentum_exhaustion_score,v3_momentum_exhausted,v3_recent_move_atr,v3_consecutive_directional_bars,v3_close_to_recent_extreme_atr,reversal_signal_type,v4_block_reason,bars_since_pullback_extreme,bars_since_reversal_signal,distance_from_reversal_signal_to_entry_atr,impulse_consumed_pct,pre_entry_momentum_score,reversal_strength_score,wave_audit_label,wave_audit_reason,strategy_name
2026.01.02 10:44:59,execution_block_candidate,GBPJPY,LONG,211.135,211.017,211.312,211.017,211.017,1.24,1.24,valid,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,210.710,211.336,210.334,211.080,HH_HL,10,0.036,0.207,PERIOD_M15,210.710,211.336,211.055,44.89,2.49,3,false,211.055,0.84,12.78,PERIOD_M5,211.242,211.242,1,1.13,107.0,late,70.00,1.24,0.118,1.50,0.4006,,spread_guard,true,,true,,0.00,false,0.00,1,2.57,candle_reversal,,11,1,1.13,12.78,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.02 11:55:00,execution_block_candidate,GBPJPY,LONG,211.138,211.017,211.320,211.017,210.931,1.74,2.98,valid,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,210.710,211.429,210.334,211.336,HH_HL,11,0.033,0.224,PERIOD_M15,210.710,211.429,211.055,52.02,2.87,8,false,211.055,1.20,11.54,PERIOD_M5,211.109,211.109,1,0.42,29.0,acceptable,65.00,1.74,0.121,1.50,0.5473,,spread_guard,true,,true,,20.00,false,0.49,1,0.01,candle_reversal,,4,1,0.42,11.54,18.00,65.00,third_wave_middle,valid_but_not_initial,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.02 15:14:59,execution_block_candidate,USDJPY,LONG,156.871,156.779,157.009,156.779,156.843,2.45,0.75,sl_too_tight,,,REGIME_TREND_UP,server_08_15,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,156.759,156.990,156.513,156.880,HH_HL,5,0.094,0.144,PERIOD_M15,156.759,156.990,156.795,84.42,2.93,11,false,156.795,2.03,32.90,PERIOD_M5,156.972,156.972,1,2.69,101.0,late,70.00,2.45,0.092,1.50,0.4267,,spread_guard,true,,true,,0.00,false,0.00,1,3.23,candle_reversal,,24,1,2.69,32.90,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.02 16:44:59,execution_block_candidate,GBPJPY,LONG,211.161,210.863,211.608,210.863,210.912,3.67,3.07,valid,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,210.732,211.429,210.710,211.336,HH_HL,8,0.036,0.210,PERIOD_M15,210.732,211.429,210.901,75.75,3.89,5,false,210.901,3.20,37.30,PERIOD_M5,211.212,211.212,1,0.63,51.0,unclear,70.00,3.67,0.298,1.50,0.4683,,spread_guard,true,,true,,0.00,false,0.00,1,0.63,candle_reversal,,17,1,0.63,37.30,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.02 18:59:59,execution_block_candidate,GBPJPY,LONG,211.249,210.975,211.660,210.975,211.154,3.11,1.08,sl_too_tight,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,210.732,211.429,210.710,211.336,HH_HL,10,0.050,0.222,PERIOD_M15,210.732,211.429,211.013,59.68,2.60,9,false,211.013,2.68,33.86,PERIOD_M5,211.354,211.354,1,1.19,105.0,late,70.00,3.11,0.274,1.50,0.4318,,spread_guard,true,,true,,0.00,false,0.00,1,1.62,candle_reversal,,22,1,1.19,33.86,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.02 19:29:59,execution_block_candidate,GBPJPY,LONG,211.239,210.975,211.635,210.975,211.087,3.70,2.13,valid,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,210.732,211.429,210.710,211.336,HH_HL,11,0.059,0.225,PERIOD_M15,210.732,211.429,211.013,59.68,2.80,11,false,211.013,3.17,32.42,PERIOD_M5,211.215,211.215,1,0.34,24.0,acceptable,70.00,3.70,0.264,1.50,0.5325,,spread_guard,true,,true,,0.00,false,0.84,1,0.46,candle_reversal,,24,1,0.34,32.42,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.02 19:59:59,execution_block_candidate,GBPJPY,LONG,211.079,210.975,211.235,210.975,210.981,1.79,1.69,valid,,,REGIME_TREND_UP,server_16_23,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,210.732,211.429,210.710,211.336,HH_HL,11,0.059,0.225,PERIOD_M15,210.732,211.429,211.013,59.68,2.80,13,false,211.013,1.14,9.47,PERIOD_M5,211.169,211.169,1,1.55,90.0,late,70.00,1.79,0.104,1.50,0.6552,,spread_guard,true,,true,,0.00,false,0.00,1,2.90,candle_reversal,,1,1,1.55,9.47,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.05 05:00:00,execution_block_candidate,USDJPY,LONG,157.156,156.917,157.515,156.917,156.917,3.94,3.94,valid,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,156.674,157.240,156.543,156.949,HH_HL,5,0.060,0.186,PERIOD_M15,156.674,157.240,156.933,54.24,2.44,5,false,156.933,3.68,39.40,PERIOD_M5,157.199,157.199,1,0.71,43.0,unclear,70.00,3.94,0.239,1.50,0.2638,,spread_guard,true,,true,,0.00,false,0.00,1,0.71,candle_reversal,,15,1,0.71,39.40,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.05 05:14:59,v4_blocked_candidate,USDJPY,LONG,157.164,156.917,157.535,156.917,156.928,4.36,4.17,valid,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,156.674,157.240,156.543,156.949,HH_HL,5,0.060,0.186,PERIOD_M15,156.674,157.240,156.933,54.24,2.44,5,false,156.933,4.08,40.81,PERIOD_M5,157.159,157.159,1,0.09,5.0,early,95.00,4.36,0.247,1.50,0.2825,v4_impulse_consumed,,true,,true,,0.00,false,0.83,1,0.62,candle_reversal,v4_impulse_consumed,17,1,0.09,40.81,18.00,95.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
2026.01.05 06:09:59,final_entry_candidate,XAUUSD,LONG,4400.56,4388.21,4419.09,4388.21,4396.70,2.68,0.84,sl_too_tight,,,REGIME_TREND_UP,server_00_07,300,all_score_passing,V4_SIGNAL_CANDLE_REVERSAL_ONLY,true,false,PERIOD_H1,4310.01,4421.34,4304.53,4402.26,HH_HL,9,4.84,21.81,PERIOD_M15,4310.01,4421.34,4388.80,29.23,2.77,8,false,4388.80,2.55,10.56,PERIOD_M5,4410.30,4410.30,1,2.11,974.0,late,70.00,2.68,12.35,1.50,0.0434,,,true,,true,,0.00,false,0.00,1,2.20,candle_reversal,,24,1,2.11,10.56,18.00,70.00,chasing_entry,entry_or_sl_stretched,DowFractal_ThirdWave_V4_EarlyReversal
