month,check,status,detail
202505,snapshot_count,PASS,840/840/840
202505,only_usdjpy_signals,PASS,
202505,unique_signal,PASS,
202505,features_match_original,PASS,[]
202505,long_inference,PASS,6.661338147750939e-16
202505,short_inference,PASS,5.551115123125783e-16
202505,direction_parity,PASS,
202505,only_usdjpy_orders,PASS,
202505,entry_after_processing,PASS,
202505,entry_after_request,PASS,
202505,quote_after_processing,PASS,
202505,no_future_quote,PASS,
202505,entry_quote_not_stale,PASS,
202505,quote_strictly_after_source,PASS,
202505,exit_after_entry,PASS,
202505,volume_closed,PASS,
202505,unique_position,PASS,
202505,pnl_components,PASS,
202505,r_accounting,PASS,
202505,risk_positive,PASS,
202505,actual_rr_at_least_one,PASS,
202505,positions_do_not_overlap,PASS,
202505,volume_step,PASS,
202505,minimum_volume,PASS,
202505,sl_tick_size,PASS,
202505,tp_tick_size,PASS,
202505,one_end_summary,PASS,
202505,remaining_positions_zero,PASS,
202505,candidate_errors_zero,PASS,
202505,journal_closed_count,PASS,
202505,tester_net_observed,PASS,
202505,tester_net_reconciles,PASS,
202506,snapshot_count,PASS,476/476/476
202506,only_usdjpy_signals,PASS,
202506,unique_signal,PASS,
202506,features_match_original,PASS,[]
202506,long_inference,PASS,5.134781488891349e-16
202506,short_inference,PASS,6.661338147750939e-16
202506,direction_parity,PASS,
202506,only_usdjpy_orders,PASS,
202506,entry_after_processing,PASS,
202506,entry_after_request,PASS,
202506,quote_after_processing,PASS,
202506,no_future_quote,PASS,
202506,entry_quote_not_stale,PASS,
202506,quote_strictly_after_source,PASS,
202506,exit_after_entry,PASS,
202506,volume_closed,PASS,
202506,unique_position,PASS,
202506,pnl_components,PASS,
202506,r_accounting,PASS,
202506,risk_positive,PASS,
202506,actual_rr_at_least_one,PASS,
202506,positions_do_not_overlap,PASS,
202506,volume_step,PASS,
202506,minimum_volume,PASS,
202506,sl_tick_size,PASS,
202506,tp_tick_size,PASS,
202506,one_end_summary,PASS,
202506,remaining_positions_zero,PASS,
202506,candidate_errors_zero,PASS,
202506,journal_closed_count,PASS,
202506,tester_net_observed,PASS,
202506,tester_net_reconciles,PASS,
