period,variant,sl_width_atr_bucket,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size
2024,current_thirdwave_current_sl_1_5R,normal_1.5-2.5,45,21,24,46.67,408.03,1.325,9.07,0.208,336.76,3.3,5,-259.54,337.58,70.45,282.38,125.65,75.56,66.67,1.979,2.968,0.1296,0.5003,56.02,1.845,0.216,0.47
2024,current_thirdwave_current_sl_1_5R,tight_<1.5,10,4,6,40.0,-27.97,0.916,-2.8,-0.051,231.71,2.28,4,-231.71,-80.76,52.79,-80.71,52.74,40.0,40.0,1.246,1.869,0.1506,0.5221,41.19,1.095,0.455,0.69
2024,current_thirdwave_current_sl_1_5R,very_wide_3.5+,61,25,36,40.98,-70.83,0.961,-1.16,0.025,399.05,3.96,6,-308.96,-33.23,-37.6,-256.41,185.58,70.49,63.93,4.441,6.661,0.1341,0.4307,54.73,4.294,0.099,0.35
2024,current_thirdwave_current_sl_1_5R,wide_2.5-3.5,62,28,34,45.16,405.02,1.233,6.53,0.143,354.99,3.3,6,-321.22,-66.95,471.97,597.62,-192.6,66.13,53.23,2.964,4.446,0.1372,0.4853,50.51,2.825,0.163,0.46
2024,v4_micro_or_candle_lower_tf_sl_1_2R,normal_1.5-2.5,103,43,60,41.75,-711.62,0.757,-6.91,-0.099,1263.14,12.36,6,-299.8,135.83,-847.45,-447.94,-263.68,64.08,57.28,2.05,2.46,0.1339,0.5175,55.4,2.196,0.206,0.58
2024,v4_micro_or_candle_lower_tf_sl_1_2R,tight_<1.5,40,20,20,50.0,150.31,1.155,3.76,0.093,275.62,2.72,4,-200.09,-136.78,287.09,273.72,-123.41,60.0,40.0,1.236,1.483,0.1348,0.5067,59.7,1.494,0.343,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_2R,very_wide_3.5+,19,9,10,47.37,-29.94,0.943,-1.58,0.056,247.88,2.48,3,-158.0,-33.87,3.93,-157.0,127.06,84.21,78.95,3.765,4.518,0.15,0.3913,64.46,3.619,0.112,0.23
2024,v4_micro_or_candle_lower_tf_sl_1_2R,wide_2.5-3.5,78,37,41,47.44,168.9,1.087,2.17,0.063,282.69,2.78,5,-218.97,-124.34,293.24,281.69,-112.79,69.23,60.26,2.924,3.509,0.1404,0.5017,54.41,2.761,0.141,0.46
2024,v4_micro_or_candle_lower_tf_sl_1_3R,normal_1.5-2.5,102,42,60,41.18,-578.63,0.802,-5.67,-0.073,1229.24,11.97,7,-327.16,218.18,-796.81,-294.99,-283.64,63.73,56.86,2.042,2.655,0.1339,0.5143,55.37,2.191,0.206,0.58
2024,v4_micro_or_candle_lower_tf_sl_1_3R,tight_<1.5,40,18,22,45.0,34.57,1.033,0.86,0.03,267.17,2.64,4,-200.12,-223.75,258.32,219.58,-185.01,60.0,40.0,1.236,1.607,0.1348,0.5067,59.7,1.494,0.343,0.96
2024,v4_micro_or_candle_lower_tf_sl_1_3R,very_wide_3.5+,20,10,10,50.0,62.61,1.12,3.13,0.154,183.04,1.83,2,-130.83,-29.18,91.79,-133.93,196.54,85.0,75.0,3.784,4.919,0.1506,0.3748,65.12,3.638,0.112,0.23
2024,v4_micro_or_candle_lower_tf_sl_1_3R,wide_2.5-3.5,76,34,42,44.74,114.4,1.058,1.51,0.052,294.98,2.94,5,-218.97,-26.04,140.44,331.05,-216.65,69.74,60.53,2.918,3.793,0.1398,0.5089,54.32,2.754,0.142,0.46
2024,v4_without_weak_lower_tf_sl_1_3R,normal_1.5-2.5,122,45,77,36.89,-1156.87,0.681,-9.48,-0.168,1524.17,15.12,10,-481.02,-287.94,-868.93,-268.15,-888.72,59.02,47.54,2.022,2.628,0.1377,0.4834,55.35,2.137,0.212,0.57
2024,v4_without_weak_lower_tf_sl_1_3R,tight_<1.5,55,22,33,40.0,-271.2,0.828,-4.93,-0.094,426.28,4.25,6,-274.45,-371.15,99.95,216.04,-487.24,58.18,29.09,1.24,1.612,0.1384,0.5125,58.98,1.424,0.339,0.95
2024,v4_without_weak_lower_tf_sl_1_3R,very_wide_3.5+,23,13,10,56.52,216.33,1.426,9.41,0.305,130.83,1.31,2,-130.83,26.97,189.36,-130.7,347.03,82.61,65.22,3.777,4.911,0.1428,0.3725,63.41,3.633,0.1,0.23
2024,v4_without_weak_lower_tf_sl_1_3R,wide_2.5-3.5,85,39,46,45.88,299.86,1.143,3.53,0.09,266.16,2.58,6,-266.16,180.61,119.25,336.27,-36.41,65.88,54.12,2.89,3.757,0.1381,0.4995,54.26,2.7,0.137,0.45
2025,current_thirdwave_current_sl_1_5R,normal_1.5-2.5,64,23,41,35.94,-412.28,0.796,-6.44,-0.117,694.48,6.81,7,-375.38,155.62,-567.9,-482.84,70.56,70.31,57.81,2.067,3.101,0.0999,0.4545,57.78,1.951,0.145,0.45
2025,current_thirdwave_current_sl_1_5R,tight_<1.5,10,5,5,50.0,122.13,1.5,12.21,0.267,100.84,1.0,2,-100.84,75.42,46.71,-1.62,123.75,40.0,50.0,1.255,1.882,0.1201,0.4576,47.47,1.125,0.306,0.8
2025,current_thirdwave_current_sl_1_5R,very_wide_3.5+,96,36,60,37.5,-405.55,0.853,-4.22,-0.064,820.58,7.99,7,-325.37,-352.27,-53.28,-162.14,-243.41,82.29,62.5,4.234,6.351,0.0988,0.4673,54.09,4.105,0.062,0.24
2025,current_thirdwave_current_sl_1_5R,wide_2.5-3.5,99,42,57,42.42,263.72,1.097,2.66,0.086,450.26,4.36,9,-450.26,-289.59,553.31,96.08,167.64,76.77,58.59,2.974,4.461,0.0964,0.4912,55.33,2.858,0.097,0.33
2025,v4_micro_or_candle_lower_tf_sl_1_2R,normal_1.5-2.5,141,57,84,40.43,-830.3,0.8,-5.89,-0.098,1205.6,11.93,6,-303.93,-501.98,-328.32,-73.62,-756.68,75.89,60.99,1.999,2.399,0.0982,0.4614,57.08,2.016,0.154,0.6
2025,v4_micro_or_candle_lower_tf_sl_1_2R,tight_<1.5,49,22,27,44.9,-44.65,0.967,-0.91,-0.016,411.38,4.11,4,-205.53,-72.27,27.62,25.35,-70.0,61.22,38.78,1.288,1.546,0.1093,0.4372,57.81,1.652,0.314,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_2R,very_wide_3.5+,31,18,13,58.06,381.22,1.601,12.3,0.273,206.94,1.96,4,-206.94,-132.88,514.1,266.59,114.63,77.42,58.06,3.754,4.505,0.1001,0.5725,46.38,3.407,0.083,0.26
2025,v4_micro_or_candle_lower_tf_sl_1_2R,wide_2.5-3.5,116,66,50,56.9,1337.34,1.551,11.53,0.259,210.3,1.94,3,-144.3,623.97,713.37,1170.91,166.43,74.14,56.03,2.918,3.502,0.0954,0.4697,54.92,2.769,0.102,0.38
2025,v4_micro_or_candle_lower_tf_sl_1_3R,normal_1.5-2.5,140,53,87,37.86,-916.76,0.784,-6.55,-0.114,1268.86,12.55,11,-541.26,-431.71,-485.05,-271.12,-645.64,75.71,60.71,1.999,2.599,0.0979,0.464,57.1,2.018,0.152,0.58
2025,v4_micro_or_candle_lower_tf_sl_1_3R,tight_<1.5,49,21,28,42.86,-56.37,0.96,-1.15,-0.017,490.41,4.9,5,-244.7,-143.87,87.5,64.26,-120.63,61.22,38.78,1.288,1.675,0.1093,0.4372,57.81,1.652,0.309,0.83
2025,v4_micro_or_candle_lower_tf_sl_1_3R,very_wide_3.5+,30,18,12,60.0,483.57,1.835,16.12,0.374,157.18,1.49,3,-157.18,-77.59,561.16,339.6,143.97,80.0,56.67,3.741,4.863,0.0972,0.5721,47.0,3.389,0.077,0.26
2025,v4_micro_or_candle_lower_tf_sl_1_3R,wide_2.5-3.5,116,62,54,53.45,1214.41,1.472,10.47,0.236,344.76,3.19,4,-177.85,368.51,845.9,1142.52,71.89,74.14,56.03,2.918,3.793,0.0954,0.4697,54.92,2.769,0.101,0.37
2025,v4_without_weak_lower_tf_sl_1_3R,normal_1.5-2.5,170,70,100,41.18,-490.23,0.9,-2.88,-0.04,1183.38,11.71,11,-532.67,-447.24,-42.99,-271.08,-219.15,70.59,50.0,1.991,2.589,0.1005,0.4439,56.05,1.957,0.158,0.55
2025,v4_without_weak_lower_tf_sl_1_3R,tight_<1.5,55,23,32,41.82,-94.6,0.941,-1.72,-0.039,571.69,5.72,6,-292.19,-145.43,50.83,64.63,-159.23,56.36,34.55,1.279,1.663,0.1147,0.423,59.98,1.524,0.327,0.85
2025,v4_without_weak_lower_tf_sl_1_3R,very_wide_3.5+,34,20,14,58.82,487.03,1.724,14.32,0.348,155.85,1.49,3,-155.85,-137.32,624.35,317.8,169.23,85.29,50.0,3.747,4.871,0.0933,0.545,49.29,3.423,0.071,0.26
2025,v4_without_weak_lower_tf_sl_1_3R,wide_2.5-3.5,129,66,63,51.16,1216.15,1.402,9.43,0.212,291.81,2.7,5,-246.46,209.36,1006.79,1155.93,60.22,68.22,50.39,2.92,3.796,0.102,0.4511,54.52,2.723,0.111,0.39
2026YTD,current_thirdwave_current_sl_1_5R,normal_1.5-2.5,35,19,16,54.29,565.34,1.695,16.15,0.378,269.31,2.5,4,-215.21,137.25,428.09,349.02,216.32,85.71,22.86,2.107,3.16,0.0659,0.3724,55.72,2.001,0.085,0.44
2026YTD,current_thirdwave_current_sl_1_5R,tight_<1.5,6,2,4,33.33,-75.83,0.645,-12.64,-0.166,147.13,1.47,3,-147.13,0,-75.83,-76.93,1.1,100.0,66.67,1.248,1.873,0.0281,0.484,65.28,1.17,0.048,0.07
2026YTD,current_thirdwave_current_sl_1_5R,very_wide_3.5+,25,12,13,48.0,412.53,1.687,16.5,0.237,148.08,1.48,3,-148.08,-49.99,462.52,-91.41,503.94,96.0,56.0,4.296,6.445,0.0468,0.4704,56.05,4.182,0.023,0.11
