period,variant,trades,wins,losses,win_rate,net_profit,profit_factor,expected_payoff,avg_R,max_drawdown,max_drawdown_pct,max_consecutive_losses,max_consecutive_losses_amount,fx_net,xauusd_net,long_net,short_net,xauusd_trade_share_pct,long_trade_share_pct,avg_sl_atr,avg_tp_atr,avg_spread_atr,avg_trend_strength,avg_pullback_depth_pct,avg_distance_from_pullback_extreme_atr,avg_lot_size,max_lot_size,main_loss_reason
2024,current_thirdwave_current_sl_1_5R,178,78,100,43.82,714.25,1.139,4.01,0.108,754.33,6.9,9,-457.0,156.64,557.61,542.88,171.37,68.54,59.55,3.124,4.687,0.135,0.4724,52.83,2.983,0.171,0.69,reversal_signal_type:unclear (-5144.69)
2024,v4_micro_or_candle_lower_tf_sl_1_2R,240,109,131,45.42,-422.35,0.933,-1.76,-0.002,1177.96,11.5,9,-437.96,-159.16,-263.19,-49.53,-372.82,66.67,57.08,2.334,2.801,0.1374,0.5006,56.52,2.375,0.2,0.96,wave_audit_label:chasing_entry (-5390.71)
2024,v4_micro_or_candle_lower_tf_sl_1_3R,238,104,134,43.7,-367.05,0.943,-1.54,0.003,1101.06,10.82,9,-435.57,-60.79,-306.26,121.71,-488.76,66.81,56.72,2.333,3.033,0.1373,0.4996,56.59,2.375,0.2,0.96,wave_audit_label:chasing_entry (-5528.95)
2024,v4_without_weak_lower_tf_sl_1_3R,285,119,166,41.75,-911.88,0.883,-3.2,-0.039,1280.89,12.71,10,-465.26,-451.51,-460.37,153.46,-1065.34,62.81,47.37,2.271,2.953,0.1384,0.4849,56.37,2.288,0.205,0.95,wave_audit_label:chasing_entry (-6350.35)
2025,current_thirdwave_current_sl_1_5R,269,106,163,39.41,-431.98,0.944,-1.61,-0.009,1178.66,11.11,9,-451.53,-410.82,-21.16,-550.52,118.54,75.84,59.48,3.144,4.716,0.099,0.4727,55.18,3.023,0.104,0.8,reversal_signal_type:unclear (-7734.83)
2025,v4_micro_or_candle_lower_tf_sl_1_2R,337,163,174,48.37,843.61,1.098,2.5,0.071,584.73,5.63,9,-440.66,-83.16,926.77,1389.23,-545.62,73.29,55.79,2.373,2.848,0.099,0.4709,55.46,2.35,0.153,0.83,wave_audit_label:chasing_entry (-7245.29)
2025,v4_micro_or_candle_lower_tf_sl_1_3R,335,154,181,45.97,724.85,1.082,2.16,0.065,687.78,6.68,9,-438.06,-284.66,1009.51,1275.26,-550.41,73.43,55.52,2.369,3.08,0.0986,0.4717,55.55,2.347,0.15,0.83,wave_audit_label:chasing_entry (-7414.99)
2025,v4_without_weak_lower_tf_sl_1_3R,388,179,209,46.13,1118.35,1.11,2.88,0.078,908.13,8.79,14,-671.58,-520.63,1638.98,1267.28,-148.93,69.07,47.94,2.353,3.059,0.1024,0.4522,55.5,2.279,0.159,0.85,wave_audit_label:chasing_entry (-8515.95)
2026YTD,current_thirdwave_current_sl_1_5R,95,44,51,46.32,865.75,1.353,9.11,0.161,277.88,2.67,6,-277.88,9.64,856.11,104.0,761.75,89.47,38.95,2.93,4.395,0.0567,0.4326,57.91,2.822,0.055,0.44,reversal_signal_type:unclear (-2453.31)
2026YTD,v4_micro_or_candle_lower_tf_sl_1_2R,122,63,59,51.64,921.66,1.303,7.55,0.147,633.93,5.52,6,-318.67,406.18,515.48,-18.73,940.39,84.43,36.07,2.394,2.873,0.0624,0.4113,56.86,2.401,0.078,0.61,wave_audit_label:chasing_entry (-2677.12)
2026YTD,v4_micro_or_candle_lower_tf_sl_1_3R,122,59,63,48.36,784.84,1.244,6.43,0.118,851.64,7.37,7,-324.3,334.04,450.8,-67.67,852.51,84.43,36.07,2.377,3.091,0.0625,0.4122,57.07,2.374,0.078,0.61,wave_audit_label:chasing_entry (-2850.39)
2026YTD,v4_without_weak_lower_tf_sl_1_3R,147,69,78,46.94,674.89,1.174,4.59,0.075,814.31,7.14,6,-319.89,216.14,458.75,-41.77,716.66,82.31,29.93,2.347,3.051,0.0655,0.4047,56.07,2.339,0.089,1.0,wave_audit_label:chasing_entry (-3419.62)
ALL_ANNUAL_WINDOWS,current_thirdwave_current_sl_1_5R,542,228,314,42.07,1148.02,1.075,2.12,0.059,1178.66,10.41,9,-457.0,-244.54,1392.56,96.36,1051.66,75.83,55.9,3.1,4.65,0.1034,0.4656,54.89,2.975,0.117,0.8,reversal_signal_type:unclear (-15332.83)
ALL_ANNUAL_WINDOWS,v4_micro_or_candle_lower_tf_sl_1_2R,699,335,364,47.93,1342.92,1.075,1.92,0.059,1177.96,11.5,9,-437.96,163.86,1179.06,1320.97,21.95,72.96,52.79,2.364,2.836,0.1058,0.4707,56.07,2.368,0.156,0.96,wave_audit_label:chasing_entry (-15313.12)
ALL_ANNUAL_WINDOWS,v4_micro_or_candle_lower_tf_sl_1_3R,695,317,378,45.61,1142.64,1.062,1.64,0.053,1101.06,10.82,9,-435.57,-11.41,1154.05,1329.3,-186.66,73.09,52.52,2.358,3.066,0.1055,0.4708,56.17,2.362,0.155,0.96,wave_audit_label:chasing_entry (-15794.33)
ALL_ANNUAL_WINDOWS,v4_without_weak_lower_tf_sl_1_3R,820,367,453,44.76,881.36,1.04,1.07,0.037,1570.04,15.58,14,-671.58,-756.0,1637.36,1378.97,-497.61,69.27,44.51,2.324,3.021,0.1083,0.455,55.91,2.293,0.162,1.0,wave_audit_label:chasing_entry (-18285.92)
