"Preset","Direction","Period","From","To","Magic","Ini","Set","Sort"
"C","ANY","full","2024.01.01","2026.03.30","2026051701","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-full-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-full-usdjpy.set","0"
"C","ANY","2024","2024.01.01","2024.12.31","2026051702","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024-usdjpy.set","1"
"C","ANY","2025","2025.01.01","2025.12.31","2026051703","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025-usdjpy.set","2"
"C","ANY","2026q1","2026.01.01","2026.03.30","2026051704","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2026q1-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2026q1-usdjpy.set","3"
"C","ANY","2024q1","2024.01.01","2024.03.31","2026051705","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q1-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q1-usdjpy.set","4"
"C","ANY","2024q2","2024.04.01","2024.06.30","2026051706","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q2-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q2-usdjpy.set","5"
"C","ANY","2024q3","2024.07.01","2024.09.30","2026051707","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q3-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q3-usdjpy.set","6"
"C","ANY","2024q4","2024.10.01","2024.12.31","2026051708","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q4-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2024q4-usdjpy.set","7"
"C","ANY","2025q1","2025.01.01","2025.03.31","2026051709","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q1-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q1-usdjpy.set","8"
"C","ANY","2025q2","2025.04.01","2025.06.30","2026051710","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q2-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q2-usdjpy.set","9"
"C","ANY","2025q3","2025.07.01","2025.09.30","2026051711","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q3-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q3-usdjpy.set","10"
"C","ANY","2025q4","2025.10.01","2025.12.31","2026051712","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q4-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2025q4-usdjpy.set","11"
"C","ANY","2026q1-quarter","2026.01.01","2026.03.30","2026051713","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2026q1-quarter-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-any-2026q1-quarter-usdjpy.set","12"
"C","LONG_ONLY","full","2024.01.01","2026.03.30","2026051714","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-full-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-full-usdjpy.set","0"
"C","LONG_ONLY","2024","2024.01.01","2024.12.31","2026051715","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024-usdjpy.set","1"
"C","LONG_ONLY","2025","2025.01.01","2025.12.31","2026051716","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025-usdjpy.set","2"
"C","LONG_ONLY","2026q1","2026.01.01","2026.03.30","2026051717","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2026q1-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2026q1-usdjpy.set","3"
"C","LONG_ONLY","2024q1","2024.01.01","2024.03.31","2026051718","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q1-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q1-usdjpy.set","4"
"C","LONG_ONLY","2024q2","2024.04.01","2024.06.30","2026051719","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q2-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q2-usdjpy.set","5"
"C","LONG_ONLY","2024q3","2024.07.01","2024.09.30","2026051720","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q3-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q3-usdjpy.set","6"
"C","LONG_ONLY","2024q4","2024.10.01","2024.12.31","2026051721","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q4-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2024q4-usdjpy.set","7"
"C","LONG_ONLY","2025q1","2025.01.01","2025.03.31","2026051722","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025q1-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025q1-usdjpy.set","8"
"C","LONG_ONLY","2025q2","2025.04.01","2025.06.30","2026051723","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025q2-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025q2-usdjpy.set","9"
"C","LONG_ONLY","2025q3","2025.07.01","2025.09.30","2026051724","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\backtest\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025q3-usdjpy.ini","C:\Users\windows\AppData\Roaming\MetaQuotes\Terminal\2FA8A7E69CED7DC259B1AD86A247F675\MQL5\Experts\dev\reports\presets\ExpectedValue_NWave_Scalper-strategy01b-dir-c-long_only-2025q3-usdjpy.set","10"
