setup_id;strategy_mode;signal_time;order_send_time;planned_entry_price;planned_sl;planned_tp;planned_risk_points;actual_entry_deal_time;actual_entry_deal_price;actual_exit_deal_time;actual_exit_deal_price;exit_reason;actual_risk_money;realized_profit_money;commission;swap;slippage_points_entry;slippage_points_exit;spread_at_entry;spread_at_exit;realized_r;account_balance;account_equity;peak_equity;drawdown_percent;drawdown_r
SHORT_1767583800_157.020;STRATEGY_01B_J_SHORT;2026.01.05 03:55:00;2026.01.05 04:00:00;157.0080000000;157.1830000000;156.7460000000;175.0000000000;2026.01.05 04:00:00;157.0080000000;2026.01.05 04:37:06;157.1830000000;stop_loss;24.4900000000;-24.4900000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;16.0000000000;16.0000000000;-1.0000000000;9975.5100000000;9975.5100000000;10006.4500000000;0.3092005656;1.0000000000
SHORT_1767611400_156.771;STRATEGY_01B_J_SHORT;2026.01.05 16:00:00;2026.01.05 16:05:00;156.7610000000;156.8780000000;156.5860000000;117.0000000000;2026.01.05 16:05:00;156.7610000000;2026.01.05 17:25:45;156.5860000000;take_profit;24.6100000000;36.8800000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;21.0000000000;16.0000000000;1.4985778139;10012.3900000000;10012.3900000000;10012.3900000000;0.0000000000;0.0000000000
SHORT_1767840600_156.728;STRATEGY_01B_J_SHORT;2026.01.08 05:15:00;2026.01.08 05:20:00;156.6670000000;156.7950000000;156.4750000000;128.0000000000;2026.01.08 05:20:00;156.6670000000;2026.01.08 10:00:00;156.4740000000;take_profit;24.4900000000;37.0000000000;0.0000000000;0.0000000000;0.0000000000;-1.0000000000;17.0000000000;17.0000000000;1.5108207432;10049.3900000000;10049.3900000000;10049.3900000000;0.0000000000;0.0000000000
SHORT_1767913500_156.909;STRATEGY_01B_J_SHORT;2026.01.09 01:50:00;2026.01.09 01:55:00;156.8990000000;156.9900000000;156.7620000000;91.0000000000;2026.01.09 01:55:00;156.8990000000;2026.01.09 02:31:16;156.9900000000;stop_loss;24.9300000000;-24.9300000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;18.0000000000;18.0000000000;-1.0000000000;10024.4600000000;10024.4600000000;10055.6900000000;0.3105704333;1.0000000000
SHORT_1768205400_157.936;STRATEGY_01B_J_SHORT;2026.01.12 09:10:00;2026.01.12 09:15:00;157.9020000000;158.0690000000;157.6520000000;167.0000000000;2026.01.12 09:15:00;157.9020000000;2026.01.12 18:10:03;158.0700000000;stop_loss;24.3000000000;-24.4400000000;0.0000000000;0.0000000000;0.0000000000;1.0000000000;17.0000000000;18.0000000000;-1.0057613169;10000.0200000000;10000.0200000000;10056.1100000000;0.5577703506;2.0057613169
SHORT_1768385700_159.007;STRATEGY_01B_J_SHORT;2026.01.14 10:30:00;2026.01.14 10:35:00;158.9420000000;159.1980000000;158.5580000000;256.0000000000;2026.01.14 10:35:00;158.9420000000;2026.01.14 14:00:35;158.5560000000;take_profit;24.1200000000;36.5200000000;0.0000000000;0.0000000000;0.0000000000;-2.0000000000;17.0000000000;17.0000000000;1.5140961857;10036.5400000000;10036.5400000000;10056.1100000000;0.1946080542;0.4916651311
SHORT_1768527000_158.543;STRATEGY_01B_J_SHORT;2026.01.16 02:00:00;2026.01.16 02:05:00;158.5260000000;158.6700000000;158.3100000000;144.0000000000;2026.01.16 02:05:00;158.5260000000;2026.01.16 02:50:40;158.6740000000;stop_loss;24.5000000000;-25.1800000000;0.0000000000;0.0000000000;0.0000000000;4.0000000000;18.0000000000;18.0000000000;-1.0277551020;10011.3600000000;10011.3600000000;10056.1100000000;0.4450030877;1.5194202332
SHORT_1769076600_158.722;STRATEGY_01B_J_SHORT;2026.01.22 12:30:00;2026.01.22 12:35:00;158.6970000000;158.8550000000;158.4600000000;158.0000000000;2026.01.22 12:35:00;158.6970000000;2026.01.22 15:00:30;158.8600000000;stop_loss;24.8700000000;-25.6500000000;0.0000000000;0.0000000000;0.0000000000;5.0000000000;19.0000000000;24.0000000000;-1.0313630881;9985.7100000000;9985.7100000000;10056.1100000000;0.7000718966;2.5507833212
SHORT_1769154900_158.462;STRATEGY_01B_J_SHORT;2026.01.23 09:40:00;2026.01.23 09:45:00;157.5070000000;158.6670000000;155.7670000000;1160.0000000000;2026.01.23 09:45:00;157.5070000000;2026.01.23 21:53:07;155.7610000000;take_profit;21.9300000000;33.6300000000;0.0000000000;0.0000000000;0.0000000000;-6.0000000000;29.0000000000;20.0000000000;1.5335157319;10019.3400000000;10019.3400000000;10056.1100000000;0.3656483471;1.0172675894
SHORT_1770227700_156.566;STRATEGY_01B_J_SHORT;2026.02.04 18:50:00;2026.02.04 18:55:00;156.5560000000;156.7060000000;156.3310000000;150.0000000000;2026.02.04 18:55:00;156.5560000000;2026.02.04 20:11:28;156.7060000000;stop_loss;24.8900000000;-24.8900000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;21.0000000000;21.0000000000;-1.0000000000;9994.4500000000;9994.4500000000;10056.1100000000;0.6131595617;2.0172675894
