"RunName","Magic","DoubleTopBottomToleranceATR","NecklineBreakBufferATR","ADXLowThreshold","ADXHighThreshold","Trades","WinRate","AvgWinR","AvgLossR","ExpectancyR","PF","MaxDD_R","MaxLossR","TotalR","MaxConsecutiveLosses","PositiveMonths","PositiveQuarters","RiskGuardRejects","spread_too_wide","daily_loss_r_blocked","live_order_send_failed","live_position_tracking_failed","live_sl_tp_invalid","live_lot_invalid","LiveErrors","MonthlyProfitR","QuarterProfitR","RejectReasonCounts"
"is2025_jshort_g001_tol0.20_neck0.03_adx18_28","2026053101","0.2","0.03","18","28","100","47","1.499213","-1","0.17463","1.329491","10.501399","-1","17.463004","8","7","4","15","15","7","0","0","0","0","0","2025-01:4.994|2025-03:-0.499|2025-04:1.496|2025-05:7.996|2025-06:-2.499|2025-07:0.991|2025-08:4.99|2025-09:-2.001|2025-10:-6.5|2025-11:2.497|2025-12:5.998","2025-Q1:4.495|2025-Q2:6.993|2025-Q3:3.98|2025-Q4:1.995","break_candle_strength_filter_failed=82|daily_loss_r_blocked=7|direction_filter_failed=1789|entry_open_count_filter_failed=44|fibo_filter_failed=73|monthly_loss_r_blocked=5|pattern_adx_bucket_filter_failed=314|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1244|weekly_loss_r_blocked=3"
"is2025_jshort_g002_tol0.20_neck0.05_adx18_28","2026053102","0.2","0.05","18","28","99","48.4848","1.499259","-1","0.211762","1.411067","10","-1","20.96442","7","8","4","18","15","9","0","0","0","0","0","2025-01:4.994|2025-03:1.002|2025-04:1.496|2025-05:7.996|2025-06:-2.499|2025-07:1.991|2025-08:4.99|2025-09:-1.001|2025-10:-6.5|2025-11:2.497|2025-12:5.998","2025-Q1:5.996|2025-Q2:6.993|2025-Q3:5.98|2025-Q4:1.995","break_candle_strength_filter_failed=80|daily_loss_r_blocked=9|direction_filter_failed=1786|entry_open_count_filter_failed=44|fibo_filter_failed=75|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=313|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1231|weekly_loss_r_blocked=3"
"is2025_jshort_g003_tol0.20_neck0.07_adx18_28","2026053103","0.2","0.07","18","28","96","50","1.499188","-1","0.249594","1.499188","10","-1","23.961019","7","8","4","15","16","9","0","0","0","0","0","2025-01:5.994|2025-03:1.002|2025-04:1.496|2025-05:8.996|2025-06:-2.499|2025-07:1.991|2025-08:4.99|2025-09:-0.005|2025-10:-6.5|2025-11:2.497|2025-12:5.998","2025-Q1:6.996|2025-Q2:7.993|2025-Q3:6.977|2025-Q4:1.995","break_candle_strength_filter_failed=80|daily_loss_r_blocked=9|direction_filter_failed=1790|entry_open_count_filter_failed=48|fibo_filter_failed=75|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=313|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1223"
"is2025_jshort_g004_tol0.25_neck0.03_adx18_28","2026053104","0.25","0.03","18","28","105","45.7143","1.499212","-1","0.142497","1.262494","10.501399","-1","14.96218","8","7","3","20","15","7","0","0","0","0","0","2025-01:3.991|2025-03:-6|2025-04:1.496|2025-05:6.998|2025-06:-1.001|2025-07:2.499|2025-08:3.989|2025-09:-2.001|2025-10:-6.5|2025-11:6.494|2025-12:4.998","2025-Q1:-2.009|2025-Q2:7.493|2025-Q3:4.486|2025-Q4:4.993","break_candle_strength_filter_failed=86|daily_loss_r_blocked=7|direction_filter_failed=1868|entry_open_count_filter_failed=43|fibo_filter_failed=80|monthly_loss_r_blocked=10|pattern_adx_bucket_filter_failed=344|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1303|weekly_loss_r_blocked=3"
"is2025_jshort_g005_tol0.25_neck0.05_adx18_28","2026053105","0.25","0.05","18","28","109","48.6239","1.499328","-1","0.21527","1.419007","10","-1","23.464383","7","8","4","16","15","7","0","0","0","0","0","2025-01:3.991|2025-03:1.502|2025-04:1.496|2025-05:6.998|2025-06:-1.001|2025-07:3.499|2025-08:3.989|2025-09:-1.001|2025-10:-6.5|2025-11:5.494|2025-12:4.998","2025-Q1:5.493|2025-Q2:7.493|2025-Q3:6.486|2025-Q4:3.993","break_candle_strength_filter_failed=85|daily_loss_r_blocked=7|direction_filter_failed=1861|entry_open_count_filter_failed=45|fibo_filter_failed=83|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=344|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1288|weekly_loss_r_blocked=3"
"is2025_jshort_g006_tol0.25_neck0.07_adx18_28","2026053106","0.25","0.07","18","28","106","50","1.499264","-1","0.249632","1.499264","10","-1","26.460982","7","8","4","14","16","8","0","0","0","0","0","2025-01:4.991|2025-03:1.502|2025-04:1.496|2025-05:7.998|2025-06:-1.001|2025-07:3.499|2025-08:3.989|2025-09:-0.005|2025-10:-6.5|2025-11:5.494|2025-12:4.998","2025-Q1:6.493|2025-Q2:8.493|2025-Q3:7.483|2025-Q4:3.993","break_candle_strength_filter_failed=86|daily_loss_r_blocked=8|direction_filter_failed=1861|entry_open_count_filter_failed=49|fibo_filter_failed=83|monthly_loss_r_blocked=6|pattern_adx_bucket_filter_failed=344|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1280"
"is2025_jshort_g007_tol0.30_neck0.03_adx18_28","2026053107","0.3","0.03","18","28","108","44.4444","1.499237","-1","0.110772","1.199389","14.5","-1","11.963359","7","7","3","24","16","8","0","0","0","0","0","2025-01:5.491|2025-03:-6|2025-04:1.496|2025-05:4.998|2025-06:-0.501|2025-07:2.498|2025-08:4.989|2025-09:-6|2025-10:-6.5|2025-11:6.494|2025-12:4.998","2025-Q1:-0.509|2025-Q2:5.993|2025-Q3:1.487|2025-Q4:4.993","break_candle_strength_filter_failed=89|daily_loss_r_blocked=8|direction_filter_failed=1987|entry_open_count_filter_failed=50|fibo_filter_failed=85|monthly_loss_r_blocked=13|pattern_adx_bucket_filter_failed=385|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1333|weekly_loss_r_blocked=3"
"is2025_jshort_g008_tol0.30_neck0.05_adx18_28","2026053108","0.3","0.05","18","28","114","48.2456","1.499348","-1","0.205826","1.397698","10.501399","-1","23.464163","7","8","4","19","16","8","0","0","0","0","0","2025-01:5.491|2025-03:1.502|2025-04:1.496|2025-05:4.998|2025-06:-0.501|2025-07:3.498|2025-08:4.989|2025-09:-2.001|2025-10:-6.5|2025-11:5.494|2025-12:4.998","2025-Q1:6.993|2025-Q2:5.993|2025-Q3:6.486|2025-Q4:3.993","break_candle_strength_filter_failed=88|daily_loss_r_blocked=8|direction_filter_failed=1969|entry_open_count_filter_failed=51|fibo_filter_failed=87|monthly_loss_r_blocked=8|pattern_adx_bucket_filter_failed=384|rr_too_low=1|spread_too_wide=16|trend_alignment_filter_failed=1316|weekly_loss_r_blocked=3"
"is2025_jshort_g009_tol0.30_neck0.07_adx18_28","2026053109","0.3","0.07","18","28","111","49.5495","1.499287","-1","0.238385","1.472514","10","-1","26.460761","7","8","4","17","17","9","0","0","0","0","0","2025-01:6.491|2025-03:1.502|2025-04:1.496|2025-05:5.998|2025-06:-0.501|2025-07:3.498|2025-08:4.989|2025-09:-1.005|2025-10:-6.5|2025-11:5.494|2025-12:4.998","2025-Q1:7.993|2025-Q2:6.993|2025-Q3:7.482|2025-Q4:3.993","break_candle_strength_filter_failed=89|daily_loss_r_blocked=9|direction_filter_failed=1967|entry_open_count_filter_failed=53|fibo_filter_failed=87|monthly_loss_r_blocked=8|pattern_adx_bucket_filter_failed=382|rr_too_low=1|spread_too_wide=17|trend_alignment_filter_failed=1305"
"is2025_jshort_g010_tol0.20_neck0.03_adx18_30","2026053110","0.2","0.03","18","30","111","46.8468","1.499583","-1","0.170976","1.321666","11.996545","-1","18.978302","9","6","4","20","15","7","0","0","0","0","0","2025-01:7.992|2025-03:-0.499|2025-04:1.496|2025-05:7.998|2025-06:-1.002|2025-07:-2.005|2025-08:6.496|2025-09:-2.497|2025-10:-6.5|2025-11:1.502|2025-12:5.998","2025-Q1:7.493|2025-Q2:8.491|2025-Q3:1.994|2025-Q4:1","break_candle_strength_filter_failed=100|daily_loss_r_blocked=7|direction_filter_failed=1789|entry_open_count_filter_failed=60|fibo_filter_failed=73|monthly_loss_r_blocked=5|pattern_adx_bucket_filter_failed=264|rr_too_low=1|spread_too_wide=15|trend_alignment_filter_failed=1244|weekly_loss_r_blocked=8"
