"RunName","Magic","DoubleTopBottomToleranceATR","NecklineBreakBufferATR","ADXLowThreshold","ADXHighThreshold","Trades","WinRate","AvgWinR","AvgLossR","ExpectancyR","PF","MaxDD_R","MaxLossR","TotalR","MaxConsecutiveLosses","PositiveMonths","PositiveQuarters","RiskGuardRejects","spread_too_wide","daily_loss_r_blocked","live_order_send_failed","live_position_tracking_failed","live_sl_tp_invalid","live_lot_invalid","LiveErrors","MonthlyProfitR","QuarterProfitR","RejectReasonCounts"
"is2025_jshort_g024_tol0.25_neck0.07_adx20_30","2026053124","0.25","0.07","20","30","113","53.0973","1.499512","-1","0.327175","1.697561","9","-1","36.970721","9","9","4","6","11","6","0","0","0","0","0","2025-01:8.989|2025-03:3|2025-04:1.496|2025-05:8|2025-06:2.495|2025-07:0.998|2025-08:6.495|2025-09:-0.5|2025-10:-3.5|2025-11:4.499|2025-12:4.998","2025-Q1:11.989|2025-Q2:11.991|2025-Q3:6.993|2025-Q4:5.998","break_candle_strength_filter_failed=87|daily_loss_r_blocked=6|direction_filter_failed=1861|entry_open_count_filter_failed=56|fibo_filter_failed=83|pattern_adx_bucket_filter_failed=342|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1280"
"is2025_jshort_g027_tol0.30_neck0.07_adx20_30","2026053127","0.3","0.07","20","30","116","52.5862","1.499513","-1","0.314399","1.663096","9","-1","36.470288","9","8","4","7","12","7","0","0","0","0","0","2025-01:10.489|2025-03:3|2025-04:1.496|2025-05:6|2025-06:4.495|2025-07:-0.502|2025-08:7.495|2025-09:-1.5|2025-10:-3.5|2025-11:3.999|2025-12:4.998","2025-Q1:13.488|2025-Q2:11.991|2025-Q3:5.493|2025-Q4:5.498","break_candle_strength_filter_failed=89|daily_loss_r_blocked=7|direction_filter_failed=1967|entry_open_count_filter_failed=60|fibo_filter_failed=87|pattern_adx_bucket_filter_failed=384|rr_too_low=1|spread_too_wide=12|trend_alignment_filter_failed=1305"
"is2025_jshort_g033_tol0.25_neck0.07_adx20_32","2026053133","0.25","0.07","20","32","128","52.3438","1.499501","-1","0.308333","1.646993","11","-1","39.466574","11","9","4","9","11","8","0","0","0","0","0","2025-01:7.989|2025-03:2|2025-04:0.496|2025-05:8.5|2025-06:6.995|2025-07:1.498|2025-08:7.995|2025-09:-0.5|2025-10:-5.5|2025-11:5.995|2025-12:3.998","2025-Q1:9.989|2025-Q2:15.991|2025-Q3:8.993|2025-Q4:4.494","break_candle_strength_filter_failed=98|daily_loss_r_blocked=8|direction_filter_failed=1861|entry_open_count_filter_failed=64|fibo_filter_failed=83|pattern_adx_bucket_filter_failed=305|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1280|weekly_loss_r_blocked=1"
"is2025_jshort_g030_tol0.20_neck0.07_adx20_32","2026053130","0.2","0.07","20","32","113","52.2124","1.499503","-1","0.30505","1.638346","11","-1","34.470686","11","9","4","11","11","11","0","0","0","0","0","2025-01:9.992|2025-03:0.002|2025-04:1.496|2025-05:8|2025-06:2.994|2025-07:2.495|2025-08:8.995|2025-09:-0.5|2025-10:-5.5|2025-11:1.498|2025-12:4.998","2025-Q1:9.994|2025-Q2:12.49|2025-Q3:10.99|2025-Q4:0.996","break_candle_strength_filter_failed=88|daily_loss_r_blocked=11|direction_filter_failed=1790|entry_open_count_filter_failed=66|fibo_filter_failed=75|pattern_adx_bucket_filter_failed=281|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1223"
"is2025_jshort_g039_tol0.20_neck0.07_adx22_32","2026053139","0.2","0.07","22","32","94","52.1277","1.499683","-1","0.303026","1.632989","11.5","-1","28.484483","9","7","3","8","11","5","0","0","0","0","0","2025-01:7.997|2025-03:-1.496|2025-05:8.999|2025-06:4.994|2025-07:0.995|2025-08:8.995|2025-09:-0.497|2025-10:-7|2025-11:1.996|2025-12:3.501","2025-Q1:6.501|2025-Q2:13.993|2025-Q3:9.494|2025-Q4:-1.503","break_candle_strength_filter_failed=71|daily_loss_r_blocked=5|direction_filter_failed=1790|entry_open_count_filter_failed=48|fibo_filter_failed=75|monthly_loss_r_blocked=3|pattern_adx_bucket_filter_failed=338|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1223"
"is2025_jshort_g042_tol0.25_neck0.07_adx22_32","2026053142","0.25","0.07","22","32","102","51.9608","1.49973","-1","0.298879","1.622157","11.5","-1","30.485679","9","8","3","9","11","4","0","0","0","0","0","2025-01:5.997|2025-03:1.502|2025-04:-1|2025-05:8.999|2025-06:6.498|2025-07:0.995|2025-08:7.995|2025-09:-0.497|2025-10:-7|2025-11:3.496|2025-12:3.501","2025-Q1:7.499|2025-Q2:14.497|2025-Q3:8.493|2025-Q4:-0.003","break_candle_strength_filter_failed=77|daily_loss_r_blocked=4|direction_filter_failed=1861|entry_open_count_filter_failed=46|fibo_filter_failed=83|monthly_loss_r_blocked=5|pattern_adx_bucket_filter_failed=370|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1280"
"is2025_jshort_g021_tol0.20_neck0.07_adx20_30","2026053121","0.2","0.07","20","30","104","51.9231","1.499606","-1","0.297872","1.619574","10","-1","30.978709","10","8","4","7","11","7","0","0","0","0","0","2025-01:9.992|2025-03:1.002|2025-04:1.496|2025-05:7.5|2025-06:-0.002|2025-07:0.995|2025-08:7.496|2025-09:-0.5|2025-10:-4.5|2025-11:1.502|2025-12:5.998","2025-Q1:10.994|2025-Q2:8.994|2025-Q3:7.99|2025-Q4:3","break_candle_strength_filter_failed=79|daily_loss_r_blocked=7|direction_filter_failed=1790|entry_open_count_filter_failed=56|fibo_filter_failed=75|pattern_adx_bucket_filter_failed=312|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1223"
"is2025_jshort_g022_tol0.25_neck0.03_adx20_30","2026053122","0.25","0.03","20","30","113","51.3274","1.499529","-1","0.282944","1.581322","9","-1","31.972706","9","8","4","8","11","5","0","0","0","0","0","2025-01:7.989|2025-03:1.498|2025-04:1.496|2025-05:7|2025-06:2.495|2025-07:-0.002|2025-08:4.995|2025-09:-1.497|2025-10:-2.5|2025-11:5.499|2025-12:4.998","2025-Q1:9.487|2025-Q2:10.991|2025-Q3:3.497|2025-Q4:7.998","break_candle_strength_filter_failed=87|daily_loss_r_blocked=5|direction_filter_failed=1868|entry_open_count_filter_failed=55|fibo_filter_failed=80|pattern_adx_bucket_filter_failed=339|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1303|weekly_loss_r_blocked=3"
"is2025_jshort_g023_tol0.25_neck0.05_adx20_30","2026053123","0.25","0.05","20","30","115","51.3043","1.499561","-1","0.282384","1.579895","9","-1","32.474123","9","9","4","8","11","5","0","0","0","0","0","2025-01:7.989|2025-03:3|2025-04:1.496|2025-05:7|2025-06:2.495|2025-07:0.998|2025-08:4.995|2025-09:-1.497|2025-10:-3.5|2025-11:4.499|2025-12:4.998","2025-Q1:10.989|2025-Q2:10.991|2025-Q3:4.497|2025-Q4:5.998","break_candle_strength_filter_failed=87|daily_loss_r_blocked=5|direction_filter_failed=1861|entry_open_count_filter_failed=54|fibo_filter_failed=83|pattern_adx_bucket_filter_failed=339|rr_too_low=1|spread_too_wide=11|trend_alignment_filter_failed=1288|weekly_loss_r_blocked=3"
"is2025_jshort_g026_tol0.30_neck0.05_adx20_30","2026053126","0.3","0.05","20","30","118","50.8475","1.499561","-1","0.270963","1.551271","9.501399","-1","31.97369","9","8","4","9","12","6","0","0","0","0","0","2025-01:9.489|2025-03:3|2025-04:1.496|2025-05:5|2025-06:4.495|2025-07:-0.502|2025-08:5.995|2025-09:-2.497|2025-10:-3.5|2025-11:3.999|2025-12:4.998","2025-Q1:12.488|2025-Q2:10.991|2025-Q3:2.996|2025-Q4:5.498","break_candle_strength_filter_failed=89|daily_loss_r_blocked=6|direction_filter_failed=1969|entry_open_count_filter_failed=59|fibo_filter_failed=87|pattern_adx_bucket_filter_failed=384|rr_too_low=1|spread_too_wide=12|trend_alignment_filter_failed=1316|weekly_loss_r_blocked=3"
