"Index","Tol","Neck","Low","High"
"1","0.2","0.03","18","28"
"2","0.2","0.05","18","28"
"3","0.2","0.07","18","28"
"4","0.25","0.03","18","28"
"5","0.25","0.05","18","28"
"6","0.25","0.07","18","28"
"7","0.3","0.03","18","28"
"8","0.3","0.05","18","28"
"9","0.3","0.07","18","28"
"10","0.2","0.03","18","30"
"11","0.2","0.05","18","30"
"12","0.2","0.07","18","30"
"13","0.25","0.03","18","30"
"14","0.25","0.05","18","30"
"15","0.25","0.07","18","30"
"16","0.3","0.03","18","30"
"17","0.3","0.05","18","30"
"18","0.3","0.07","18","30"
"19","0.2","0.03","20","30"
"20","0.2","0.05","20","30"
"21","0.2","0.07","20","30"
"22","0.25","0.03","20","30"
"23","0.25","0.05","20","30"
"24","0.25","0.07","20","30"
"25","0.3","0.03","20","30"
"26","0.3","0.05","20","30"
"27","0.3","0.07","20","30"
"28","0.2","0.03","20","32"
"29","0.2","0.05","20","32"
"30","0.2","0.07","20","32"
"31","0.25","0.03","20","32"
"32","0.25","0.05","20","32"
"33","0.25","0.07","20","32"
"34","0.3","0.03","20","32"
"35","0.3","0.05","20","32"
"36","0.3","0.07","20","32"
"37","0.2","0.03","22","32"
"38","0.2","0.05","22","32"
"39","0.2","0.07","22","32"
"40","0.25","0.03","22","32"
"41","0.25","0.05","22","32"
"42","0.25","0.07","22","32"
"43","0.3","0.03","22","32"
"44","0.3","0.05","22","32"
"45","0.3","0.07","22","32"
