Mode,Period,Guard,ClosedTrades,TradeDelta,TradeDeltaPct,ExpectancyR,ExpectancyDelta,PF,PFDelta,MaxDD_R,MaxDDDelta,RiskGuardRejectedCandidates
C_SHORT_MODE,full,guard_on_conservative,377,-128,-25.35,0.147057,-0.001295,1.271766,-0.002657,15.498775,-0.506025,354
C_SHORT_MODE,2024,guard_on_conservative,201,-83,-29.23,0.057045,-0.025525,1.098845,-0.046807,15.498775,-0.503617,205
C_SHORT_MODE,2025,guard_on_conservative,137,-33,-19.41,0.258948,-0.020311,1.521705,-0.050272,11.503106,-4.501695,118
C_SHORT_MODE,2026q1,guard_on_conservative,38,-12,-24.0,0.249957,0.150084,1.499915,0.32157,4.0,-1.497585,31
C_SHORT_MODE,2024q1,guard_on_conservative,62,-19,-23.46,0.209356,0.036763,1.405628,0.08051,7.006494,-4.5,57
C_SHORT_MODE,2024q2,guard_on_conservative,62,-38,-38.0,-0.072913,-0.122664,0.884087,-0.20169,10.502392,-5.5,84
C_SHORT_MODE,2024q3,guard_on_conservative,22,-5,-18.52,0.022627,-0.088205,1.038293,-0.161206,4.5,1.0,13
C_SHORT_MODE,2024q4,guard_on_conservative,55,-21,-27.63,0.045614,0.025846,1.078398,0.045013,7.494237,-2.997137,51
C_SHORT_MODE,2025q1,guard_on_conservative,26,-7,-21.21,0.537819,0.098817,2.398329,0.36354,5.0,-0.5,22
C_SHORT_MODE,2025q2,guard_on_conservative,27,-10,-27.03,0.481154,-0.072816,2.181015,-0.28305,4.0,-2.0,34
C_SHORT_MODE,2025q3,guard_on_conservative,38,-7,-15.56,0.118365,-0.103557,1.214184,-0.220011,6.003356,0.003356,32
C_SHORT_MODE,2025q4,guard_on_conservative,46,-9,-16.36,0.087034,0.041515,1.153984,0.075747,11.0,-5.0,30
C_SHORT_MODE,2026q1-quarter,guard_on_conservative,38,-12,-24.0,0.249957,0.150084,1.499915,0.32157,4.0,-1.497585,31
C_SHORT_MODE,full,guard_on_very_conservative,159,-346,-68.51,0.021763,-0.126589,1.036812,-0.237612,15.50393,-0.500871,577
C_SHORT_MODE,2024,guard_on_very_conservative,159,-125,-44.01,0.021763,-0.060808,1.036812,-0.108841,15.50393,-0.498462,247
C_SHORT_MODE,2025,guard_on_very_conservative,130,-40,-23.53,0.269059,-0.0102,1.546525,-0.025451,11.501399,-4.503401,126
C_SHORT_MODE,2026q1,guard_on_very_conservative,38,-12,-24.0,0.249957,0.150084,1.499915,0.32157,4.0,-1.497585,31
C_SHORT_MODE,2024q1,guard_on_very_conservative,59,-22,-27.16,0.228476,0.055882,1.449337,0.124218,6.506494,-5.0,60
C_SHORT_MODE,2024q2,guard_on_very_conservative,57,-43,-43.0,-0.079267,-0.129018,0.874494,-0.211283,11.502762,-4.49963,89
C_SHORT_MODE,2024q3,guard_on_very_conservative,22,-5,-18.52,0.022627,-0.088205,1.038293,-0.161206,4.5,1.0,13
C_SHORT_MODE,2024q4,guard_on_very_conservative,50,-26,-34.21,-7.7e-05,-0.019845,0.999872,-0.033514,8.999392,-1.491983,56
C_SHORT_MODE,2025q1,guard_on_very_conservative,26,-7,-21.21,0.537819,0.098817,2.398329,0.36354,5.0,-0.5,22
C_SHORT_MODE,2025q2,guard_on_very_conservative,27,-10,-27.03,0.481154,-0.072816,2.181015,-0.28305,4.0,-2.0,34
C_SHORT_MODE,2025q3,guard_on_very_conservative,36,-9,-20.0,0.111099,-0.110823,1.199979,-0.234217,6.503356,0.503356,34
C_SHORT_MODE,2025q4,guard_on_very_conservative,41,-14,-25.45,0.097648,0.052129,1.174069,0.095832,11.0,-5.0,36
C_SHORT_MODE,2026q1-quarter,guard_on_very_conservative,38,-12,-24.0,0.249957,0.150084,1.499915,0.32157,4.0,-1.497585,31
J_SHORT_MODE,full,guard_on_conservative,327,-13,-3.82,0.154107,0.007382,1.286324,0.015201,9.50698,-2.0,25
