hour,trades,winrate,avg_win_r,avg_loss_r,expectancy_r,pf,total_r,net_money,avg_hold_seconds
1,2,1.000000,0.910803,0.000000,0.910803,inf,1.821606,2.72,2190.50
2,2,1.000000,0.793021,0.000000,0.793021,inf,1.586041,1.45,1718.50
3,3,1.000000,1.005023,0.000000,1.005023,inf,3.015070,5.15,1939.33
4,8,0.125000,0.938144,-1.017650,-0.773176,0.131696,-6.185406,-9.64,1281.62
5,5,0.200000,1.362637,-0.827589,-0.389544,0.411629,-1.947719,-2.35,1532.40
7,2,0.000000,0.000000,-0.606383,-0.606383,0.000000,-1.212766,-0.99,1841.00
8,2,0.500000,1.358025,-0.608000,0.375013,2.233594,0.750025,0.34,1839.50
9,3,0.333333,1.355072,-0.392046,0.190327,1.728205,0.570980,0.81,2036.67
10,5,0.600000,1.350867,-0.547246,0.591622,3.702728,2.958111,6.02,1712.00
11,5,0.600000,1.360342,-1.039905,0.400243,1.962211,2.001217,2.32,1070.60
12,2,0.500000,1.355263,-1.009524,0.172870,1.342477,0.345739,-0.03,687.00
13,3,0.333333,0.417417,-1.000000,-0.527528,0.208708,-1.582583,-1.32,1660.33
14,1,0.000000,0.000000,-1.024000,-1.024000,0.000000,-1.024000,-1.28,1251.00
15,9,0.666667,1.037744,-0.782069,0.431140,2.653844,3.880259,4.22,1785.56
16,16,0.500000,1.367704,-0.764850,0.301427,1.788199,4.822832,7.31,1384.19
17,27,0.592593,0.930518,-0.932664,0.171444,1.451199,4.628983,3.83,1689.67
18,13,0.692308,1.073581,-0.823530,0.489855,2.933176,6.368112,9.39,1451.08
19,3,0.333333,1.336283,-1.032531,-0.242927,0.647091,-0.728780,-0.74,403.67
20,2,0.000000,0.000000,-0.640801,-0.640801,0.000000,-1.281603,-2.58,2237.50
22,6,0.333333,0.755092,-0.676936,-0.199593,0.557728,-1.197559,-0.71,1814.50
