metric,bin,trades,winrate,expectancy_r,pf,total_r
candidate_score,6-6.5,56,0.500000,0.112910,1.273802,6.322933
candidate_score,6.5-7,21,0.571429,0.104757,1.301793,2.199894
candidate_score,7-7.5,13,0.538462,0.290656,1.714440,3.778531
candidate_score,7.5-8,11,0.545455,0.334834,1.816481,3.683170
candidate_score,8-99,18,0.444444,0.089113,1.197125,1.604031
spread_atr,-99-0.08,11,0.363636,-0.243842,0.556988,-2.682263
spread_atr,0.08-0.1,35,0.542857,0.170376,1.504117,5.963163
spread_atr,0.1-0.12,73,0.520548,0.195995,1.470092,14.307659
spread_to_risk,-99-0.08,46,0.543478,0.135674,1.386086,6.240998
spread_to_risk,0.08-0.12,52,0.480769,0.098474,1.219083,5.120639
spread_to_risk,0.12-0.18,21,0.523810,0.296520,1.709086,6.226922
atr_ratio,0.65-0.85,1,0.000000,-1.016949,0.000000,-1.016949
atr_ratio,0.85-1.1,9,0.555556,0.302279,1.659460,2.720510
atr_ratio,1.1-1.45,27,0.444444,0.026936,1.063240,0.727262
atr_ratio,1.45-1.8,69,0.507246,0.139906,1.332029,9.653497
atr_ratio,1.8-99,13,0.692308,0.423403,3.114728,5.504239
range_position,-99-0.25,2,0.000000,-1.003788,0.000000,-2.007576
range_position,0.25-0.45,71,0.521127,0.120399,1.300508,8.548356
range_position,0.45-0.6,7,0.285714,-0.201778,0.657674,-1.412449
range_position,0.6-0.75,14,0.571429,0.348061,1.800309,4.872856
range_position,0.75-0.9,22,0.500000,0.211849,1.609177,4.660672
range_position,0.9-99,3,1.000000,0.975567,inf,2.926700
body_atr,-99-0.15,17,0.588235,0.381277,2.008606,6.481707
body_atr,0.15-0.35,31,0.451613,0.068548,1.155268,2.124994
body_atr,0.35-0.7,41,0.414634,-0.090469,0.828695,-3.709214
body_atr,0.7-99,30,0.666667,0.423036,2.936263,12.691072
wick_atr,-99-0.03,35,0.714286,0.531384,3.445667,18.598430
wick_atr,0.03-0.08,26,0.423077,-0.117751,0.778889,-3.061525
wick_atr,0.08-0.15,23,0.391304,-0.034854,0.933330,-0.801644
wick_atr,0.15-99,35,0.457143,0.081523,1.192211,2.853298
ema_deviation_atr,-99-0.25,34,0.411765,0.044954,1.102220,1.528450
ema_deviation_atr,0.25-0.5,24,0.708333,0.584758,3.159329,14.034182
ema_deviation_atr,0.5-0.8,31,0.387097,-0.184424,0.660891,-5.717150
ema_deviation_atr,0.8-1.2,22,0.636364,0.254328,1.728544,5.595207
ema_deviation_atr,1.2-99,8,0.500000,0.268484,1.922515,2.147870
distance_recent_high_atr,-99-0.25,3,0.333333,0.018110,1.041947,0.054329
distance_recent_high_atr,0.25-0.75,18,0.555556,0.040494,1.097804,0.728888
distance_recent_high_atr,0.75-1.5,31,0.354839,-0.089855,0.827894,-2.785517
distance_recent_high_atr,1.5-3,51,0.549020,0.253592,1.645436,12.933181
distance_recent_high_atr,3-99,16,0.687500,0.416105,2.988044,6.657678
distance_recent_low_atr,-99-1,5,0.400000,-0.412003,0.330806,-2.060015
distance_recent_low_atr,1-2,35,0.514286,0.175774,1.447933,6.152094
distance_recent_low_atr,2-3,40,0.550000,0.130254,1.318756,5.210148
distance_recent_low_atr,3-99,39,0.487179,0.212470,1.546541,8.286332
recent_range_atr,2-4,54,0.462963,-0.025200,0.948240,-1.360823
recent_range_atr,4-6,56,0.517857,0.249372,1.680484,13.964814
recent_range_atr,6-99,9,0.777778,0.553841,4.309083,4.984568
pullback_depth_atr,-99-0.2,6,0.500000,0.003568,1.009557,0.021410
pullback_depth_atr,0.2-0.5,27,0.592593,0.143312,1.377485,3.869414
pullback_depth_atr,0.5-0.8,11,0.363636,-0.042905,0.910590,-0.471959
pullback_depth_atr,0.8-1.2,42,0.404762,-0.085812,0.834183,-3.604121
pullback_depth_atr,1.2-1.8,33,0.636364,0.538600,3.016395,17.773815
breakout_acceptance_atr,-99-0,106,0.509434,0.149163,1.353749,15.811292
breakout_acceptance_atr,0-0.1,9,0.555556,0.120029,1.462844,1.080263
breakout_acceptance_atr,0.1-0.3,3,0.333333,0.019001,1.044218,0.057004
breakout_acceptance_atr,0.3-99,1,1.000000,0.640000,inf,0.640000
up_pressure,-99-0.45,38,0.631579,0.335503,2.101833,12.749103
up_pressure,0.45-0.52,34,0.264706,-0.356252,0.463694,-12.112554
up_pressure,0.52-0.6,22,0.590909,0.282849,1.946381,6.222683
up_pressure,0.6-0.65,7,0.571429,0.216308,1.503308,1.514154
up_pressure,0.65-0.75,15,0.600000,0.500792,3.098396,7.511877
up_pressure,0.75-99,3,0.666667,0.567765,2.703296,1.703296
down_pressure,-99-0.25,3,0.666667,0.567765,2.703296,1.703296
down_pressure,0.25-0.35,15,0.600000,0.500792,3.098396,7.511877
down_pressure,0.35-0.48,29,0.586207,0.266787,1.807296,7.736837
down_pressure,0.48-0.6,53,0.396226,-0.103731,0.808842,-5.497761
down_pressure,0.6-99,19,0.631579,0.322858,2.136899,6.134310
risk_distance_atr,0.8-1.2,66,0.469697,0.103309,1.228220,6.818416
risk_distance_atr,1.2-1.8,42,0.547619,0.191275,1.471942,8.033558
risk_distance_atr,1.8-2.2,11,0.636364,0.248780,2.926407,2.736585
