"mode","month","trades","win_rate","net_profit","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"context_pullback","2025-01","107","0.3364","-665.72","0.5969","-28.003","-0.2617","0.5996"
"context_pullback","2025-02","98","0.3265","-593.5","0.582","-26.6513","-0.272","0.588"
"context_pullback","2025-03","93","0.4194","-181.85","0.8397","-8.5307","-0.0917","0.8421"
"volatility_breakout","2025-01","12","0.5","38.12","1.2524","1.4502","0.1209","1.2353"
"volatility_breakout","2025-02","16","0.375","-61.11","0.7525","-2.5725","-0.1608","0.7483"
"volatility_breakout","2025-03","28","0.3214","-196.74","0.5822","-8.1885","-0.2924","0.582"
"volatility_breakout","2025-04","64","0.375","-273.11","0.7131","-11.8795","-0.1856","0.7126"
"volatility_breakout","2025-05","13","0.4615","13.47","1.0831","0.5348","0.0411","1.0761"
"volatility_breakout","2025-06","17","0.4118","-25.26","0.8926","-1.149","-0.0676","0.8863"
"volatility_breakout","2025-07","12","0.25","-121.51","0.425","-5.231","-0.4359","0.4266"
"volatility_breakout","2025-08","4","0.25","-39.63","0.4351","-1.7685","-0.4421","0.4251"
"volatility_breakout","2025-09","1","0","-23.13","0","-1.0278","-1.0278","0"
"volatility_breakout","2025-10","7","0.5714","49.11","1.7492","2.1514","0.3073","1.7455"
"volatility_breakout","2025-12","1","1","28.73","INF","1.2417","1.2417","INF"
"range_reversion","2025-01","84","0.5476","300.79","1.3048","12.8808","0.1533","1.3229"
"range_reversion","2025-02","54","0.4815","99.24","1.1539","3.9217","0.0726","1.1516"
"range_reversion","2025-03","63","0.5079","272.86","1.3575","11.1088","0.1763","1.3745"
"range_reversion","2025-04","103","0.3981","-368.79","0.7717","-13.7466","-0.1335","0.7845"
"range_reversion","2025-05","43","0.3488","-291.46","0.5793","-11.0686","-0.2574","0.5999"
"range_reversion","2025-06","41","0.3415","-249.1","0.6148","-10.156","-0.2477","0.6198"
"range_reversion","2025-07","43","0.3488","-199.51","0.6893","-8.2863","-0.1927","0.6955"
"range_reversion","2025-08","33","0.4848","74.27","1.2048","3.0731","0.0931","1.1999"
"range_reversion","2025-09","24","0.4167","-61.76","0.7937","-2.5823","-0.1076","0.7986"
"range_reversion","2025-10","6","0.1667","-400.38","0.0691","-16.8694","-2.8116","0.0724"
