entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,wave_stage,setup_type,wave_tf,fib_zone,divergence_type,m15_confirmation_type,failure_type,wave_size_atr,retracement_ratio,extension_ratio,wave_rule_validity,wave3_break_confirmed,pivot_confirmation_delay_bars,entry_delay_from_pivot,pivot_time,pivot_confirmed_time,room_to_1r,room_to_2r,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.02 00:15:00,2025.01.02 01:53:12,abc_completion_reentry_only,GBPJPY,SHORT,GBP,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_other,none,candle_reversal,fib_not_aligned,3.7366,0.9391,0.3087,valid_abc,false,3,4,2024.12.31 19:00:00,2024.12.31 22:00:00,2.0669,2.0669,196.74300000,197.23600000,197.23600000,196.05300000,0.49300000,-1.0000,-21.90,0.00,0.00,-21.90,0.070,1.400,6,0.41321429,45.00,0.9033,DEAL_REASON_SL,2
2025.01.02 05:00:00,2025.01.02 09:42:18,abc_completion_reentry_only,USDJPY,SHORT,USD,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,none,micro_bos,other,7.6818,0.8577,0.1487,valid_abc,false,3,3,2025.01.02 01:00:00,2025.01.02 04:00:00,2.3849,2.3849,157.27900000,156.53700000,157.80900000,156.53700000,0.53000000,1.4000,33.18,0.00,0.00,33.18,0.070,1.400,18,0.26621429,21.00,0.9192,DEAL_REASON_TP,4
2025.01.02 10:00:00,2025.01.02 11:04:58,abc_completion_reentry_only,GBPUSD,SHORT,GBP,USD,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,micro_bos,other,4.3609,0.5495,0.5909,valid_abc,false,3,3,2025.01.02 06:00:00,2025.01.02 09:00:00,0.7547,0.7547,1.25206000,1.24909000,1.25418000,1.24909000,0.00212000,1.4009,32.67,0.00,0.00,32.67,0.110,1.400,4,0.00146071,20.00,1.1877,DEAL_REASON_TP,7
2025.01.02 10:00:00,2025.01.02 12:32:05,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,bullish_rsi,ma_reclaim,other,6.4143,0.3863,0.5024,valid_abc,false,3,3,2025.01.02 06:00:00,2025.01.02 09:00:00,1.3310,1.3310,1.03620000,1.03418000,1.03762000,1.03421000,0.00142000,1.4225,34.34,0.00,0.00,34.34,0.170,1.400,10,0.00125500,18.00,1.0165,DEAL_REASON_TP,6
2025.01.02 11:15:00,2025.01.02 14:43:16,abc_completion_reentry_only,GBPUSD,SHORT,GBP,USD,possible_abc_completion,abc_completion_reentry,H1,abc_50_786,none,candle_reversal,other,4.3609,0.5495,0.5909,valid_abc,false,3,4,2025.01.02 06:00:00,2025.01.02 09:00:00,0.0000,0.0000,1.24944000,1.24280000,1.25418000,1.24281000,0.00474000,1.4008,33.20,0.00,0.00,33.20,0.050,1.400,13,0.00146071,20.00,1.1500,DEAL_REASON_TP,9
2025.01.02 12:45:00,2025.01.02 17:28:23,abc_completion_reentry_only,EURUSD,SHORT,EUR,USD,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,bullish_rsi,micro_bos,other,6.4143,0.3863,0.5024,valid_abc,false,3,5,2025.01.02 06:00:00,2025.01.02 09:00:00,0.0000,0.0000,1.03398000,1.02886000,1.03762000,1.02889000,0.00364000,1.4066,30.72,0.00,0.00,30.72,0.060,1.400,18,0.00125500,18.00,0.9500,DEAL_REASON_TP,12
2025.01.02 12:00:00,2025.01.02 19:24:37,abc_completion_reentry_only,USDJPY,SHORT,USD,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,none,candle_reversal,target_blocked,7.6818,0.8577,0.1487,valid_abc,false,3,10,2025.01.02 01:00:00,2025.01.02 04:00:00,0.7537,0.7537,156.78600000,157.82100000,157.80900000,155.35400000,1.02300000,-1.0117,-19.67,0.00,0.00,-19.67,0.030,1.400,29,0.26621429,17.00,0.8377,DEAL_REASON_SL,10
2025.01.02 16:00:00,2025.01.03 00:01:00,abc_completion_reentry_only,AUDJPY,LONG,AUD,JPY,possible_abc_completion,abc_completion_reentry,H1,abc_382_886,none,candle_reversal,other,2.5486,0.7928,0.1238,valid_abc,false,3,5,2025.01.02 10:00:00,2025.01.02 13:00:00,1.6221,1.6221,97.48900000,97.64700000,97.01000000,98.16000000,0.47900000,0.3299,8.01,0.00,0.13,8.14,0.080,1.400,32,0.22914286,28.00,0.8811,DEAL_REASON_EXPERT,14
2025.01.03 08:15:00,2025.01.03 16:15:00,abc_completion_reentry_only,USDJPY,SHORT,USD,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_other,none,candle_reversal,other,3.2757,0.8929,0.0410,valid_abc,false,3,3,2025.01.02 16:00:00,2025.01.03 04:00:00,1.8657,1.8657,157.26500000,157.24600000,157.93500000,156.32800000,0.67000000,0.0284,0.60,0.00,0.00,0.60,0.050,1.400,32,0.62428571,19.00,0.8933,DEAL_REASON_EXPERT,18
2025.01.03 08:45:01,2025.01.03 16:45:00,abc_completion_reentry_only,AUDJPY,SHORT,AUD,JPY,possible_abc_completion,abc_completion_reentry,H4,abc_50_786,none,ma_reclaim,no_follow_through,3.7857,0.6131,0.1085,valid_abc,false,3,3,2025.01.02 16:00:00,2025.01.03 04:00:00,2.3164,2.3164,97.74300000,97.80000000,98.09700000,97.24700000,0.35400000,-0.1610,-3.99,0.00,0.00,-3.99,0.110,1.400,32,0.47521429,28.00,1.2658,DEAL_REASON_EXPERT,19
