"mode","setup_type","divergence_present","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"wave3_start_pullback_only","wave3_start_pullback","False","446","0.408071748878924","-1277.96","3063.58","-4341.54","0.705643619545138","-57.2214","-0.128299103139013","0.704621054913743"
"wave4_continuation_only","wave4_continuation","False","310","0.383870967741935","-1119","2176","-3295","0.660394537177542","-50.052","-0.161458064516129","0.655921015545836"
"wave4_continuation_only","wave4_continuation","True","46","0.326086956521739","-198.17","373.55","-571.72","0.65337927656895","-8.5347","-0.185536956521739","0.648782113801064"
"abc_completion_reentry_only","abc_completion_reentry","False","424","0.424528301886792","-844.82","3140.51","-3985.33","0.788017554380692","-35.5726","-0.0838976415094339","0.798929776397087"
"abc_completion_reentry_only","abc_completion_reentry","True","177","0.412429378531073","-541.31","1311.34","-1852.65","0.707818530213479","-22.3079","-0.126033333333333","0.728063535019229"
"combined_roadmap_triggers","wave3_start_pullback","False","347","0.429394812680115","-959.179999999999","2173.28","-3132.46","0.693793376451735","-42.8318","-0.123434582132565","0.703321509637317"
"combined_roadmap_triggers","abc_completion_reentry","False","90","0.422222222222222","104.29","819.75","-715.46","1.14576636010399","5.3484","0.0594266666666667","1.16299885714286"
"combined_roadmap_triggers","abc_completion_reentry","True","33","0.424242424242424","-177.54","158.08","-335.62","0.471008879089446","-7.3295","-0.222106060606061","0.503522319311793"
"combined_roadmap_triggers","wave4_continuation","False","67","0.358208955223881","-329.01","384.84","-713.85","0.539104853960916","-14.712","-0.219582089552239","0.540376396490965"
"combined_roadmap_triggers","wave4_continuation","True","14","0.357142857142857","-51.24","112.94","-164.18","0.687903520526252","-2.4506","-0.175042857142857","0.668636332905145"
