"mode","failure_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"currency_strength_momentum","no_follow_through","80","0","-1935.77","0","-1935.77","0","-83.2835","-1.04104375","0"
"currency_strength_momentum","other","100","1","2785.13","2785.13","0","∞","118.2842","1.182842","∞"
"currency_strength_momentum","overextended_entry","90","0","-2100.84","0","-2100.84","0","-89.7786","-0.99754","0"
"currency_strength_momentum","strength_reversed","2","0","-51.29","0","-51.29","0","-2.163","-1.0815","0"
"currency_strength_pullback","pullback_failed","81","0","-1851.56","0","-1851.56","0","-80.8495","-0.998141975308642","0"
"currency_strength_pullback","other","87","1","2406.45","2406.45","0","∞","103.8966","1.19421379310345","∞"
"currency_strength_pullback","overextended_entry","82","0","-1898.57","0","-1898.57","0","-82.2569","-1.00313292682927","0"
"currency_strength_pullback","strength_reversed","2","0","-23.48","0","-23.48","0","-1.1169","-0.55845","0"
"currency_strength_reversal_avoid","no_follow_through","138","0","-3248.84","0","-3248.84","0","-139.5843","-1.01148043478261","0"
"currency_strength_reversal_avoid","other","73","1","1945.37","1945.37","0","∞","82.8141","1.1344397260274","∞"
"currency_strength_reversal_avoid","strength_reversed","2","0","-53.62","0","-53.62","0","-2.163","-1.0815","0"
"currency_strength_momentum_room_to_2r","no_follow_through","118","0","-2697.16","0","-2697.16","0","-119.8523","-1.01569745762712","0"
"currency_strength_momentum_room_to_2r","other","74","1","1962.81","1962.81","0","∞","88.332","1.19367567567568","∞"
"currency_strength_momentum_room_to_2r","overextended_entry","31","0","-712.76","0","-712.76","0","-31.4271","-1.01377741935484","0"
"currency_strength_momentum_room_to_2r","strength_reversed","2","0","-53.62","0","-53.62","0","-2.163","-1.0815","0"
"currency_strength_pullback_room_to_2r","pullback_failed","121","0","-2697.43","0","-2697.43","0","-119.1117","-0.984394214876033","0"
"currency_strength_pullback_room_to_2r","overextended_entry","25","0","-576.07","0","-576.07","0","-25.4212","-1.016848","0"
"currency_strength_pullback_room_to_2r","other","69","0.985507246376812","1802.4","1803.51","-1.11","1624.78378378378","80.9069","1.17256376811594","∞"
"currency_strength_pullback_room_to_2r","strength_reversed","3","0","-45.95","0","-45.95","0","-2.1224","-0.707466666666667","0"
