entry_time,exit_time,strategy,symbol,direction,base_currency,quote_currency,base_strength,quote_strength,strength_diff,strength_rank_base,strength_rank_quote,pair_momentum_h1,pair_momentum_h4,strength_alignment,pair_alignment,entry_type,pullback_depth_atr,overextended_flag,room_to_1r,room_to_2r,failure_type,entry,exit,stop_loss,take_profit,risk_price,result_r,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,exit_reason,position_id
2025.01.02 02:30:00,2025.01.02 02:55:00,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,1.98600,-1.02654,3.01254,1,5,2.16711,0.73355,true,true,strength_momentum,0.7677,false,6.0714,6.0714,no_follow_through,157.46500000,157.36300000,157.36700000,157.58300000,0.09800000,-1.0408,-25.93,0.00,0.00,-25.93,0.400,1.200,1,0.09821429,18.00,4.186,DEAL_REASON_SL,2
2025.01.02 03:00:00,2025.01.02 03:16:18,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,1.54539,-0.44764,1.99302,1,3,0.40226,0.73355,true,true,strength_momentum,0.0251,false,5.1000,5.1000,other,157.44800000,157.59500000,157.32800000,157.59100000,0.12000000,1.2250,29.85,0.00,0.00,29.85,0.320,1.200,1,0.11957143,17.00,2.739,DEAL_REASON_TP,4
2025.01.02 03:30:00,2025.01.02 03:51:02,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,1.39823,-0.15962,1.55784,1,3,0.40226,0.73355,true,true,strength_momentum,0.8725,false,3.3615,3.3615,no_follow_through,157.62300000,157.49300000,157.49300000,157.78000000,0.13000000,-1.0000,-24.76,0.00,0.00,-24.76,0.300,1.200,1,0.13042857,19.00,2.130,DEAL_REASON_SL,6
2025.01.02 04:00:00,2025.01.02 05:10:11,currency_strength_momentum_room_to_2r,EURJPY,LONG,EUR,JPY,-0.42470,-1.77523,1.35053,4,5,0.79763,0.33636,true,true,strength_momentum,0.3706,false,11.2222,11.2222,no_follow_through,163.17000000,163.01700000,163.01700000,163.35300000,0.15300000,-1.0000,-24.29,0.00,0.00,-24.29,0.250,1.200,4,0.15271429,30.00,2.689,DEAL_REASON_SL,8
2025.01.02 10:00:00,2025.01.02 10:01:27,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,-0.21370,0.72732,-0.94102,3,2,-3.84047,1.93609,true,true,strength_momentum,1.1272,true,4.7754,4.7754,overextended_entry,156.67400000,156.81300000,156.81200000,156.50800000,0.13800000,-1.0072,-24.82,0.00,0.00,-24.82,0.280,1.200,0,0.13821429,19.00,1.719,DEAL_REASON_SL,10
2025.01.02 10:15:00,2025.01.02 10:25:49,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,0.07154,1.22426,-1.15272,2,1,-3.84047,1.93609,true,true,strength_momentum,0.5907,true,4.6345,4.6345,other,156.68700000,156.51400000,156.83200000,156.51400000,0.14500000,1.1931,28.74,0.00,0.00,28.74,0.260,1.200,0,0.14457143,16.00,1.917,DEAL_REASON_TP,12
2025.01.02 10:30:00,2025.01.02 10:48:31,currency_strength_momentum_room_to_2r,USDJPY,SHORT,USD,JPY,0.07154,1.22426,-1.15272,2,1,-3.84047,1.93609,true,true,strength_momentum,1.1351,true,3.3161,3.3161,overextended_entry,156.52900000,156.68500000,156.68400000,156.34300000,0.15500000,-1.0065,-24.89,0.00,0.00,-24.89,0.250,1.200,1,0.15514286,17.00,1.785,DEAL_REASON_SL,14
2025.01.02 13:15:00,2025.01.02 15:07:11,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,4.06149,2.06780,1.99369,1,2,-0.40619,0.26183,true,true,strength_momentum,1.4500,false,4.4568,4.4568,no_follow_through,157.15100000,156.98600000,156.98900000,157.34500000,0.16200000,-1.0185,-25.23,0.00,0.00,-25.23,0.240,1.200,7,0.16192857,18.00,2.457,DEAL_REASON_SL,16
2025.01.02 17:00:00,2025.01.02 17:19:23,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,4.82188,2.44765,2.37423,1,2,1.22320,-0.39256,true,true,strength_momentum,0.4113,false,3.4833,3.4833,no_follow_through,157.04100000,156.82400000,156.83200000,157.29200000,0.20900000,-1.0383,-24.91,0.00,0.00,-24.91,0.180,1.200,1,0.20907143,18.00,2.866,DEAL_REASON_SL,18
2025.01.02 22:30:00,2025.01.03 00:01:00,currency_strength_momentum_room_to_2r,USDJPY,LONG,USD,JPY,4.32622,1.24327,3.08295,1,2,1.22077,0.24985,true,true,strength_momentum,0.1064,false,2.0690,2.0690,no_follow_through,157.60100000,157.46500000,157.48500000,157.74100000,0.11600000,-1.1724,-28.50,0.00,1.58,-26.92,0.330,1.200,6,0.11650000,16.00,3.569,DEAL_REASON_SL,22
