"scenario_mode","divergence_type","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","none","312","0.33974358974359","-1528.87","2499.38","-4028.25","0.620462980202321","-68.2971","-0.218900961538462","0.619679604049053"
"baseline_all_sessions","bullish_rsi_macd","7","0.285714285714286","-82.62","32.85","-115.47","0.284489477786438","-3.6176","-0.5168","0.28080952664957"
"baseline_all_sessions","bearish_macd","3","0.666666666666667","14.68","38.48","-23.8","1.61680672268908","0.7919","0.263966666666667","1.7919"
"baseline_all_sessions","bullish_macd","3","1","79.59","79.59","0","∞","3.3881","1.12936666666667","∞"
"baseline_all_sessions","bullish_rsi","8","0.375","-44.46","36.59","-81.05","0.451449722393584","-2.1286","-0.266075","0.458894707407596"
"baseline_all_sessions","bearish_rsi","4","0.75","56.43","73.19","-16.76","4.36694510739857","2.5011","0.625275","3.49910071942446"
"baseline_all_sessions","bearish_rsi_macd","2","0.5","2.5","7.6","-5.1","1.49019607843137","0.2267","0.11335","1.87225856098499"
"session_volatility_only_filter","none","249","0.34136546184739","-1315.84","1959.49","-3275.33","0.598257274839482","-57.5676","-0.231195180722891","0.601288507529568"
"session_volatility_only_filter","bullish_rsi_macd","9","0.444444444444444","-74.5","34.46","-108.96","0.316262848751835","-3.0638","-0.340422222222222","0.331821254879724"
"session_volatility_only_filter","bullish_macd","1","1","34.56","34.56","0","∞","1.3981","1.3981","∞"
"session_volatility_only_filter","bearish_rsi","2","0.5","15.24","32.46","-17.22","1.88501742160279","0.4008","0.2004","1.40047961630695"
"session_volatility_only_filter","bullish_rsi","3","0.333333333333333","-31.07","5.38","-36.45","0.147599451303155","-1.446","-0.482","0.110755796076502"
"session_volatility_only_filter","bearish_rsi_macd","2","0.5","21.51","26.61","-5.1","5.21764705882353","1.148","0.574","5.4170834936514"
"session_volatility_only_filter","bearish_macd","2","1","40.88","40.88","0","∞","1.7416","0.8708","∞"
"london_only_reference","none","255","0.325490196078431","-1401.45","1888.54","-3289.99","0.574026060869486","-63.2249","-0.247940784313725","0.575506288022377"
"london_only_reference","bullish_macd","2","1","46.34","46.34","0","∞","1.99","0.995","∞"
"london_only_reference","bullish_rsi_macd","6","0","-104.69","0","-104.69","0","-4.4616","-0.7436","0"
"london_only_reference","bullish_rsi","3","0","-66.31","0","-66.31","0","-3.0136","-1.00453333333333","0"
"london_only_reference","bearish_rsi_macd","1","0","-5.1","0","-5.1","0","-0.2599","-0.2599","0"
"london_only_reference","bearish_macd","2","1","37.96","37.96","0","∞","1.7416","0.8708","∞"
"london_only_reference","bearish_rsi","2","0.5","12.76","29.72","-16.96","1.75235849056604","0.4066","0.2033","1.40627498001599"
"newyork_only_reference","none","290","0.375862068965517","-1400.89","1934.06","-3334.95","0.579936730685618","-60.1693","-0.207480344827586","0.599785157224338"
"newyork_only_reference","bullish_rsi_macd","3","0.666666666666667","-8.86","16.31","-25.17","0.647993643226063","-0.1698","-0.0566","0.831480746327908"
"newyork_only_reference","bullish_rsi","8","0.5","-9.94","29.21","-39.15","0.74610472541507","-0.3781","-0.0472625","0.785292447473027"
"newyork_only_reference","bearish_rsi_macd","8","0.625","20.22","82.93","-62.71","1.32243661298039","0.8034","0.100425","1.26151492464438"
"newyork_only_reference","bearish_rsi","5","0.2","-26.5","32.83","-59.33","0.553345693578291","-1.3082","-0.26164","0.517767620171041"
"tokyo_only_reference","none","315","0.361904761904762","-1299.23","2580.18","-3879.41","0.665095981089908","-56.993","-0.180930158730159","0.666658478325461"
"tokyo_only_reference","bearish_macd","2","0.5","-15.85","7.95","-23.8","0.334033613445378","-0.6536","-0.3268","0.3464"
"tokyo_only_reference","bullish_macd","2","0.5","13.28","34.56","-21.28","1.62406015037594","0.3981","0.19905","1.3981"
"tokyo_only_reference","bullish_rsi","6","0.5","2.13","68.1","-65.97","1.03228740336517","0.0311000000000001","0.00518333333333335","1.01035976015989"
"tokyo_only_reference","bullish_rsi_macd","5","0.4","-54.92","3.65","-58.57","0.062318593136418","-2.2837","-0.45674","0.111020281054148"
"tokyo_only_reference","bearish_rsi","5","0.4","-35.69","26.51","-62.2","0.42620578778135","-1.8088","-0.36176","0.404941277099714"
"tokyo_only_reference","bearish_rsi_macd","2","1","59.33","59.33","0","∞","2.8338","1.4169","∞"
"london_newyork_overlap_reference","none","207","0.352657004830918","-998.909999999999","1418.71","-2417.62","0.586820923056559","-41.7649","-0.201762801932367","0.607306661652014"
"london_newyork_overlap_reference","bullish_rsi_macd","4","0.5","-13.28","33.8","-47.08","0.717926932880204","-0.5143","-0.128575","0.74285"
"london_newyork_overlap_reference","bearish_rsi","5","0.6","33.5","65.42","-31.92","2.04949874686717","1.3473","0.26946","1.92123076923077"
"london_newyork_overlap_reference","bullish_rsi","3","0.333333333333333","-22.65","5.38","-28.03","0.191937210132001","-0.9927","-0.3309","0.15356412005457"
"london_newyork_overlap_reference","bearish_rsi_macd","5","0.4","-27.27","19.91","-47.18","0.422000847816871","-1.2243","-0.24486","0.441647284170201"
"london_newyork_overlap_reference","bearish_macd","2","0.5","8.82","30.75","-21.93","1.40218878248974","0.3986","0.1993","1.39032510771641"
"symbol_best_session","none","249","0.34136546184739","-1315.84","1959.49","-3275.33","0.598257274839482","-57.5676","-0.231195180722891","0.601288507529568"
"symbol_best_session","bullish_rsi_macd","9","0.444444444444444","-74.5","34.46","-108.96","0.316262848751835","-3.0638","-0.340422222222222","0.331821254879724"
"symbol_best_session","bullish_macd","1","1","34.56","34.56","0","∞","1.3981","1.3981","∞"
"symbol_best_session","bearish_rsi","2","0.5","15.24","32.46","-17.22","1.88501742160279","0.4008","0.2004","1.40047961630695"
"symbol_best_session","bullish_rsi","3","0.333333333333333","-31.07","5.38","-36.45","0.147599451303155","-1.446","-0.482","0.110755796076502"
"symbol_best_session","bearish_rsi_macd","2","0.5","21.51","26.61","-5.1","5.21764705882353","1.148","0.574","5.4170834936514"
"symbol_best_session","bearish_macd","2","1","40.88","40.88","0","∞","1.7416","0.8708","∞"
"symbol_best_session_with_dow_alignment","none","279","0.351254480286738","-1371.36","2162.43","-3533.79","0.611929401577343","-62.0109","-0.222261290322581","0.616787563357982"
"symbol_best_session_with_dow_alignment","bullish_rsi_macd","5","0","-102.49","0","-102.49","0","-4.5036","-0.90072","0"
"symbol_best_session_with_dow_alignment","bullish_rsi","2","0.5","-17.2","5.39","-22.59","0.238601150951749","-0.8199","-0.40995","0.1801"
"symbol_best_session_with_dow_alignment","bearish_rsi_macd","2","0.5","5.85","10.95","-5.1","2.14705882352941","0.268","0.134","2.0311658330127"
"symbol_best_session_with_wave3_confirmed","none","132","0.446969696969697","2.85999999999996","1263.08","-1260.22","1.00226944501754","0.7878","0.00596818181818182","1.01465519005426"
"symbol_best_session_with_wave3_confirmed","bullish_rsi_macd","5","0","-107.59","0","-107.59","0","-4.5036","-0.90072","0"
"symbol_best_session_with_wave3_confirmed","bullish_rsi","6","0.5","-20.05","52.59","-72.64","0.72398127753304","-0.8441","-0.140683333333333","0.722335526315789"
"symbol_best_session_with_wave3_confirmed","bearish_rsi_macd","3","0.333333333333333","-17.07","12.32","-29.39","0.419190200748554","-0.732","-0.244","0.419001508056195"
"symbol_best_session_with_wave3_confirmed","bearish_rsi","1","0","-23.97","0","-23.97","0","-1","-1","0"
