"scenario_mode","month","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","2025-01","134","0.380597014925373","-268.83","1296.36","-1565.19","0.82824449427865","-10.6537","-0.079505223880597","0.840395681243792"
"baseline_all_sessions","2025-02","153","0.352941176470588","-866.24","1146.35","-2012.59","0.569589434509761","-38.3428","-0.250606535947712","0.573971729077362"
"baseline_all_sessions","2025-03","52","0.288461538461538","-367.68","324.97","-692.65","0.469169133039775","-18.139","-0.348826923076923","0.467300615839136"
"session_volatility_only_filter","2025-01","58","0.482758620689655","168.62","796.64","-628.02","1.26849463392886","7.4842","0.129037931034483","1.28523625498312"
"session_volatility_only_filter","2025-02","67","0.328358208955224","-493.03","491.16","-984.19","0.499049980186753","-20.2607","-0.302398507462687","0.505723263382336"
"session_volatility_only_filter","2025-03","69","0.27536231884058","-621.8","402.94","-1024.74","0.393211936686379","-27.6379","-0.400549275362319","0.3968710855836"
"session_volatility_only_filter","2025-04","74","0.351351351351351","-363.01","443.1","-806.11","0.549676843110742","-16.9745","-0.229385135135135","0.562544455554754"
"london_only_reference","2025-01","40","0.25","-239.25","302.98","-542.23","0.55876657506962","-10.0132","-0.25033","0.565210594876248"
"london_only_reference","2025-02","56","0.446428571428571","-63.22","571.54","-634.76","0.900403302035415","-2.2847","-0.0407982142857143","0.915729798315112"
"london_only_reference","2025-03","42","0.261904761904762","-354.15","301.09","-655.24","0.459511018863317","-15.6115","-0.371702380952381","0.457268805167445"
"london_only_reference","2025-04","62","0.274193548387097","-531.31","297.76","-829.07","0.359149408373237","-24.6306","-0.397267741935484","0.364320758563911"
"london_only_reference","2025-05","42","0.30952380952381","-267.13","285.81","-552.94","0.516891525301117","-13.0088","-0.309733333333333","0.512853831434124"
"london_only_reference","2025-06","29","0.413793103448276","-25.43","243.38","-268.81","0.905397864662773","-1.273","-0.0438965517241379","0.90443301677865"
"newyork_only_reference","2025-01","27","0.333333333333333","-183.5","153.2","-336.7","0.455004455004455","-7.3591","-0.272559259259259","0.47600806020948"
"newyork_only_reference","2025-02","22","0.136363636363636","-299","67.53","-366.53","0.184241399066925","-13.3654","-0.607518181818182","0.177873052389418"
"newyork_only_reference","2025-03","24","0.5","-28.81","191.97","-220.78","0.869508107618444","-1.359","-0.056625","0.864794953936765"
"newyork_only_reference","2025-04","33","0.484848484848485","-41.47","236.72","-278.19","0.850929221035982","-1.8536","-0.0561696969696969","0.850576380491737"
"newyork_only_reference","2025-05","30","0.4","-244.67","172.14","-416.81","0.41299393008805","-10.1072","-0.336906666666667","0.447240907847963"
"newyork_only_reference","2025-06","24","0.375","-63.67","165.96","-229.63","0.722727866567957","-2.7472","-0.114466666666667","0.73772495107165"
"newyork_only_reference","2025-07","31","0.451612903225806","-228.45","264.41","-492.86","0.536480947936534","-10.2322","-0.330070967741935","0.551718699343713"
"newyork_only_reference","2025-08","26","0.423076923076923","-83.75","152.58","-236.33","0.645622646299666","-2.9721","-0.114311538461538","0.719568232641084"
"newyork_only_reference","2025-09","27","0.555555555555556","136.42","306.79","-170.37","1.80072782766919","6.6347","0.24572962962963","1.85668724014152"
"newyork_only_reference","2025-10","30","0.3","-205.66","154.55","-360.21","0.42905527331279","-9.2427","-0.30809","0.445389194249094"
"newyork_only_reference","2025-11","23","0.347826086956522","-14.02","147.62","-161.64","0.913264043553576","-0.4827","-0.0209869565217391","0.936069612205976"
"newyork_only_reference","2025-12","17","0.176470588235294","-169.39","81.87","-251.26","0.325837777600892","-8.1355","-0.478558823529412","0.321747757361523"
"tokyo_only_reference","2025-01","65","0.430769230769231","36.63","760.87","-724.24","1.05057715674362","1.9513","0.03002","1.06506762524676"
"tokyo_only_reference","2025-02","60","0.4","-189.57","561.46","-751.03","0.747586647670533","-7.4409","-0.124015","0.76343624519538"
"tokyo_only_reference","2025-03","56","0.303571428571429","-422.28","347.43","-769.71","0.451377791635811","-18.674","-0.333464285714286","0.447831717889732"
"tokyo_only_reference","2025-04","65","0.461538461538462","-85.53","554.78","-640.31","0.866424075838266","-3.2615","-0.0501769230769231","0.887950995952975"
"tokyo_only_reference","2025-05","44","0.272727272727273","-309.46","278.63","-588.09","0.473788025642334","-14.2654","-0.324213636363636","0.472856472431518"
"tokyo_only_reference","2025-06","47","0.297872340425532","-360.74","277.11","-637.85","0.434443834757388","-16.7856","-0.357140425531915","0.443330149633875"
"london_newyork_overlap_reference","2025-01","14","0.5","42.22","217.1","-174.88","1.24142268984446","1.5739","0.112421428571429","1.2106030802992"
"london_newyork_overlap_reference","2025-02","29","0.310344827586207","-236.38","198.2","-434.58","0.456072529798886","-9.4437","-0.325644827586207","0.471834766948916"
"london_newyork_overlap_reference","2025-03","25","0.28","-275.91","110.57","-386.48","0.286095011384807","-11.8395","-0.47358","0.296975203078239"
"london_newyork_overlap_reference","2025-04","30","0.366666666666667","-171.02","142.98","-314","0.455350318471338","-7.2631","-0.242103333333333","0.474259862468331"
"london_newyork_overlap_reference","2025-05","11","0.363636363636364","-48.47","74.07","-122.54","0.604455687938632","-2.1976","-0.199781818181818","0.59848720150549"
"london_newyork_overlap_reference","2025-06","10","0.5","15.33","103.64","-88.31","1.17359302457253","0.8572","0.08572","1.20780606060606"
"london_newyork_overlap_reference","2025-07","17","0.411764705882353","-8.9","151.18","-160.08","0.9444027986007","-0.2228","-0.0131058823529412","0.968628113603402"
"london_newyork_overlap_reference","2025-08","26","0.192307692307692","-376.9","32.55","-409.45","0.0794968860666748","-16.6023","-0.63855","0.0936174394418331"
"london_newyork_overlap_reference","2025-09","10","0.7","49.82","98.06","-48.24","2.03275290215589","2.4378","0.24378","2.0903479738796"
"london_newyork_overlap_reference","2025-10","16","0.3125","-20.5","121.69","-142.19","0.855826710739152","-0.8422","-0.0526375","0.872552283526528"
