"scenario_mode","session_label","trades","win_rate","net_profit","gross_profit","gross_loss","profit_factor_from_trades","sum_r","avg_r","r_profit_factor"
"baseline_all_sessions","other","30","0.4","-31.42","271.25","-302.67","0.89619057058843","-2.4003","-0.0800099999999999","0.829457529574763"
"baseline_all_sessions","tokyo","120","0.408333333333333","-333.04","1086.25","-1419.29","0.765347462463627","-13.8671","-0.115559166666667","0.777002851165312"
"baseline_all_sessions","london","91","0.351648351648352","-317.07","803.15","-1120.22","0.716957383371124","-14.0552","-0.154452747252747","0.718982553373561"
"baseline_all_sessions","london_newyork_overlap","45","0.311111111111111","-352.6","334.23","-686.83","0.486626967371839","-16.7798","-0.372884444444444","0.463809934653054"
"baseline_all_sessions","new_york","53","0.245283018867925","-468.62","272.8","-741.42","0.367942596638882","-20.0331","-0.377983018867925","0.397190735686624"
"session_volatility_only_filter","other","21","0.428571428571429","-32.92","143.74","-176.66","0.813653345409261","-1.3638","-0.0649428571428572","0.821650886645394"
"session_volatility_only_filter","london","111","0.306306306306306","-730.38","848.38","-1578.76","0.537371101370696","-31.8058","-0.286538738738739","0.543365870956905"
"session_volatility_only_filter","london_newyork_overlap","79","0.329113924050633","-596.57","507.39","-1103.96","0.459609043805935","-26.081","-0.330139240506329","0.463841526841843"
"session_volatility_only_filter","tokyo","55","0.454545454545455","30.4","604.07","-573.67","1.05299213833737","0.988299999999998","0.0179690909090909","1.03893259378607"
"session_volatility_only_filter","new_york","2","0.5","20.25","30.26","-10.01","3.02297702297702","0.8734","0.4367","2.65542077331312"
"london_only_reference","london","271","0.324723247232472","-1480.49","2002.56","-3483.05","0.574944373465784","-66.8218","-0.246574907749077","0.576213011597067"
"newyork_only_reference","new_york","314","0.385350318471338","-1425.97","2095.34","-3521.31","0.595045593827297","-61.222","-0.194974522292994","0.614703957305407"
"tokyo_only_reference","tokyo","337","0.370919881305638","-1330.95","2780.28","-4111.23","0.676264767478346","-58.4761","-0.173519584569733","0.677969153907748"
"london_newyork_overlap_reference","london_newyork_overlap","226","0.36283185840708","-1019.79","1573.97","-2593.76","0.606829467645425","-42.7503","-0.189160619469027","0.625667882617277"
"symbol_best_session","other","21","0.428571428571429","-32.92","143.74","-176.66","0.813653345409261","-1.3638","-0.0649428571428572","0.821650886645394"
"symbol_best_session","london","111","0.306306306306306","-730.38","848.38","-1578.76","0.537371101370696","-31.8058","-0.286538738738739","0.543365870956905"
"symbol_best_session","london_newyork_overlap","79","0.329113924050633","-596.57","507.39","-1103.96","0.459609043805935","-26.081","-0.330139240506329","0.463841526841843"
"symbol_best_session","tokyo","55","0.454545454545455","30.4","604.07","-573.67","1.05299213833737","0.988299999999998","0.0179690909090909","1.03893259378607"
"symbol_best_session","new_york","2","0.5","20.25","30.26","-10.01","3.02297702297702","0.8734","0.4367","2.65542077331312"
"symbol_best_session_with_dow_alignment","london","124","0.330645161290323","-603.01","1028.35","-1631.36","0.630363622989408","-27.1511","-0.218960483870968","0.638456304254325"
"symbol_best_session_with_dow_alignment","london_newyork_overlap","86","0.383720930232558","-468.87","628.39","-1097.26","0.572690155478191","-21.0847","-0.245170930232558","0.577004866970802"
"symbol_best_session_with_dow_alignment","other","28","0.357142857142857","-75.5","169.34","-244.84","0.691635353700376","-3.8566","-0.137735714285714","0.659356092390584"
"symbol_best_session_with_dow_alignment","tokyo","49","0.326530612244898","-327.77","352.69","-680.46","0.518311142462452","-14.4464","-0.294824489795918","0.530794989135766"
"symbol_best_session_with_dow_alignment","new_york","1","0","-10.05","0","-10.05","0","-0.5276","-0.5276","0"
"symbol_best_session_with_wave3_confirmed","london","64","0.4375","14.9799999999999","711.55","-696.57","1.02150537634409","0.647800000000003","0.0101218750000001","1.0218529463358"
"symbol_best_session_with_wave3_confirmed","other","19","0.210526315789474","-115.12","28.5","-143.62","0.198440328645035","-5.0682","-0.266747368421053","0.19670961913366"
"symbol_best_session_with_wave3_confirmed","london_newyork_overlap","36","0.444444444444444","-105.82","273.55","-379.37","0.72106386904605","-4.0981","-0.113836111111111","0.743228425887056"
"symbol_best_session_with_wave3_confirmed","tokyo","27","0.555555555555556","50.15","314.39","-264.24","1.18978958522555","2.7542","0.102007407407407","1.24771104275718"
"symbol_best_session_with_wave3_confirmed","new_york","1","0","-10.01","0","-10.01","0","-0.5276","-0.5276","0"
