scenario,nearest_obstacle_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor
session_one_shot_no_obstacle_filter,current_day_high,12,4,0.3333333333333333,-19.310000000000002,26.99,-46.3,0.5829373650107992,-0.5614312671022487,-0.04678593892518739,0.5892455376608892
session_one_shot_no_obstacle_filter,current_day_low,33,14,0.42424242424242425,44.410000000000004,154.82999999999996,-110.41999999999999,1.4021916319507333,1.3261195703352429,0.04018544152531039,1.4029067308552634
session_one_shot_no_obstacle_filter,h1_swing_high,1,0,0.0,-3.87,0,-3.87,0.0,-0.11180924999999824,-0.11180924999999824,0.0
session_one_shot_no_obstacle_filter,previous_day_high,14,2,0.14285714285714285,-43.2,14.77,-57.97,0.2547869587717785,-1.2860075839687473,-0.09185768456919623,0.25933366386992224
session_one_shot_no_obstacle_filter,previous_day_low,1,1,1.0,6.04,6.04,0,inf,0.1757154542056086,0.1757154542056086,inf
session_one_shot_no_obstacle_filter,recent_equal_lows,3,1,0.3333333333333333,-2.2,5.35,-7.55,0.7086092715231788,-0.08399989364934654,-0.02799996454978218,0.6483136243128337
session_one_shot_no_obstacle_filter,recent_rejection_zone,2,1,0.5,9.49,12.23,-2.74,4.463503649635037,0.27601996611913415,0.13800998305956708,4.400057735645048
session_one_shot_no_obstacle_filter,round_number,33,6,0.18181818181818182,-73.08,54.53,-127.60999999999999,0.4273176083379046,-2.2508379164973924,-0.06820720959083007,0.41927919500437966
session_one_shot_target_1_5_clean_path,current_day_high,4,0,0.0,-18.700000000000003,0,-18.700000000000003,0.0,-0.5823517799948196,-0.1455879449987049,0.0
session_one_shot_target_1_5_clean_path,current_day_low,10,4,0.4,-22.549999999999997,11.77,-34.32,0.34294871794871795,-0.6766021264799936,-0.06766021264799936,0.339522162924037
session_one_shot_target_1_5_clean_path,recent_equal_lows,1,0,0.0,-3.5300000000000002,0,-3.5300000000000002,0.0,-0.110665077751192,-0.110665077751192,0.0
session_one_shot_target_1_5_clean_path,round_number,15,3,0.2,-29.68,23.82,-53.5,0.4452336448598131,-0.8865317551683348,-0.059102117011222324,0.4439675905708666
session_one_shot_target_2_0_clean_path_reference,current_day_high,4,0,0.0,-18.700000000000003,0,-18.700000000000003,0.0,-0.5812312799781584,-0.1453078199945396,0.0
session_one_shot_target_2_0_clean_path_reference,current_day_low,8,3,0.375,-21.549999999999997,9.510000000000002,-31.060000000000002,0.30618158403090795,-0.6464677125856985,-0.08080846407321231,0.30288404934797086
session_one_shot_target_2_0_clean_path_reference,recent_equal_lows,1,0,0.0,-3.85,0,-3.85,0.0,-0.11063895285087301,-0.11063895285087301,0.0
session_one_shot_target_2_0_clean_path_reference,round_number,12,3,0.25,-13.330000000000002,23.82,-37.15,0.6411843876177659,-0.39522608183309316,-0.03293550681942443,0.642463775301326
session_one_shot_target_1_2_clean_path_reference,current_day_high,5,1,0.2,-11.290000000000001,7.41,-18.700000000000003,0.39625668449197854,-0.36198964354958363,-0.07239792870991672,0.3784003827500899
session_one_shot_target_1_2_clean_path_reference,current_day_low,11,4,0.36363636363636365,-32.6,10.56,-43.160000000000004,0.24467099165894346,-0.9386286572861648,-0.0853298779351059,0.2590972120073886
session_one_shot_target_1_2_clean_path_reference,recent_equal_lows,1,0,0.0,-3.5300000000000002,0,-3.5300000000000002,0.0,-0.110665077751192,-0.110665077751192,0.0
session_one_shot_target_1_2_clean_path_reference,round_number,19,3,0.15789473684210525,-50.119999999999976,23.82,-73.94,0.32215309710576145,-1.5035211633244958,-0.07913269280655241,0.3200976346409416
session_one_shot_target_1_5_soft_obstacle_diagnostics,current_day_high,4,0,0.0,-18.700000000000003,0,-18.700000000000003,0.0,-0.5823517799948196,-0.1455879449987049,0.0
session_one_shot_target_1_5_soft_obstacle_diagnostics,current_day_low,10,4,0.4,-22.549999999999997,11.77,-34.32,0.34294871794871795,-0.6766021264799936,-0.06766021264799936,0.339522162924037
session_one_shot_target_1_5_soft_obstacle_diagnostics,recent_equal_lows,1,0,0.0,-3.5300000000000002,0,-3.5300000000000002,0.0,-0.110665077751192,-0.110665077751192,0.0
session_one_shot_target_1_5_soft_obstacle_diagnostics,round_number,15,3,0.2,-29.68,23.82,-53.5,0.4452336448598131,-0.8865317551683348,-0.059102117011222324,0.4439675905708666
