scenario,side,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor
session_one_shot_no_obstacle_filter,long,54,12,0.2222222222222222,-107.26999999999995,96.29,-203.56,0.4730300648457458,-3.247778529031553,-0.06014404683391765,0.4700579337238918
session_one_shot_no_obstacle_filter,short,45,17,0.37777777777777777,25.549999999999997,178.44999999999993,-152.9,1.1671026814911702,0.7315476084738068,0.01625661352164015,1.1599459241035894
session_one_shot_target_1_5_clean_path,long,16,3,0.1875,-30.759999999999994,23.82,-54.580000000000005,0.43642359838768774,-0.9483670900815743,-0.05927294313009839,0.42739200349691964
session_one_shot_target_1_5_clean_path,short,14,4,0.2857142857142857,-43.7,11.77,-55.47,0.2121867676221381,-1.3077836493127653,-0.09341311780805465,0.21008219180932328
session_one_shot_target_2_0_clean_path_reference,long,14,3,0.21428571428571427,-20.69,23.82,-44.51,0.5351606380588632,-0.6393456213004688,-0.045667544378604916,0.5262474806061095
session_one_shot_target_2_0_clean_path_reference,short,11,3,0.2727272727272727,-36.74,9.510000000000002,-46.25,0.20562162162162165,-1.0942184059473543,-0.09947440054066857,0.20426077410264745
session_one_shot_target_1_2_clean_path_reference,long,20,4,0.2,-37.51999999999999,31.23,-68.75,0.45425454545454547,-1.1571899635430443,-0.05785949817715221,0.44510166885255326
session_one_shot_target_1_2_clean_path_reference,short,16,4,0.25,-60.019999999999996,10.56,-70.58,0.14961745536979315,-1.7576145783683927,-0.10985091114802455,0.15736592278448922
session_one_shot_target_1_5_soft_obstacle_diagnostics,long,16,3,0.1875,-30.759999999999994,23.82,-54.580000000000005,0.43642359838768774,-0.9483670900815743,-0.05927294313009839,0.42739200349691964
session_one_shot_target_1_5_soft_obstacle_diagnostics,short,14,4,0.2857142857142857,-43.7,11.77,-55.47,0.2121867676221381,-1.3077836493127653,-0.09341311780805465,0.21008219180932328
