time,event,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,session_candidate_symbol_map,entry_pattern,entry_trigger,neckline_level,ltf_wave3_timeframe,htf_wave3_direction,htf_wave3_confirmed,htf_fractal_alignment,wave3_alignment_passed,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_price,nearest_obstacle_distance_r,retest_reference_type,retest_reference_price,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,obstacle_block_reason,obstacle_count_before_target,hard_obstacle_count_before_target,soft_obstacle_count_before_target,target_reward_multiple,target_price,entry_price,stop_loss_price,initial_risk_price_distance,take_profit,reward_r,atr,spread_points,score,result_r,failure_type,session_invalidated,invalidation_reason,reason
2025.01.02 03:15:00,signal,session_reversal_pullback_all_symbols_first120,AUDJPY,LONG,2025.01.02 03:00:00,3,0,9,tokyo,2025.01.02 00:00,0,first_120min,true,true,3,AUDJPY,all_symbols_symbol_session_one_shot,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_bottom,neckline_break_retest,97.70700000,PERIOD_M15,LONG,false,H4_NONE_break_below_without_lower_pullback|H1_LONG_confirmed_break_above_swing_high,true,97.77000000,97.74100000,97.77000000,h4_confirmed_swing_low,0.01500000,0.0493,session_high|opening_range_high|neckline_level,97.74100000,false,true,true,false,not_blocked,2,1,1,1.50,98.21100000,97.75500000,97.45100000,0.30400000,98.21100000,1.500,0.10142857,28.00,4.400,0.0000,neckline_retest_failed,false,not_invalidated,spread_too_high
2025.01.02 03:15:00,blocked,session_reversal_pullback_all_symbols_first120,AUDJPY,LONG,2025.01.02 03:00:00,3,0,9,tokyo,2025.01.02 00:00,0,first_120min,true,true,3,AUDJPY,all_symbols_symbol_session_one_shot,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_bottom,neckline_break_retest,97.70700000,PERIOD_M15,LONG,false,H4_NONE_break_below_without_lower_pullback|H1_LONG_confirmed_break_above_swing_high,true,97.77000000,97.74100000,97.77000000,h4_confirmed_swing_low,0.01500000,0.0493,session_high|opening_range_high|neckline_level,97.74100000,false,true,true,false,not_blocked,2,1,1,1.50,98.21100000,97.75500000,97.45100000,0.30400000,98.21100000,1.500,0.10142857,28.00,4.400,0.0000,neckline_retest_failed,false,not_invalidated,spread_too_high
2025.01.02 10:15:00,signal,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.02 10:00:00,10,7,16,london,2025.01.02 07:00,0,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,162.35300000,PERIOD_M5,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,162.35300000,162.28700000,162.23300000,failed_breakout_level,0.06400000,0.2612,session_low|opening_range_low|neckline_level,162.28700000,false,true,true,false,not_blocked,6,2,4,1.50,161.93000000,162.29700000,162.54200000,0.24500000,161.93000000,1.498,0.16450000,32.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.02 10:15:00,blocked,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.02 10:00:00,10,7,16,london,2025.01.02 07:00,0,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,162.35300000,PERIOD_M5,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,162.35300000,162.28700000,162.23300000,failed_breakout_level,0.06400000,0.2612,session_low|opening_range_low|neckline_level,162.28700000,false,true,true,false,not_blocked,6,2,4,1.50,161.93000000,162.29700000,162.54200000,0.24500000,161.93000000,1.498,0.16450000,32.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.02 16:15:00,signal,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.02 16:00:00,16,13,22,london_newyork_overlap,2025.01.02 13:00,0,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,161.98000000,PERIOD_M15,SHORT,false,H4_NONE_break_below_without_lower_pullback|H1_SHORT_confirmed_break_below_swing_low,true,161.94000000,161.71500000,161.71500000,failed_breakout_level,0.17600000,0.2933,neckline_level,161.98000000,false,true,true,false,not_blocked,6,4,2,1.50,160.99100000,161.89100000,162.49100000,0.60000000,160.99100000,1.500,0.22778571,30.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.02 16:15:00,blocked,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.02 16:00:00,16,13,22,london_newyork_overlap,2025.01.02 13:00,0,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,161.98000000,PERIOD_M15,SHORT,false,H4_NONE_break_below_without_lower_pullback|H1_SHORT_confirmed_break_below_swing_low,true,161.94000000,161.71500000,161.71500000,failed_breakout_level,0.17600000,0.2933,neckline_level,161.98000000,false,true,true,false,not_blocked,6,4,2,1.50,160.99100000,161.89100000,162.49100000,0.60000000,160.99100000,1.500,0.22778571,30.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.02 20:45:00,signal,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.02 20:30:00,20,17,2,new_york,2025.01.02 16:00,90,first_120min,false,true,3,EURJPY,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,161.67100000,PERIOD_M15,SHORT,false,H4_NONE_break_below_without_lower_pullback|H1_SHORT_confirmed_break_below_swing_low,true,161.67100000,161.61600000,161.61600000,wick_cluster_zone,0.02700000,0.1444,opening_range_low|neckline_level,161.67100000,false,true,true,false,not_blocked,4,2,2,1.50,161.36300000,161.64300000,161.83000000,0.18700000,161.36300000,1.497,0.22550000,31.00,4.200,0.0000,neckline_retest_failed,false,not_invalidated,
2025.01.02 20:45:00,order_sent,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.02 20:30:00,20,17,2,new_york,2025.01.02 16:00,90,first_120min,false,true,3,EURJPY,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,161.67100000,PERIOD_M15,SHORT,false,H4_NONE_break_below_without_lower_pullback|H1_SHORT_confirmed_break_below_swing_low,true,161.67100000,161.61600000,161.61600000,wick_cluster_zone,0.02700000,0.1444,opening_range_low|neckline_level,161.67100000,false,true,true,false,not_blocked,4,2,2,1.50,161.36300000,161.64300000,161.83000000,0.18700000,161.36300000,1.497,0.22550000,31.00,4.200,0.0000,neckline_retest_failed,false,not_invalidated,
2025.01.03 11:00:00,signal,session_reversal_pullback_all_symbols_first120,EURJPY,LONG,2025.01.03 10:45:00,10,7,16,london,2025.01.03 07:00,45,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,161.71600000,PERIOD_M15,LONG,false,H4_NONE_break_below_without_lower_pullback|H1_LONG_confirmed_break_above_swing_high,true,161.83100000,161.73400000,161.83100000,current_day_high,0.07400000,0.2170,neckline_level,161.71600000,false,true,true,false,not_blocked,5,2,3,1.50,162.26800000,161.75700000,161.41600000,0.34100000,162.26800000,1.499,0.11364286,30.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.03 11:00:00,blocked,session_reversal_pullback_all_symbols_first120,EURJPY,LONG,2025.01.03 10:45:00,10,7,16,london,2025.01.03 07:00,45,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,161.71600000,PERIOD_M15,LONG,false,H4_NONE_break_below_without_lower_pullback|H1_LONG_confirmed_break_above_swing_high,true,161.83100000,161.73400000,161.83100000,current_day_high,0.07400000,0.2170,neckline_level,161.71600000,false,true,true,false,not_blocked,5,2,3,1.50,162.26800000,161.75700000,161.41600000,0.34100000,162.26800000,1.499,0.11364286,30.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
