entry_time,exit_time,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,session_candidate_symbol_map,entry_pattern,entry_trigger,neckline_level,ltf_wave3_timeframe,htf_alignment_mode,htf_wave3_direction,htf_wave3_confirmed,htf_fractal_alignment,wave3_alignment_passed,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_r,retest_reference_type,retest_reference_price,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,target_reward_multiple,target_price,entry,exit,stop_loss,take_profit,risk_price,result_r,initial_stop_loss_price,current_stop_loss_price,break_even_enabled,break_even_triggered,break_even_trigger_type,break_even_trigger_r,break_even_trigger_time,bars_to_break_even,max_favorable_r_before_exit,max_adverse_r_before_exit,exit_type,full_sl_exit,break_even_exit,tp_exit,time_exit,result_r_before_be,result_r_after_be,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,failure_type,session_invalidated,invalidation_reason,exit_reason,position_id,break_even_mode
2025.01.02 20:45:00,2025.01.03 02:45:00,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.02 20:30:00,20,17,2,new_york,2025.01.02 16:00,90,first_120min,false,true,3,EURJPY,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,161.67100000,PERIOD_M15,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_break_below_without_lower_pullback|H1_SHORT_confirmed_break_below_swing_low,true,161.67100000,161.61600000,161.61600000,wick_cluster_zone,0.1444,opening_range_low|neckline_level,161.67100000,false,true,true,false,1.50,161.36300000,161.64300000,161.61700000,161.83000000,161.36300000,0.18700000,0.1390,161.83000000,161.83000000,false,false,none,0.0000,,-1,0.1390,0.0000,time,false,false,false,true,0.1390,0.0000,3.47,0.00,-1.36,2.11,0.210,1.497,24,0.22550000,31.00,4.200,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,2,no_break_even
2025.01.03 19:15:00,2025.01.06 01:15:00,session_reversal_pullback_all_symbols_first120,GBPUSD,LONG,2025.01.03 19:00:00,19,16,1,new_york,2025.01.03 16:00,0,first_120min,true,true,3,GBPUSD,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,1.24162000,PERIOD_M15,h1_confirmed_h4_not_opposite,LONG,false,H4_NONE_no_confirmed_wave3_break|H1_LONG_confirmed_break_above_swing_high,true,1.24280000,1.24169000,1.24280000,current_day_high,0.0245,session_high|opening_range_high|neckline_level,1.24280000,false,false,true,false,1.50,1.24761000,1.24272000,1.24246000,1.23946000,1.24761000,0.00326000,-0.0798,1.23946000,1.23946000,false,false,none,0.0000,,-1,0.0000,0.0798,time,false,false,false,true,-0.0798,0.0000,-1.82,0.00,-0.08,-1.90,0.070,1.500,24,0.00108714,20.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_EXPERT,4,no_break_even
2025.01.06 16:15:00,2025.01.06 16:15:40,session_reversal_pullback_all_symbols_first120,EURJPY,LONG,2025.01.06 16:00:00,16,13,22,london_newyork_overlap,2025.01.06 13:00,0,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,163.18300000,PERIOD_M5,h1_confirmed_h4_not_opposite,LONG,false,H4_NONE_no_confirmed_wave3_break|H1_LONG_confirmed_break_above_swing_high,true,163.25500000,163.20700000,163.26600000,pre_session_high,0.0526,session_high|opening_range_high|neckline_level,163.25500000,false,true,true,false,1.50,163.70600000,163.25000000,162.94200000,162.94600000,163.70600000,0.30400000,-1.0132,162.94600000,162.94600000,false,false,none,0.0000,,-1,0.0000,1.0132,full_sl,true,false,false,false,-1.0132,0.0000,-23.56,0.00,0.00,-23.56,0.120,1.500,0,0.27328571,30.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,6,no_break_even
2025.01.06 16:15:00,2025.01.06 16:16:14,session_reversal_pullback_all_symbols_first120,AUDJPY,LONG,2025.01.06 16:00:00,16,13,22,london_newyork_overlap,2025.01.06 13:00,0,first_120min,true,true,3,AUDJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_bottom,neckline_break_retest,98.57500000,PERIOD_M15,h1_confirmed_h4_not_opposite,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,98.63400000,98.61400000,98.63400000,pre_session_high,0.0405,session_high|opening_range_high|neckline_level,98.61400000,false,true,true,false,1.50,98.95800000,98.62500000,98.38900000,98.40300000,98.95800000,0.22200000,-1.0631,98.40300000,98.40300000,false,false,none,0.0000,,-1,0.0000,1.0631,full_sl,true,false,false,false,-1.0631,0.0000,-25.57,0.00,0.00,-25.57,0.170,1.500,0,0.16000000,28.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,7,no_break_even
2025.01.07 20:00:00,2025.01.07 23:43:50,session_reversal_pullback_all_symbols_first120,GBPJPY,SHORT,2025.01.07 19:45:00,19,16,1,new_york,2025.01.07 16:00,45,first_120min,true,true,3,GBPJPY,all_symbols_symbol_session_one_shot,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,197.14700000,PERIOD_M5,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,197.11500000,197.09200000,197.09200000,wick_cluster_zone,0.0598,neckline_level,197.14700000,false,true,true,false,1.50,196.75500000,197.10600000,197.34700000,197.34000000,196.75500000,0.23400000,-1.0299,197.34000000,197.34000000,false,false,none,0.0000,,-1,0.0000,1.0299,full_sl,true,false,false,false,-1.0299,0.0000,-24.39,0.00,0.00,-24.39,0.160,1.500,14,0.23357143,38.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,10,no_break_even
2025.01.08 16:15:00,2025.01.08 16:21:17,session_reversal_pullback_all_symbols_first120,EURJPY,SHORT,2025.01.08 16:00:00,16,13,22,london_newyork_overlap,2025.01.08 13:00,0,first_120min,true,true,3,EURJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,163.01700000,PERIOD_M5,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,163.01700000,162.94540000,162.94540000,recent_equal_lows,0.2099,neckline_level,163.01700000,false,true,true,false,1.50,162.76400000,162.97500000,163.11700000,163.11600000,162.76400000,0.14100000,-1.0071,163.11600000,163.11600000,false,false,none,0.0000,,-1,0.0000,1.0071,full_sl,true,false,false,false,-1.0071,0.0000,-24.20,0.00,0.00,-24.20,0.270,1.496,0,0.16007143,30.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,12,no_break_even
2025.01.08 16:30:00,2025.01.08 17:06:53,session_reversal_pullback_all_symbols_first120,GBPUSD,SHORT,2025.01.08 16:15:00,16,13,22,london_newyork_overlap,2025.01.08 13:00,15,first_120min,true,true,3,GBPUSD,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,1.23346000,PERIOD_M5,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,1.23346000,1.23325000,1.23314800,recent_equal_lows,0.1116,session_low|opening_range_low|neckline_level,1.23325000,false,true,true,false,1.50,1.23076000,1.23334000,1.23506000,1.23506000,1.23076000,0.00172000,-1.0000,1.23506000,1.23506000,false,false,none,0.0000,,-1,0.0000,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-24.08,0.00,0.00,-24.08,0.140,1.500,2,0.00276571,20.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,16,no_break_even
2025.01.08 16:30:00,2025.01.08 18:24:33,session_reversal_pullback_all_symbols_first120,GBPJPY,SHORT,2025.01.08 16:15:00,16,13,22,london_newyork_overlap,2025.01.08 13:00,15,first_120min,true,true,3,GBPJPY,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,195.41800000,PERIOD_M5,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_break_below_without_lower_pullback|H1_SHORT_confirmed_break_below_swing_low,true,195.41500000,195.36000000,195.24500000,failed_breakout_level,0.5402,session_low|opening_range_low|neckline_level,195.36000000,false,true,true,false,1.50,194.99500000,195.38600000,195.65000000,195.64700000,194.99500000,0.26100000,-1.0115,195.64700000,195.64700000,false,false,none,0.0000,,-1,0.0000,1.0115,full_sl,true,false,false,false,-1.0115,0.0000,-25.01,0.00,0.00,-25.01,0.150,1.498,7,0.36414286,38.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,15,no_break_even
2025.01.08 16:15:00,2025.01.08 21:19:48,session_reversal_pullback_all_symbols_first120,EURUSD,SHORT,2025.01.08 16:00:00,16,13,22,london_newyork_overlap,2025.01.08 13:00,0,first_120min,true,true,3,EURUSD,all_symbols_symbol_session_one_shot,london_newyork_overlap=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_top,neckline_break_retest,1.03102000,PERIOD_M15,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,1.03000500,1.02963000,1.02898000,wick_cluster_zone,0.3280,session_low|opening_range_low|neckline_level,1.02963000,false,true,true,false,1.50,1.02606000,1.02980000,1.03231000,1.03230000,1.02606000,0.00250000,-1.0040,1.03230000,1.03230000,false,false,none,0.0000,,-1,0.0000,1.0040,full_sl,true,false,false,false,-1.0040,0.0000,-22.59,0.00,0.00,-22.59,0.090,1.496,20,0.00131143,18.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_SL,13,no_break_even
2025.01.09 04:00:00,2025.01.09 06:01:53,session_reversal_pullback_all_symbols_first120,USDJPY,SHORT,2025.01.09 03:45:00,3,0,9,tokyo,2025.01.09 00:00,45,first_120min,true,true,3,USDJPY,all_symbols_symbol_session_one_shot,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_top,neckline_break_retest,158.13300000,PERIOD_M15,h1_confirmed_h4_not_opposite,SHORT,false,H4_NONE_no_confirmed_wave3_break|H1_SHORT_confirmed_break_below_swing_low,true,158.10875000,158.09300000,158.09300000,pre_session_low,0.1024,neckline_level,158.13300000,false,true,true,false,1.50,157.91500000,158.10600000,157.90200000,158.23300000,157.91500000,0.12700000,1.6063,158.23300000,158.23300000,false,false,none,0.0000,,-1,1.6063,0.0000,tp,false,false,true,false,1.6063,0.0000,38.76,0.00,0.00,38.76,0.300,1.504,8,0.09014286,16.00,4.400,other,false,not_invalidated,DEAL_REASON_TP,20,no_break_even
