scenario_id,htf_alignment_mode,symbol,break_even_mode,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,break_even_triggered,break_even_trigger_rate,break_even_exits,break_even_exit_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r
all_first120,h1_confirmed_h4_not_opposite,AUDJPY,break_even_at_1_0r,35,14,0.4,-3.0100000000000016,341.38,-344.38999999999993,0.9912599088242983,0.2799999999999998,0.007999999999999995,1.0176317976877156,99.38,0.9937999999999999,-0.030287784262427064,13,0.37142857142857144,9,0.2571428571428571,1,0.02857142857142857,10,0.2857142857142857,11,0.3142857142857143,0.7523457142857142,0.7179399999999998
all_first120,h1_confirmed_h4_not_opposite,AUDJPY,break_even_at_1_1r,35,14,0.4,-4.059999999999999,341.38,-345.4399999999999,0.9882468735525709,0.2799999999999998,0.007999999999999995,1.0176317976877156,99.38,0.9937999999999999,-0.04085329040048298,13,0.37142857142857144,9,0.2571428571428571,1,0.02857142857142857,10,0.2857142857142857,11,0.3142857142857143,0.7523457142857142,0.7179399999999998
all_first120,h1_confirmed_h4_not_opposite,AUDJPY,no_break_even,35,14,0.4,-24.25999999999998,341.37,-365.63,0.9336487706151028,-0.6680000000000006,-0.019085714285714303,0.9603051983551614,119.57000000000001,1.1957,-0.20289370243372065,14,0.4,0,0.0,0,0.0,10,0.2857142857142857,11,0.3142857142857143,0.46172571428571424,0.4808114285714286
all_first120,h1_confirmed_h4_not_opposite,AUDJPY,time_30min_and_0_5r_break_even,36,14,0.3888888888888889,61.77999999999998,373.9599999999999,-312.18,1.1978986482157727,3.146600000000001,0.08740555555555558,1.219441945449854,98.01,0.9801000000000001,0.6303438424650544,13,0.3611111111111111,16,0.4444444444444444,5,0.1388888888888889,11,0.3055555555555556,7,0.19444444444444445,0.7194444444444443,0.7179666666666665
all_first120,h1_confirmed_h4_not_opposite,EURJPY,break_even_at_1_0r,66,23,0.3484848484848485,-345.0000000000001,365.21,-710.21,0.5142281860294842,-15.537200000000002,-0.23541212121212124,0.5171723700729657,402.67000000000013,4.026700000000001,-0.85678098691236,25,0.3787878787878788,6,0.09090909090909091,1,0.015151515151515152,8,0.12121212121212122,32,0.48484848484848486,0.6836590909090907,0.7516363636363637
all_first120,h1_confirmed_h4_not_opposite,EURJPY,break_even_at_1_1r,66,23,0.3484848484848485,-345.99,365.30999999999995,-711.3000000000001,0.5135807676086038,-15.537200000000002,-0.23541212121212124,0.5171723700729657,403.66,4.0366,-0.8571322400039637,25,0.3787878787878788,6,0.09090909090909091,1,0.015151515151515152,8,0.12121212121212122,32,0.48484848484848486,0.6836590909090907,0.7516363636363637
all_first120,h1_confirmed_h4_not_opposite,EURJPY,no_break_even,66,24,0.36363636363636365,-319.71000000000004,391.23,-710.94,0.5502996033420542,-14.0225,-0.2124621212121212,0.5640434137833478,380.96000000000004,3.8096000000000005,-0.8392219655606888,25,0.3787878787878788,0,0.0,0,0.0,9,0.13636363636363635,32,0.48484848484848486,0.2748848484848485,0.4873469696969696
all_first120,h1_confirmed_h4_not_opposite,EURJPY,time_30min_and_0_5r_break_even,67,15,0.22388059701492538,-366.94000000000005,315.53000000000003,-682.47,0.46233534074757865,-16.541999999999998,-0.24689552238805967,0.4660460552223679,402.38000000000005,4.0238000000000005,-0.9119240518912471,25,0.373134328358209,27,0.40298507462686567,16,0.23880597014925373,8,0.11940298507462686,18,0.26865671641791045,0.6362089552238803,0.7174552238805971
all_first120,h1_confirmed_h4_not_opposite,EURUSD,break_even_at_1_0r,71,26,0.36619718309859156,-237.1900000000001,541.6700000000001,-778.8600000000002,0.6954651670390056,-10.900700000000004,-0.15353098591549302,0.6924424706851603,237.1900000000001,2.371900000000001,-1.0,29,0.4084507042253521,14,0.19718309859154928,2,0.028169014084507043,13,0.18309859154929578,27,0.38028169014084506,0.7098084507042253,0.7365267605633802
all_first120,h1_confirmed_h4_not_opposite,EURUSD,break_even_at_1_1r,71,26,0.36619718309859156,-240.0900000000001,544.32,-784.4100000000003,0.6939228209737253,-10.900700000000004,-0.15353098591549302,0.6924424706851603,240.0900000000001,2.400900000000001,-1.0,29,0.4084507042253521,11,0.15492957746478872,2,0.028169014084507043,13,0.18309859154929578,27,0.38028169014084506,0.7142901408450704,0.7365267605633802
all_first120,h1_confirmed_h4_not_opposite,EURUSD,no_break_even,71,26,0.36619718309859156,-256.7600000000001,545.5500000000002,-802.3100000000003,0.6799740748588451,-11.868600000000004,-0.1671633802816902,0.674288537007053,256.7600000000001,2.567600000000001,-1.0,30,0.4225352112676056,0,0.0,0,0.0,13,0.18309859154929578,28,0.39436619718309857,0.3460619718309859,0.513225352112676
all_first120,h1_confirmed_h4_not_opposite,EURUSD,time_30min_and_0_5r_break_even,71,23,0.323943661971831,-231.68000000000006,496.69000000000005,-728.3700000000003,0.6819199033458268,-10.546399999999998,-0.1485408450704225,0.6840399174328692,231.68000000000006,2.3168000000000006,-1.0,27,0.38028169014084506,27,0.38028169014084506,9,0.1267605633802817,12,0.16901408450704225,23,0.323943661971831,0.6593690140845071,0.7268492957746477
all_first120,h1_confirmed_h4_not_opposite,GBPJPY,break_even_at_1_0r,76,29,0.3815789473684211,-132.02,681.6700000000001,-813.6899999999999,0.8377514778355395,-5.055400000000002,-0.06651842105263162,0.8620936107064721,241.89999999999998,2.4189999999999996,-0.5457627118644068,31,0.40789473684210525,18,0.23684210526315788,2,0.02631578947368421,18,0.23684210526315788,25,0.32894736842105265,0.7803868421052634,0.7617460526315788
all_first120,h1_confirmed_h4_not_opposite,GBPJPY,break_even_at_1_1r,76,29,0.3815789473684211,-98.46000000000004,716.22,-814.68,0.8791427308882016,-4.001500000000004,-0.052651315789473734,0.8913792916241393,241.89,2.4189,-0.40704452437058186,31,0.40789473684210525,13,0.17105263157894737,1,0.013157894736842105,19,0.25,25,0.32894736842105265,0.7809907894736843,0.767803947368421
all_first120,h1_confirmed_h4_not_opposite,GBPJPY,no_break_even,76,29,0.3815789473684211,-180.4599999999999,706.49,-886.9499999999999,0.7965387000394611,-7.298999999999998,-0.0960394736842105,0.8181464843895986,320.2699999999999,3.202699999999999,-0.5634620788709525,32,0.42105263157894735,0,0.0,0,0.0,19,0.25,25,0.32894736842105265,0.432075,0.5281144736842105
all_first120,h1_confirmed_h4_not_opposite,GBPJPY,time_30min_and_0_5r_break_even,76,22,0.2894736842105263,-164.89999999999998,553.4900000000001,-718.3899999999998,0.7704589429140165,-6.491200000000004,-0.08541052631578952,0.8015269509596186,263.8,2.638,-0.6250947687642152,29,0.3815789473684211,35,0.4605263157894737,16,0.21052631578947367,15,0.19736842105263158,16,0.21052631578947367,0.7296105263157894,0.7223171052631578
