scenario,failure_type,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,bos_pullback_failed,2,0,0.0,-52.5,0,-52.5,0.0,-2.2607,-1.13035,0.0,52.5,-1.0
session_reversal_pullback_all_symbols_first120,choch_failed,1,0,0.0,-2.06,0,-2.06,0.0,-0.0924,-0.0924,0.0,2.06,-1.0
session_reversal_pullback_all_symbols_first120,neckline_retest_failed,121,1,0.008264462809917356,-2411.529999999999,0.33,-2411.8599999999988,0.0001368238620815471,-110.68580000000003,-0.9147586776859506,0.0,2411.529999999999,-1.0
session_reversal_pullback_all_symbols_first120,no_followthrough_after_retest,287,1,0.003484320557491289,-4639.120000000001,0.72,-4639.840000000001,0.0001551777647505086,-219.30550000000008,-0.7641306620209062,0.0,4639.120000000001,-1.0
session_reversal_pullback_all_symbols_first120,other,180,180,1.0,5442.069999999995,5442.069999999995,0,inf,254.70039999999995,1.4150022222222218,inf,0.0,inf
session_reversal_pullback_all_symbols_first120,sweep_reclaim_failed,35,0,0.0,-739.01,0,-739.01,0.0,-33.2855,-0.9510142857142857,0.0,739.01,-1.0
session_reversal_pullback_all_symbols_first120,target_not_reached_before_session_end,135,134,0.9925925925925926,883.4900000000001,883.6100000000001,-0.12,7363.416666666668,42.5716,0.3153451851851852,inf,0.11999999999999922,7362.416666666716
session_reversal_pullback_one_symbol_first120,neckline_retest_failed,19,0,0.0,-350.23999999999995,0,-350.23999999999995,0.0,-15.061499999999999,-0.7927105263157894,0.0,350.23999999999995,-1.0
session_reversal_pullback_one_symbol_first120,no_followthrough_after_retest,207,1,0.004830917874396135,-3522.8500000000013,0.39,-3523.240000000001,0.00011069356614933978,-154.50580000000002,-0.7464048309178745,0.0,3522.8500000000013,-1.0
session_reversal_pullback_one_symbol_first120,other,72,72,1.0,2341.65,2341.65,0,inf,102.4682,1.4231694444444445,inf,0.0,inf
session_reversal_pullback_one_symbol_first120,sweep_reclaim_failed,9,0,0.0,-219.23,0,-219.23,0.0,-9.0923,-1.0102555555555555,0.0,219.23,-1.0
session_reversal_pullback_one_symbol_first120,target_not_reached_before_session_end,73,72,0.9863013698630136,507.26000000000005,507.38000000000005,-0.12,4228.166666666667,23.1377,0.3169547945205479,inf,0.12000000000000455,4227.166666666507
session_reversal_pullback_one_symbol_first60,neckline_retest_failed,19,0,0.0,-350.23999999999995,0,-350.23999999999995,0.0,-15.061499999999999,-0.7927105263157894,0.0,350.23999999999995,-1.0
session_reversal_pullback_one_symbol_first60,no_followthrough_after_retest,207,1,0.004830917874396135,-3522.8500000000013,0.39,-3523.240000000001,0.00011069356614933978,-154.50580000000002,-0.7464048309178745,0.0,3522.8500000000013,-1.0
session_reversal_pullback_one_symbol_first60,other,72,72,1.0,2341.65,2341.65,0,inf,102.4682,1.4231694444444445,inf,0.0,inf
session_reversal_pullback_one_symbol_first60,sweep_reclaim_failed,9,0,0.0,-219.23,0,-219.23,0.0,-9.0923,-1.0102555555555555,0.0,219.23,-1.0
session_reversal_pullback_one_symbol_first60,target_not_reached_before_session_end,73,72,0.9863013698630136,507.26000000000005,507.38000000000005,-0.12,4228.166666666667,23.1377,0.3169547945205479,inf,0.12000000000000455,4227.166666666507
session_reversal_pullback_clean_target_path_first120,no_followthrough_after_retest,5,0,0.0,-98.24999999999999,0,-98.24999999999999,0.0,-4.0966000000000005,-0.81932,0.0,98.24999999999999,-1.0
session_reversal_pullback_clean_target_path_first120,other,2,2,1.0,71.28,71.28,0,inf,3.0161,1.50805,inf,0.0,inf
session_reversal_pullback_clean_target_path_first120,target_not_reached_before_session_end,1,1,1.0,6.52,6.52,0,inf,0.271,0.271,inf,0.0,inf
session_reversal_pullback_clean_target_path_first60,no_followthrough_after_retest,5,0,0.0,-98.24999999999999,0,-98.24999999999999,0.0,-4.0966000000000005,-0.81932,0.0,98.24999999999999,-1.0
session_reversal_pullback_clean_target_path_first60,other,2,2,1.0,71.28,71.28,0,inf,3.0161,1.50805,inf,0.0,inf
session_reversal_pullback_clean_target_path_first60,target_not_reached_before_session_end,1,1,1.0,6.52,6.52,0,inf,0.271,0.271,inf,0.0,inf
tokyo_first120_reference,neckline_retest_failed,5,0,0.0,-122.58000000000001,0,-122.58000000000001,0.0,-5.066699999999999,-1.01334,0.0,122.58000000000001,-1.0
tokyo_first120_reference,no_followthrough_after_retest,50,0,0.0,-1006.4099999999999,0,-1006.4099999999999,0.0,-42.68940000000002,-0.8537880000000004,0.0,1006.4099999999999,-1.0
tokyo_first120_reference,other,20,20,1.0,674.1399999999998,674.1399999999998,0,inf,28.2727,1.413635,inf,0.0,inf
tokyo_first120_reference,target_not_reached_before_session_end,19,19,1.0,179.59,179.59,0,inf,7.568,0.3983157894736842,inf,0.0,inf
newyork_first120_reference,neckline_retest_failed,15,0,0.0,-206.54999999999995,0,-206.54999999999995,0.0,-8.731300000000001,-0.5820866666666668,0.0,206.54999999999995,-1.0
newyork_first120_reference,no_followthrough_after_retest,101,1,0.009900990099009901,-1445.5700000000004,0.42,-1445.9900000000005,0.00029045844023817583,-61.5946,-0.6098475247524753,0.0,1445.5700000000004,-1.0
newyork_first120_reference,other,29,29,1.0,915.9699999999998,915.9699999999998,0,inf,40.0131,1.3797620689655172,inf,0.0,inf
newyork_first120_reference,sweep_reclaim_failed,2,0,0.0,-50.55,0,-50.55,0.0,-1.9291,-0.96455,0.0,50.55,-1.0
newyork_first120_reference,target_not_reached_before_session_end,43,42,0.9767441860465116,268.79,268.91,-0.12,2240.916666666667,12.423099999999998,0.2889093023255814,inf,0.12000000000000455,2239.916666666582
overlap_first120_reference,neckline_retest_failed,4,0,0.0,-96.7,0,-96.7,0.0,-4.0366,-1.00915,0.0,96.7,-1.0
overlap_first120_reference,no_followthrough_after_retest,64,0,0.0,-1330.5,0,-1330.5,0.0,-57.183800000000005,-0.8934968750000001,0.0,1330.5,-1.0
overlap_first120_reference,other,30,30,1.0,1001.5799999999999,1001.5799999999999,0,inf,42.8515,1.4283833333333333,inf,0.0,inf
overlap_first120_reference,sweep_reclaim_failed,7,0,0.0,-173.85000000000002,0,-173.85000000000002,0.0,-7.163200000000001,-1.0233142857142858,0.0,173.85000000000002,-1.0
overlap_first120_reference,target_not_reached_before_session_end,16,16,1.0,114.96999999999998,114.96999999999998,0,inf,5.0069,0.31293125,inf,0.0,inf
target_multiple_1_2_reference,no_followthrough_after_retest,6,0,0.0,-123.17999999999999,0,-123.17999999999999,0.0,-5.0966000000000005,-0.8494333333333334,0.0,123.17999999999999,-1.0
target_multiple_1_2_reference,other,2,2,1.0,57.3,57.3,0,inf,2.423,1.2115,inf,0.0,inf
target_multiple_1_2_reference,target_not_reached_before_session_end,2,2,1.0,13.829999999999998,13.829999999999998,0,inf,0.6000000000000001,0.30000000000000004,inf,0.0,inf
target_multiple_2_0_reference,no_followthrough_after_retest,3,0,0.0,-48.85,0,-48.85,0.0,-2.0652,-0.6884,0.0,48.85,-1.0
target_multiple_2_0_reference,other,2,2,1.0,83.78999999999999,83.78999999999999,0,inf,3.404,1.702,inf,0.0,inf
