scenario,htf_level_state,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,recovery_factor
session_reversal_pullback_all_symbols_first120,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,99,46,0.46464646464646464,77.28000000000013,1180.1900000000003,-1102.9100000000003,1.0700691806221723,3.6222000000000003,0.036587878787878794,1.0754414392648721,319.08,0.24219631440391165
session_reversal_pullback_all_symbols_first120,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,64,18,0.28125,-458.6599999999999,426.28,-884.9400000000002,0.48170497434854326,-20.046799999999998,-0.31323124999999996,0.4777507131599171,584.05,-0.7853094769283451
session_reversal_pullback_one_symbol_first120,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,71,34,0.4788732394366197,201.17,913.57,-712.4,1.2823834924199888,8.9499,0.12605492957746478,1.29408730054415,194.15000000000003,1.036157610095287
session_reversal_pullback_one_symbol_first120,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,45,12,0.26666666666666666,-375.8,308.28,-684.08,0.45064904689509994,-15.909699999999997,-0.3535488888888888,0.4504117671442981,495.48,-0.7584564462743199
session_reversal_pullback_one_symbol_first60,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,56,26,0.4642857142857143,100.19999999999996,685.7,-585.5000000000001,1.1711357813834329,4.497899999999999,0.08031964285714284,1.1799656705250652,139.68,0.717353951890034
session_reversal_pullback_one_symbol_first60,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,37,9,0.24324324324324326,-329.88000000000005,239.28,-569.16,0.4204090238245836,-13.896699999999997,-0.3755864864864864,0.4189516904576736,412.75000000000006,-0.7992247122955785
session_reversal_pullback_clean_target_path_first120,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,17,8,0.47058823529411764,72.21999999999998,223.13,-150.91,1.4785633821483004,3.1105000000000005,0.18297058823529413,1.4914600812121788,93.03,0.7763087176179725
session_reversal_pullback_clean_target_path_first120,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,6,1,0.16666666666666666,-70.2,37.68,-107.88,0.3492769744160178,-3.0767,-0.5127833333333334,0.3310212867734992,70.2,-1.0
session_reversal_pullback_clean_target_path_first60,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,11,4,0.36363636363636365,-27.1,99.19999999999999,-126.3,0.7854315122723673,-1.1497,-0.10451818181818182,0.7857036346691519,57.019999999999996,-0.4752718344440548
session_reversal_pullback_clean_target_path_first60,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,6,1,0.16666666666666666,-69.47,37.68,-107.15,0.3516565562295847,-3.0767,-0.5127833333333334,0.3310212867734992,69.47,-1.0
