time,event,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,session_candidate_symbol_map,entry_pattern,entry_trigger,neckline_level,ltf_wave3_timeframe,htf_wave3_direction,htf_wave3_confirmed,htf_fractal_alignment,wave3_alignment_passed,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_price,nearest_obstacle_distance_r,retest_reference_type,retest_reference_price,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,obstacle_block_reason,obstacle_count_before_target,hard_obstacle_count_before_target,soft_obstacle_count_before_target,target_reward_multiple,target_price,entry_price,stop_loss_price,initial_risk_price_distance,take_profit,reward_r,atr,spread_points,score,result_r,failure_type,session_invalidated,invalidation_reason,reason
2025.01.15 20:00:00,signal,newyork_first120_reference,GBPJPY,SHORT,2025.01.15 19:45:00,19,16,1,new_york,2025.01.15 16:00,45,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,191.33600000,PERIOD_M15,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,191.23300000,191.14275000,191.14275000,recent_equal_lows,0.06625000,0.0973,neckline_level,191.33600000,false,true,true,false,not_blocked,6,3,3,1.50,190.18700000,191.20900000,191.89000000,0.68100000,190.18700000,1.501,0.22871429,38.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.15 20:00:00,order_sent,newyork_first120_reference,GBPJPY,SHORT,2025.01.15 19:45:00,19,16,1,new_york,2025.01.15 16:00,45,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,191.33600000,PERIOD_M15,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,191.23300000,191.14275000,191.14275000,recent_equal_lows,0.06625000,0.0973,neckline_level,191.33600000,false,true,true,false,not_blocked,6,3,3,1.50,190.18700000,191.20900000,191.89000000,0.68100000,190.18700000,1.501,0.22871429,38.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.16 19:15:00,signal,newyork_first120_reference,USDJPY,SHORT,2025.01.16 19:00:00,19,16,1,new_york,2025.01.16 16:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,155.54900000,PERIOD_M15,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,155.50600000,155.33200000,155.23350000,recent_equal_lows,0.10050000,0.1375,session_low|opening_range_low|neckline_level,155.33200000,false,true,true,false,not_blocked,5,1,4,1.50,154.23800000,155.33400000,156.06500000,0.73100000,154.23800000,1.499,0.24357143,19.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.16 19:15:00,order_sent,newyork_first120_reference,USDJPY,SHORT,2025.01.16 19:00:00,19,16,1,new_york,2025.01.16 16:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,head_and_shoulders,right_shoulder_entry,155.54900000,PERIOD_M15,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,155.50600000,155.33200000,155.23350000,recent_equal_lows,0.10050000,0.1375,session_low|opening_range_low|neckline_level,155.33200000,false,true,true,false,not_blocked,5,1,4,1.50,154.23800000,155.33400000,156.06500000,0.73100000,154.23800000,1.499,0.24357143,19.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.20 20:30:00,signal,newyork_first120_reference,GBPUSD,LONG,2025.01.20 20:15:00,20,17,2,new_york,2025.01.20 16:00,75,first_120min,false,true,3,GBPUSD,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,1.22868000,PERIOD_M5,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,1.22981000,1.22911600,1.22981000,failed_breakout_level,0.00061000,0.2251,neckline_level,1.22868000,false,true,true,false,not_blocked,7,5,2,1.50,1.23327000,1.22920000,1.22649000,0.00271000,1.23327000,1.502,0.00180071,20.00,4.500,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.20 20:30:00,blocked,newyork_first120_reference,GBPUSD,LONG,2025.01.20 20:15:00,20,17,2,new_york,2025.01.20 16:00,75,first_120min,false,true,3,GBPUSD,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,inverse_head_and_shoulders,right_shoulder_entry,1.22868000,PERIOD_M5,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,1.22981000,1.22911600,1.22981000,failed_breakout_level,0.00061000,0.2251,neckline_level,1.22868000,false,true,true,false,not_blocked,7,5,2,1.50,1.23327000,1.22920000,1.22649000,0.00271000,1.23327000,1.502,0.00180071,20.00,4.500,0.0000,opposite_break_first,true,opposite_break_first,session_invalidated
2025.01.22 19:15:00,signal,newyork_first120_reference,GBPJPY,LONG,2025.01.22 19:00:00,19,16,1,new_york,2025.01.22 16:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,choch_up,first_pullback_after_choch,192.81200000,PERIOD_M15,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,192.97100000,192.82200000,192.98200000,previous_week_high,0.02100000,0.0424,session_high|opening_range_high|neckline_level,192.97100000,false,true,true,false,not_blocked,4,2,2,1.50,193.70400000,192.96100000,192.46600000,0.49500000,193.70400000,1.501,0.16507143,38.00,3.300,0.0000,opposite_break_first,true,opposite_break_first,spread_too_high
2025.01.22 19:15:00,blocked,newyork_first120_reference,GBPJPY,LONG,2025.01.22 19:00:00,19,16,1,new_york,2025.01.22 16:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,choch_up,first_pullback_after_choch,192.81200000,PERIOD_M15,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,192.97100000,192.82200000,192.98200000,previous_week_high,0.02100000,0.0424,session_high|opening_range_high|neckline_level,192.97100000,false,true,true,false,not_blocked,4,2,2,1.50,193.70400000,192.96100000,192.46600000,0.49500000,193.70400000,1.501,0.16507143,38.00,3.300,0.0000,opposite_break_first,true,opposite_break_first,spread_too_high
2025.01.24 19:15:00,signal,newyork_first120_reference,GBPUSD,LONG,2025.01.24 19:00:00,19,16,1,new_york,2025.01.24 16:00,0,first_120min,true,true,3,GBPUSD,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_bottom,neckline_break_retest,1.24964000,PERIOD_M5,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,1.24989000,1.24964000,1.24989000,current_day_high,0.00006000,0.0566,session_high|opening_range_high|neckline_level,1.24989000,false,false,true,false,not_blocked,1,0,1,1.50,1.25143000,1.24983000,1.24877000,0.00106000,1.25143000,1.509,0.00130357,20.00,4.400,0.0000,neckline_retest_failed,false,not_invalidated,
2025.01.24 19:15:00,order_sent,newyork_first120_reference,GBPUSD,LONG,2025.01.24 19:00:00,19,16,1,new_york,2025.01.24 16:00,0,first_120min,true,true,3,GBPUSD,highest_score_in_session_bar,new_york=USDJPY|EURJPY|GBPJPY|AUDJPY|EURUSD|GBPUSD,double_bottom,neckline_break_retest,1.24964000,PERIOD_M5,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,1.24989000,1.24964000,1.24989000,current_day_high,0.00006000,0.0566,session_high|opening_range_high|neckline_level,1.24989000,false,false,true,false,not_blocked,1,0,1,1.50,1.25143000,1.24983000,1.24877000,0.00106000,1.25143000,1.509,0.00130357,20.00,4.400,0.0000,neckline_retest_failed,false,not_invalidated,
