time,event,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,entry_pattern,entry_trigger,neckline_level,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_price,nearest_obstacle_distance_r,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,obstacle_block_reason,obstacle_count_before_target,hard_obstacle_count_before_target,soft_obstacle_count_before_target,target_reward_multiple,target_price,entry_price,stop_loss_price,initial_risk_price_distance,take_profit,reward_r,atr,spread_points,score,result_r,failure_type,session_invalidated,invalidation_reason,reason
2025.01.02 03:15:00,signal,tokyo_first120_reference,USDJPY,LONG,2025.01.02 03:00:00,3,0,9,tokyo,2025.01.02 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,157.52500000,157.58700000,157.54333333,157.58700000,session_high,0.02400000,0.0688,false,true,true,false,not_blocked,7,5,2,1.50,158.08600000,157.56300000,157.21400000,0.34900000,158.08600000,1.499,0.12671429,16.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.02 03:15:00,order_sent,tokyo_first120_reference,USDJPY,LONG,2025.01.02 03:00:00,3,0,9,tokyo,2025.01.02 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,157.52500000,157.58700000,157.54333333,157.58700000,session_high,0.02400000,0.0688,false,true,true,false,not_blocked,7,5,2,1.50,158.08600000,157.56300000,157.21400000,0.34900000,158.08600000,1.499,0.12671429,16.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,
2025.01.03 03:15:00,signal,tokyo_first120_reference,EURJPY,SHORT,2025.01.03 03:00:00,3,0,9,tokyo,2025.01.03 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,161.55100000,161.48100000,161.45600000,161.45600000,pre_session_low,0.02300000,0.1429,false,true,true,false,not_blocked,4,3,1,1.50,161.23800000,161.47900000,161.64000000,0.16100000,161.23800000,1.497,0.09171429,30.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.03 03:15:00,blocked,tokyo_first120_reference,EURJPY,SHORT,2025.01.03 03:00:00,3,0,9,tokyo,2025.01.03 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,161.55100000,161.48100000,161.45600000,161.45600000,pre_session_low,0.02300000,0.1429,false,true,true,false,not_blocked,4,3,1,1.50,161.23800000,161.47900000,161.64000000,0.16100000,161.23800000,1.497,0.09171429,30.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.06 03:15:00,signal,tokyo_first120_reference,GBPUSD,LONG,2025.01.06 03:00:00,3,0,9,tokyo,2025.01.06 00:00,0,first_120min,true,true,3,GBPUSD,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,1.24309000,1.24500000,1.24331000,1.24500000,round_number,0.00160000,0.8939,false,false,true,false,not_blocked,1,0,1,1.50,1.24608000,1.24340000,1.24161000,0.00179000,1.24608000,1.497,0.00066500,20.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.06 03:15:00,blocked,tokyo_first120_reference,GBPUSD,LONG,2025.01.06 03:00:00,3,0,9,tokyo,2025.01.06 00:00,0,first_120min,true,true,3,GBPUSD,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,1.24309000,1.24500000,1.24331000,1.24500000,round_number,0.00160000,0.8939,false,false,true,false,not_blocked,1,0,1,1.50,1.24608000,1.24340000,1.24161000,0.00179000,1.24608000,1.497,0.00066500,20.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.07 03:15:00,signal,tokyo_first120_reference,EURUSD,SHORT,2025.01.07 03:00:00,3,0,9,tokyo,2025.01.07 00:00,0,first_120min,true,true,3,EURUSD,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,1.03818000,1.03792800,1.03767000,1.03767000,session_low,0.00020000,0.1709,false,true,true,false,not_blocked,4,3,1,1.50,1.03612000,1.03787000,1.03904000,0.00117000,1.03612000,1.496,0.00043214,18.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.07 03:15:00,blocked,tokyo_first120_reference,EURUSD,SHORT,2025.01.07 03:00:00,3,0,9,tokyo,2025.01.07 00:00,0,first_120min,true,true,3,EURUSD,highest_score_in_session_bar,head_and_shoulders,right_shoulder_entry,1.03818000,1.03792800,1.03767000,1.03767000,session_low,0.00020000,0.1709,false,true,true,false,not_blocked,4,3,1,1.50,1.03612000,1.03787000,1.03904000,0.00117000,1.03612000,1.496,0.00043214,18.00,4.700,0.0000,no_followthrough_after_retest,false,not_invalidated,spread_too_high
2025.01.08 03:15:00,signal,tokyo_first120_reference,EURJPY,LONG,2025.01.08 03:00:00,3,0,9,tokyo,2025.01.08 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,163.45200000,163.64200000,163.49775000,163.64200000,pre_session_high,0.11500000,0.5425,false,true,true,false,not_blocked,6,4,2,1.50,163.84600000,163.52700000,163.31500000,0.21200000,163.84600000,1.505,0.11878571,30.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,spread_too_high
2025.01.08 03:15:00,blocked,tokyo_first120_reference,EURJPY,LONG,2025.01.08 03:00:00,3,0,9,tokyo,2025.01.08 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,inverse_head_and_shoulders,right_shoulder_entry,163.45200000,163.64200000,163.49775000,163.64200000,pre_session_high,0.11500000,0.5425,false,true,true,false,not_blocked,6,4,2,1.50,163.84600000,163.52700000,163.31500000,0.21200000,163.84600000,1.505,0.11878571,30.00,4.700,0.0000,opposite_break_first,true,opposite_break_first,spread_too_high
