entry_time,exit_time,strategy,symbol,direction,server_time,server_hour,utc_hour,jst_hour,session_label,session_start_utc,minutes_from_session_start,trade_window_label,is_within_first_60min,is_within_first_120min,broker_utc_offset_used,selected_symbol_for_session,selected_reason,session_candidate_symbol_map,entry_pattern,entry_trigger,neckline_level,ltf_wave3_timeframe,htf_alignment_mode,htf_permission_mode,allowed_direction,h4_direction_state,h1_direction_state,rejected_by_htf_permission,candidate_long_detected,candidate_short_detected,selected_candidate_direction,selected_candidate_timeframe,m15_best_pattern,m15_best_score,m5_best_pattern,m5_best_score,htf_wave3_direction,htf_wave3_confirmed,htf_fractal_alignment,wave3_alignment_passed,htf_nearest_resistance,htf_nearest_support,nearest_obstacle_price,nearest_obstacle_type,nearest_obstacle_distance_r,retest_reference_type,retest_reference_price,retest_reference_distance_atr,clean_path_to_target,hard_obstacle_present_before_target,soft_obstacle_present_before_target,obstacle_blocked,target_reward_multiple,target_price,target_room_score,retest_score,time_bucket,time_score_removed_flag,candidate_orderable_before_session_selection,rejected_before_selection_reason,session_consumed_reason,final_score,entry,exit,stop_loss,take_profit,risk_price,result_r,initial_stop_loss_price,current_stop_loss_price,break_even_enabled,break_even_triggered,break_even_trigger_type,break_even_trigger_r,break_even_trigger_time,bars_to_break_even,max_favorable_r_before_exit,max_adverse_r_before_exit,exit_type,full_sl_exit,break_even_exit,tp_exit,time_exit,result_r_before_be,result_r_after_be,profit,commission,swap,net_profit,volume,reward_r,holding_bars,atr,spread_points,score,failure_type,session_invalidated,invalidation_reason,exit_reason,position_id,break_even_mode
2025.01.22 03:15:01,2025.01.22 09:15:00,tokyo_first120_reference,GBPJPY,LONG,2025.01.22 03:00:00,3,0,9,tokyo,2025.01.22 00:00,0,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_bottom,neckline_break_retest,191.84200000,PERIOD_M15,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_above_swing_high,confirmed_break_above_swing_high,false,true,false,LONG,PERIOD_M15,double_bottom,4.200,none,0.000,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,192.05312500,192.01700000,192.05312500,recent_equal_highs,0.0658,session_high|opening_range_high|neckline_level,192.01700000,0.0718,false,true,true,false,1.50,192.53500000,0.000,0.000,0-30,false,false,none,order_sent,4.400,192.03100000,191.94200000,191.69500000,192.53500000,0.33600000,-0.2649,191.69500000,191.69500000,true,false,none,0.0000,,-1,1.1220,0.5268,time,false,false,false,true,-0.2649,0.0000,-6.28,0.00,0.00,-6.28,0.110,1.500,24,0.19500000,38.00,4.400,neckline_retest_failed,false,not_invalidated,DEAL_REASON_EXPERT,2,break_even_at_1_1r
2025.02.03 04:15:00,2025.02.03 04:40:56,tokyo_first120_reference,USDJPY,LONG,2025.02.03 04:00:00,4,1,10,tokyo,2025.02.03 00:00,60,first_120min,false,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,inverse_head_and_shoulders,right_shoulder_entry,155.78800000,PERIOD_M5,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_above_swing_high,confirmed_break_above_swing_high,false,true,false,LONG,PERIOD_M5,none,0.000,inverse_head_and_shoulders,4.500,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,155.87500000,155.79500000,155.87500000,current_day_high,0.2196,session_high|opening_range_high|neckline_level,155.78800000,0.1821,false,false,true,false,1.50,156.14800000,0.000,0.000,60-90,false,false,none,order_sent,4.500,155.82800000,155.61200000,155.61400000,156.14800000,0.21400000,-1.0093,155.61400000,155.61400000,true,false,none,0.0000,,-1,0.1729,1.0093,full_sl,true,false,false,false,-1.0093,0.0000,-24.99,0.00,0.00,-24.99,0.180,1.495,1,0.21964286,19.00,4.500,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,4,break_even_at_1_1r
2025.02.05 05:00:00,2025.02.05 11:00:00,tokyo_first120_reference,USDJPY,SHORT,2025.02.05 04:45:00,4,1,10,tokyo,2025.02.05 00:00,105,first_120min,false,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,head_and_shoulders,right_shoulder_entry,153.45700000,PERIOD_M5,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,true,true,SHORT,PERIOD_M5,none,0.000,head_and_shoulders,4.500,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,153.45700000,153.16000000,153.16000000,current_day_low,0.7282,opening_range_low|neckline_level,153.45700000,0.3037,false,true,true,false,1.50,152.92200000,0.000,0.000,90-120,false,false,none,order_sent,4.500,153.38500000,153.06300000,153.69400000,152.92200000,0.30900000,1.0421,153.69400000,153.69400000,true,true,price_1_1r_close,1.2168,2025.02.05 10:30:00,23,1.2362,0.5631,time,false,false,false,true,1.2168,-0.1748,25.24,0.00,0.00,25.24,0.120,1.498,24,0.23707143,16.00,4.500,other,false,not_invalidated,DEAL_REASON_EXPERT,6,break_even_at_1_1r
2025.02.06 04:30:00,2025.02.06 09:02:13,tokyo_first120_reference,USDJPY,SHORT,2025.02.06 04:15:00,4,1,10,tokyo,2025.02.06 00:00,75,first_120min,false,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,head_and_shoulders,right_shoulder_entry,152.23900000,PERIOD_M15,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,false,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,none,0.000,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,152.23900000,152.10700000,152.10700000,previous_day_low,0.1344,neckline_level,152.23900000,0.3622,false,true,true,false,1.50,151.43700000,0.000,0.000,60-90,false,false,none,order_sent,4.500,152.17300000,152.66500000,152.66400000,151.43700000,0.49100000,-1.0020,152.66400000,152.66400000,true,false,none,0.0000,,-1,0.2587,1.0020,full_sl,true,false,false,false,-1.0020,0.0000,-22.56,0.00,0.00,-22.56,0.070,1.499,18,0.18221429,16.00,4.500,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,8,break_even_at_1_1r
2025.02.28 03:15:00,2025.02.28 09:09:19,tokyo_first120_reference,EURJPY,SHORT,2025.02.28 03:00:00,3,0,9,tokyo,2025.02.28 00:00,0,first_120min,true,true,3,EURJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,head_and_shoulders,right_shoulder_entry,155.45000000,PERIOD_M15,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,false,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,none,0.000,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,155.40600000,155.32900000,155.32900000,pre_session_low,0.0773,neckline_level,155.45000000,0.4063,false,true,true,false,1.50,154.52000000,0.000,0.000,0-30,false,false,none,order_sent,4.700,155.37300000,155.94700000,155.94200000,154.52000000,0.56900000,-1.0088,155.94200000,155.94200000,true,false,none,0.0000,,-1,1.0387,1.0088,full_sl,true,false,false,false,-1.0088,0.0000,-22.56,0.00,0.00,-22.56,0.060,1.499,23,0.18950000,31.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,10,break_even_at_1_1r
2025.03.11 04:00:00,2025.03.11 05:11:14,tokyo_first120_reference,GBPJPY,SHORT,2025.03.11 03:45:00,3,0,9,tokyo,2025.03.11 00:00,45,first_120min,true,true,3,GBPJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,head_and_shoulders,right_shoulder_entry,189.16800000,PERIOD_M15,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,true,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,none,0.000,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,189.16800000,189.03000000,189.03000000,wick_cluster_zone,0.0787,neckline_level,189.16800000,0.4555,false,true,true,false,1.50,188.18200000,0.000,0.000,30-60,false,false,none,order_sent,4.700,189.07700000,189.67500000,189.67400000,188.18200000,0.59700000,-1.0017,189.67400000,189.67400000,true,false,none,0.0000,,-1,0.4975,1.0017,full_sl,true,false,false,false,-1.0017,0.0000,-23.50,0.00,0.00,-23.50,0.060,1.499,4,0.19978571,38.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,12,break_even_at_1_1r
2025.03.25 03:15:00,2025.03.25 04:47:02,tokyo_first120_reference,USDJPY,LONG,2025.03.25 03:00:00,3,0,9,tokyo,2025.03.25 00:00,0,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,inverse_head_and_shoulders,right_shoulder_entry,150.75700000,PERIOD_M15,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_above_swing_high,confirmed_break_above_swing_high,false,true,false,LONG,PERIOD_M15,inverse_head_and_shoulders,4.500,none,0.000,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,150.90000000,150.85600000,150.90000000,current_day_high,0.0558,session_high|opening_range_high|neckline_level,150.90000000,0.1672,false,false,true,false,1.50,151.26300000,0.000,0.000,0-30,false,false,none,order_sent,4.700,150.88600000,150.63500000,150.63500000,151.26300000,0.25100000,-1.0000,150.63500000,150.63500000,true,false,none,0.0000,,-1,0.1952,1.0000,full_sl,true,false,false,false,-1.0000,0.0000,-24.99,0.00,0.00,-24.99,0.150,1.502,6,0.08371429,16.00,4.700,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,14,break_even_at_1_1r
2025.04.21 04:00:00,2025.04.21 05:21:57,tokyo_first120_reference,USDJPY,SHORT,2025.04.21 03:45:00,3,0,9,tokyo,2025.04.21 00:00,45,first_120min,true,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,double_top,neckline_break_retest,141.21600000,PERIOD_M5,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,false,true,SHORT,PERIOD_M5,none,0.000,double_top,4.200,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,141.21600000,141.13000000,141.13000000,current_day_low,0.1828,session_low|opening_range_low|neckline_level,141.21600000,0.2101,false,false,true,false,1.50,140.77700000,0.000,0.000,30-60,false,false,none,order_sent,4.400,141.17900000,140.77100000,141.44700000,140.77700000,0.26800000,1.5224,141.44700000,141.44700000,true,false,none,0.0000,,-1,1.5224,0.6903,tp,false,false,true,false,1.5224,0.0000,37.68,0.00,0.00,37.68,0.130,1.500,5,0.17607143,20.00,4.400,other,false,not_invalidated,DEAL_REASON_TP,16,break_even_at_1_1r
2025.05.02 04:15:00,2025.05.02 05:00:51,tokyo_first120_reference,USDJPY,LONG,2025.05.02 04:00:00,4,1,10,tokyo,2025.05.02 00:00,60,first_120min,false,true,3,USDJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,inverse_head_and_shoulders,right_shoulder_entry,145.60200000,PERIOD_M15,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_above_swing_high,confirmed_break_above_swing_high,false,true,false,LONG,PERIOD_M15,inverse_head_and_shoulders,4.500,none,0.000,LONG,true,H4_LONG_confirmed_break_above_swing_high|H1_LONG_confirmed_break_above_swing_high,true,145.64500000,145.60200000,145.64500000,failed_breakout_level,0.1022,neckline_level,145.60200000,0.1309,false,true,true,false,1.50,145.95900000,0.000,0.000,60-90,false,false,none,order_sent,4.500,145.62200000,145.39400000,145.39700000,145.95900000,0.22500000,-1.0133,145.39700000,145.39700000,true,false,none,0.0000,,-1,1.0800,1.0133,full_sl,true,false,false,false,-1.0133,0.0000,-23.52,0.00,0.00,-23.52,0.150,1.498,3,0.15278571,21.00,4.500,no_followthrough_after_retest,false,not_invalidated,DEAL_REASON_SL,18,break_even_at_1_1r
2025.05.22 05:00:00,2025.05.22 11:00:00,tokyo_first120_reference,GBPJPY,SHORT,2025.05.22 04:45:00,4,1,10,tokyo,2025.05.22 00:00,105,first_120min,false,true,3,GBPJPY,highest_score_in_session_bar,tokyo=USDJPY|EURJPY|GBPJPY|AUDJPY,head_and_shoulders,right_shoulder_entry,192.49100000,PERIOD_M15,strict_h4_h1_alignment,current_post_filter,post_filter,confirmed_break_below_swing_low,confirmed_break_below_swing_low,false,false,true,SHORT,PERIOD_M15,head_and_shoulders,4.500,none,0.000,SHORT,true,H4_SHORT_confirmed_break_below_swing_low|H1_SHORT_confirmed_break_below_swing_low,true,192.47100000,192.42800000,192.42800000,failed_breakout_level,0.0498,neckline_level,192.49100000,0.1594,false,true,true,false,1.50,191.55500000,0.000,0.000,90-120,false,false,none,order_sent,4.500,192.45800000,192.17800000,193.06000000,191.55500000,0.60200000,0.4651,193.06000000,193.06000000,true,false,none,0.0000,,-1,0.7442,0.1645,time,false,false,false,true,0.4651,0.0000,9.63,0.00,0.00,9.63,0.050,1.500,24,0.20707143,38.00,4.500,target_not_reached_before_session_end,false,not_invalidated,DEAL_REASON_EXPERT,20,break_even_at_1_1r
