"group_name","group_value","trades","net","pf","avg_R","win_rate","full_sl","tp","break_even","time_exit"
"c1_full_hard_wave3:failure_type","sweep_reclaim_failed","2","-48.99","0","-1.003","0","2","0","0","0"
"c1_full_hard_wave3:failure_type","target_not_reached_before_session_end","38","282.07","999","0.3166","1","0","0","0","38"
"c1_full_hard_wave3:failure_type","neckline_retest_failed","37","-822.64","0","-0.9246","0","32","0","0","5"
"c1_full_hard_wave3:failure_type","no_followthrough_after_retest","46","-844.73","0","-0.7763","0","29","0","0","17"
"c1_full_hard_wave3:failure_type","other","38","1190.86","999","1.3151","1","0","24","0","14"
"c1_full_hard_wave3:failure_type","choch_failed","2","-29.45","0","-0.6327","0","0","0","0","2"
"c2_q1_soft_bias:failure_type","sweep_reclaim_failed","4","-98.21","0","-1.0089","0","4","0","0","0"
"c2_q1_soft_bias:failure_type","neckline_retest_failed","53","-1036.76","0","-0.8078","0","37","0","0","16"
"c2_q1_soft_bias:failure_type","target_not_reached_before_session_end","14","99.62","999","0.2978","1","0","0","0","14"
"c2_q1_soft_bias:failure_type","other","29","967.99","999","1.3719","1","0","21","0","8"
"c2_q1_soft_bias:failure_type","choch_failed","1","-7.3","0","-0.3303","0","0","0","0","1"
"c3_q1_retest_reclaim:failure_type","sweep_reclaim_failed","4","-98.21","0","-1.0089","0","4","0","0","0"
"c3_q1_retest_reclaim:failure_type","neckline_retest_failed","51","-989.18","0","-0.8013","0","35","0","0","16"
"c3_q1_retest_reclaim:failure_type","target_not_reached_before_session_end","14","99.62","999","0.2978","1","0","0","0","14"
"c3_q1_retest_reclaim:failure_type","other","29","969.48","999","1.3725","1","0","21","0","8"
"c3_q1_retest_reclaim:failure_type","choch_failed","1","-7.3","0","-0.3303","0","0","0","0","1"
"c4_q1_be_1_1r:failure_type","sweep_reclaim_failed","4","-97.39","0","-1.0089","0","4","0","0","0"
"c4_q1_be_1_1r:failure_type","neckline_retest_failed","53","-982.94","0","-0.7685","0","35","0","4","14"
"c4_q1_be_1_1r:failure_type","target_not_reached_before_session_end","14","99.62","999","0.2978","1","0","0","0","14"
"c4_q1_be_1_1r:failure_type","other","27","894.13","999","1.3595","1","0","19","0","8"
"c4_q1_be_1_1r:failure_type","choch_failed","1","-7.3","0","-0.3303","0","0","0","0","1"
"c5_q1_break_then_retest:failure_type","sweep_reclaim_failed","4","-97.39","0","-1.0089","0","4","0","0","0"
"c5_q1_break_then_retest:failure_type","neckline_retest_failed","49","-935.27","0","-0.7871","0","34","0","0","15"
"c5_q1_break_then_retest:failure_type","other","26","853.86","999","1.349","1","0","18","0","8"
"c5_q1_break_then_retest:failure_type","target_not_reached_before_session_end","17","148.38","999","0.3689","1","0","0","0","17"
"c5_q1_break_then_retest:failure_type","choch_failed","1","-7.3","0","-0.3303","0","0","0","0","1"
"c5_q1_break_then_retest:failure_type","bos_pullback_failed","1","-23.49","0","-1","0","1","0","0","0"
"c6_full_cycle5_final:failure_type","sweep_reclaim_failed","15","-358.24","0","-1.0135","0","15","0","0","0"
"c6_full_cycle5_final:failure_type","neckline_retest_failed","147","-2887.89","0","-0.8323","0","111","0","0","36"
"c6_full_cycle5_final:failure_type","other","69","2225.96","999","1.3631","1","0","51","0","18"
"c6_full_cycle5_final:failure_type","target_not_reached_before_session_end","51","371.28","999","0.3129","1","0","0","0","51"
"c6_full_cycle5_final:failure_type","choch_failed","2","-27.75","0","-0.6327","0","0","0","0","2"
"c6_full_cycle5_final:failure_type","bos_pullback_failed","1","-23.49","0","-1","0","1","0","0","0"
