run_id,period_id,from_date,to_date,preset,tester_ini,log_folder,note,InpTranscriptContextMode,InpTranscriptRequireStructureBreak,InpTranscriptRequireSmaReclaim,InpTranscriptRequirePriorImpulse,InpTranscriptUsePrimaryFailureExit,InpRetestToleranceATR,InpBreakBufferATR,InpTargetRewardMultiple,InpMaxHoldBars
c1_jan_counter_m15break_sma,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c1_jan_counter_m15break_sma.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c1_jan_counter_m15break_sma.ini,fx_session_reversal_transcript_c1_jan_counter_m15break_sma,"H1 counter-adjustment, M15 confirmed swing break, M5 first pullback, 75SMA hard context.",1,true,true,false,false,0.28,0.08,1.40,30
c2_jan_counter_m15break_no_sma_gate,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c2_jan_counter_m15break_no_sma_gate.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c2_jan_counter_m15break_no_sma_gate.ini,fx_session_reversal_transcript_c2_jan_counter_m15break_no_sma_gate,"Same as c1, but 75SMA is diagnostic only to check whether it throttles good entries.",1,true,false,false,false,0.28,0.08,1.40,30
c3_jan_notopposite_m15break_sma,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c3_jan_notopposite_m15break_sma.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c3_jan_notopposite_m15break_sma.ini,fx_session_reversal_transcript_c3_jan_notopposite_m15break_sma,Allow H1 continuation/range as long as H1 is not clearly opposite entry direction.,2,true,true,false,false,0.28,0.08,1.40,30
c4_jan_counter_sma_m5_failure_exit,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c4_jan_counter_sma_m5_failure_exit.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c4_jan_counter_sma_m5_failure_exit.ini,fx_session_reversal_transcript_c4_jan_counter_sma_m5_failure_exit,"c1 plus M5 structure/neckline/MA failure exit, matching 'exit when the lower wave breaks'.",1,true,true,false,true,0.28,0.08,1.40,30
c5_jan_counter_sma_failure_exit_relaxed_retest,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c5_jan_counter_sma_failure_exit_relaxed_retest.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c5_jan_counter_sma_failure_exit_relaxed_retest.ini,fx_session_reversal_transcript_c5_jan_counter_sma_failure_exit_relaxed_retest,c4 with wider retest tolerance and slightly smaller target to test acceptance without fine fitting.,1,true,true,false,true,0.35,0.05,1.30,30
c6_jan_counter_m15break_diagnostic_sma,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c6_jan_counter_m15break_diagnostic_sma.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c6_jan_counter_m15break_diagnostic_sma.ini,fx_session_reversal_transcript_c6_jan_counter_m15break_diagnostic_sma,M15 break is diagnostic only; keeps H1 counter-adjustment and 75SMA context.,1,false,true,false,false,0.28,0.08,1.40,30
c7_jan_counter_m15break_diagnostic_no_sma_gate,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c7_jan_counter_m15break_diagnostic_no_sma_gate.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c7_jan_counter_m15break_diagnostic_no_sma_gate.ini,fx_session_reversal_transcript_c7_jan_counter_m15break_diagnostic_no_sma_gate,M15 break and 75SMA are diagnostic only; checks whether H1 counter context alone restores trade count.,1,false,false,false,false,0.28,0.08,1.40,30
c8_jan_notopposite_m15break_diagnostic_sma,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c8_jan_notopposite_m15break_diagnostic_sma.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c8_jan_notopposite_m15break_diagnostic_sma.ini,fx_session_reversal_transcript_c8_jan_notopposite_m15break_diagnostic_sma,"H1 not-opposite context, M15 break diagnostic only, 75SMA hard context.",2,false,true,false,false,0.28,0.08,1.40,30
c9_jan_counter_diag_sma_m5_failure_exit,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c9_jan_counter_diag_sma_m5_failure_exit.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c9_jan_counter_diag_sma_m5_failure_exit.ini,fx_session_reversal_transcript_c9_jan_counter_diag_sma_m5_failure_exit,c6 plus lower-timeframe failure exit.,1,false,true,false,true,0.28,0.08,1.40,30
c10_jan_counter_diag_sma_failure_exit_relaxed_retest,jan_search,2025.01.01,2025.01.31,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c10_jan_counter_diag_sma_failure_exit_relaxed_retest.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_c10_jan_counter_diag_sma_failure_exit_relaxed_retest.ini,fx_session_reversal_transcript_c10_jan_counter_diag_sma_failure_exit_relaxed_retest,c9 with wider retest tolerance and 1.3R target.,1,false,true,false,true,0.35,0.05,1.30,30
