run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpExitMode,InpMaxHoldBars
q1_base,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,base,baseline_c10,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_base.ini,fx_session_reversal_m15wave2_q1_base,16385,15,5,0,false,0,0,0,0,1,30
q1_light,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light,m15_wave2_required_light_baseline,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_light.ini,fx_session_reversal_m15wave2_q1_light,16385,15,5,0,true,2,3,0,0,1,30
q1_expanded,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,expanded,m15_wave2_required_expanded,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_expanded.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_expanded.ini,fx_session_reversal_m15wave2_q1_expanded,16385,15,5,0,true,1,0,2,2,1,30
q1_wave1or2,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,wave1or2,m15_wave2_wave1_or_wave2_context,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_wave1or2.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_wave1or2.ini,fx_session_reversal_m15wave2_q1_wave1or2,16385,15,5,0,true,1,0,3,2,1,30
q1_notopp,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,notopp,m15_structure_not_opposite_plus_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_notopp.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_notopp.ini,fx_session_reversal_m15wave2_q1_notopp,16385,15,5,0,true,1,0,4,2,1,30
q1_fibstruct,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,fibstruct,m15_fib_or_structure_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_fibstruct.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_fibstruct.ini,fx_session_reversal_m15wave2_q1_fibstruct,16385,15,5,0,true,1,0,5,2,1,30
q1_lowqual,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,lowqual,m15_wave2_required_only_for_low_quality_m5,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_lowqual.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_lowqual.ini,fx_session_reversal_m15wave2_q1_lowqual,16385,15,5,0,true,1,0,3,3,1,30
q1_medlowqual,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,medlowqual,m15_wave2_required_for_medium_low_quality_m5,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_medlowqual.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_medlowqual.ini,fx_session_reversal_m15wave2_q1_medlowqual,16385,15,5,0,true,1,0,3,6,1,30
q1_onesym_expanded,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,onesym_expanded,one_symbol_m15_wave2_expanded,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_onesym_expanded.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_onesym_expanded.ini,fx_session_reversal_m15wave2_q1_onesym_expanded,16385,15,5,0,true,1,0,2,2,1,30
q1_onesym_quality,q1_quick,one,1,session_reversal_pullback_one_symbol_first120,2025.01.01,2025.03.31,onesym_quality,one_symbol_m15_wave2_quality_gate,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_onesym_quality.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_onesym_quality.ini,fx_session_reversal_m15wave2_q1_onesym_quality,16385,15,5,0,true,1,0,3,3,1,30
q1_nosess_expdiag,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,nosess_expdiag,no_session_gate_m15_wave2_expanded_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess_expdiag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_nosess_expdiag.ini,fx_session_reversal_m15wave2_q1_nosess_expdiag,16385,15,5,1,true,1,0,6,5,1,30
q1_expanded_fixed_exit,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,expanded_fixed_exit,m15_wave2_expanded_fixed_tp_sl_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_expanded_fixed_exit.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_expanded_fixed_exit.ini,fx_session_reversal_m15wave2_q1_expanded_fixed_exit,16385,15,5,0,true,1,0,2,2,0,30
q1_expanded_short_hold,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,expanded_short_hold,m15_wave2_expanded_shorter_hold_diagnostic,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_expanded_short_hold.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_q1_expanded_short_hold.ini,fx_session_reversal_m15wave2_q1_expanded_short_hold,16385,15,5,0,true,1,0,2,2,3,18
full2025_base,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,base,baseline_c10,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_base.ini,fx_session_reversal_m15wave2_full2025_base,16385,15,5,0,false,0,0,0,0,1,30
full2025_light,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,light,m15_wave2_required_light_baseline,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_light.ini,fx_session_reversal_m15wave2_full2025_light,16385,15,5,0,true,2,3,0,0,1,30
full2025_expanded,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,expanded,m15_wave2_required_expanded,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_expanded.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_expanded.ini,fx_session_reversal_m15wave2_full2025_expanded,16385,15,5,0,true,1,0,2,2,1,30
full2025_wave1or2,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,wave1or2,m15_wave2_wave1_or_wave2_context,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_wave1or2.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_wave1or2.ini,fx_session_reversal_m15wave2_full2025_wave1or2,16385,15,5,0,true,1,0,3,2,1,30
full2025_notopp,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,notopp,m15_structure_not_opposite_plus_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_notopp.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_notopp.ini,fx_session_reversal_m15wave2_full2025_notopp,16385,15,5,0,true,1,0,4,2,1,30
full2025_fibstruct,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,fibstruct,m15_fib_or_structure_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_fibstruct.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_fibstruct.ini,fx_session_reversal_m15wave2_full2025_fibstruct,16385,15,5,0,true,1,0,5,2,1,30
full2025_lowqual,full2025_validation,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.12.31,lowqual,m15_wave2_required_only_for_low_quality_m5,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_lowqual.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_full2025_lowqual.ini,fx_session_reversal_m15wave2_full2025_lowqual,16385,15,5,0,true,1,0,3,3,1,30
