feature,near_miss_group,m5_invalidation_quality_bucket,trades,wins,win_rate,net_profit,gross_profit,gross_loss,profit_factor,sum_r,avg_r,r_profit_factor,max_dd_profit,max_dd_pct,recovery_factor,full_sl_exits,full_sl_rate,tp_exits,tp_exit_rate,time_exits,time_exit_rate,avg_mfe_r,avg_mae_r,reached_0_5r_rate,reached_0_8r_rate,reached_1_0r_rate,reached_1_3r_rate,reached_1_5r_rate,post_break_hold_bucket,retest_quality_bucket,m5_corrective_exhaustion_bucket,m15_wave2_completion_quality_bucket,m15_wave2_depth_bucket,target_room_bucket,sma75_granville_quality_bucket,entry_pattern,symbol,direction,session_label
m5_invalidation_quality_bucket,A_required_light_pass,none,11,5,0.45454545454545453,72.67,133.69,-61.02,2.19092100950508,3.2182000000000004,0.2925636363636364,2.213636535052985,47.03,0.4703,1.5451839251541568,0,0.0,4,0.36363636363636365,7,0.6363636363636364,0.8005363636363636,0.4864636363636363,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,A_required_light_pass,normal,1,1,1.0,29.17,29.17,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,A_required_light_pass,strong,2,2,1.0,37.74,37.74,0,inf,1.7651999999999999,0.8825999999999999,inf,0.0,0.0,inf,0,0.0,1,0.5,1,0.5,0.9671,0.43845,1.0,0.5,0.5,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,A_required_light_pass,very_strong,2,0,0.0,-27.83,0,-27.83,0.0,-1.3059,-0.65295,0.0,27.83,0.2783,-1.0,1,0.5,0,0.0,1,0.5,0.11565,0.65295,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,C_reject_loser_or_no_mfe1,none,101,4,0.039603960396039604,-1178.7200000000003,25.65,-1204.3700000000001,0.021297441816053204,-51.8862,-0.5137247524752475,0.021281010442445823,1185.5300000000002,11.855300000000002,-0.9942557337224701,16,0.15841584158415842,0,0.0,85,0.8415841584158416,0.45673861386138614,0.6282336633663366,0.42574257425742573,0.16831683168316833,0.06930693069306931,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,C_reject_loser_or_no_mfe1,normal,7,1,0.14285714285714285,-65.14,3.7,-68.84,0.05374782103428239,-2.8117,-0.40167142857142857,0.05298080161670595,65.14,0.6514,-1.0,1,0.14285714285714285,0,0.0,6,0.8571428571428571,0.5242285714285714,0.6214142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,C_reject_loser_or_no_mfe1,strong,10,1,0.1,-74.7,17.56,-92.26,0.1903316713635378,-3.2868,-0.32867999999999997,0.1900842738159775,74.7,0.747,-1.0,0,0.0,0,0.0,10,1.0,0.3839100000000001,0.53559,0.3,0.3,0.1,0.0,0.0,,,,,,,,,,,
m5_invalidation_quality_bucket,C_reject_loser_or_no_mfe1,very_strong,29,1,0.034482758620689655,-260.2,0.92,-261.12,0.0035232843137254903,-11.673399999999997,-0.4025310344827585,0.003440415923235187,260.2,2.602,-1.0,0,0.0,0,0.0,29,1.0,0.48896206896551725,0.4731344827586206,0.4482758620689655,0.1724137931034483,0.13793103448275862,0.0,0.0,,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,1,1,1.0,29.17,29.17,0,inf,1.3035,1.3035,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3035,0.4903,1.0,1.0,1.0,1.0,0.0,failed_1bar,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,1,1,1.0,28.77,28.77,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.4755,1.0,1.0,1.0,0.0,0.0,failed_2bars,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,2,1,0.5,2.4700000000000006,8.97,-6.5,1.3800000000000001,0.1603,0.08015,1.5240274599542334,6.5,0.065,0.3800000000000001,0,0.0,0,0.0,2,1.0,0.3784,0.35365,0.5,0.0,0.0,0.0,0.0,held_clean,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,1,0,0.0,-21.33,0,-21.33,0.0,-1.0,-1.0,0.0,21.33,0.2133,-1.0,1,1.0,0,0.0,0,0.0,0.1097,1.0,0.0,0.0,0.0,0.0,0.0,no_following_closed_bar,,,,,,,,,,
post_break_hold_bucket,A_required_light_pass,,11,5,0.45454545454545453,72.67,133.69,-61.02,2.19092100950508,3.2182000000000004,0.2925636363636364,2.213636535052985,47.03,0.4703,1.5451839251541568,0,0.0,4,0.36363636363636365,7,0.6363636363636364,0.8005363636363636,0.4864636363636363,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,none,,,,,,,,,,
post_break_hold_bucket,C_reject_loser_or_no_mfe1,,8,0,0.0,-84.13000000000001,0,-84.13000000000001,0.0,-3.6883,-0.4610375,0.0,84.13000000000001,0.8413,-1.0,0,0.0,0,0.0,8,1.0,0.71875,0.562925,0.75,0.375,0.375,0.0,0.0,failed_1bar,,,,,,,,,,
post_break_hold_bucket,C_reject_loser_or_no_mfe1,,6,0,0.0,-60.86000000000001,0,-60.86000000000001,0.0,-2.6732,-0.44553333333333334,0.0,60.86000000000001,0.6086,-1.0,1,0.16666666666666666,0,0.0,5,0.8333333333333334,0.5154,0.5604833333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.0,failed_2bars,,,,,,,,,,
post_break_hold_bucket,C_reject_loser_or_no_mfe1,,26,2,0.07692307692307693,-186.51000000000002,21.259999999999998,-207.77,0.10232468595081098,-8.413300000000001,-0.3235884615384616,0.09941126097195464,186.51000000000002,1.8651,-1.0,0,0.0,0,0.0,26,1.0,0.4452307692307693,0.46054999999999985,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.0,held_clean,,,,,,,,,,
post_break_hold_bucket,C_reject_loser_or_no_mfe1,,6,1,0.16666666666666666,-68.54,0.92,-69.46,0.013245033112582783,-2.9971,-0.49951666666666666,0.013267926516099296,69.46000000000001,0.6946000000000001,-0.9867549668874172,0,0.0,0,0.0,6,1.0,0.2117,0.5976833333333332,0.16666666666666666,0.0,0.0,0.0,0.0,no_following_closed_bar,,,,,,,,,,
post_break_hold_bucket,C_reject_loser_or_no_mfe1,,101,4,0.039603960396039604,-1178.7200000000003,25.65,-1204.3700000000001,0.021297441816053204,-51.8862,-0.5137247524752475,0.021281010442445823,1185.5300000000002,11.855300000000002,-0.9942557337224701,16,0.15841584158415842,0,0.0,85,0.8415841584158416,0.45673861386138614,0.6282336633663366,0.42574257425742573,0.16831683168316833,0.06930693069306931,0.0,0.0,none,,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,2,1,0.5,22.67,29.17,-6.5,4.487692307692308,0.9976,0.4988,4.261196469434456,6.5,0.065,3.487692307692308,0,0.0,1,0.5,1,0.5,0.71255,0.3981,0.5,0.5,0.5,0.5,0.0,,clean_retest,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,1,0,0.0,-21.33,0,-21.33,0.0,-1.0,-1.0,0.0,21.33,0.2133,-1.0,1,1.0,0,0.0,0,0.0,0.1097,1.0,0.0,0.0,0.0,0.0,0.0,,no_retest,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,11,5,0.45454545454545453,72.67,133.69,-61.02,2.19092100950508,3.2182000000000004,0.2925636363636364,2.213636535052985,47.03,0.4703,1.5451839251541568,0,0.0,4,0.36363636363636365,7,0.6363636363636364,0.8005363636363636,0.4864636363636363,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.36363636363636365,0.0,,none,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,1,1,1.0,8.97,8.97,0,inf,0.4662,0.4662,inf,0.0,0.0,inf,0,0.0,0,0.0,1,1.0,0.6352,0.4014,1.0,0.0,0.0,0.0,0.0,,strong_retest,,,,,,,,,
retest_quality_bucket,A_required_light_pass,,1,1,1.0,28.77,28.77,0,inf,1.299,1.299,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.299,0.4755,1.0,1.0,1.0,0.0,0.0,,weak_retest,,,,,,,,,
retest_quality_bucket,C_reject_loser_or_no_mfe1,,23,2,0.08695652173913043,-176.58,21.259999999999998,-197.84,0.10746057420137484,-7.849500000000001,-0.3412826086956522,0.10579617689275707,180.28,1.8028,-0.9794763700909697,1,0.043478260869565216,0,0.0,22,0.9565217391304348,0.5287217391304349,0.5264347826086955,0.4782608695652174,0.2608695652173913,0.13043478260869565,0.0,0.0,,clean_retest,,,,,,,,,
retest_quality_bucket,C_reject_loser_or_no_mfe1,,11,1,0.09090909090909091,-96.82,0.92,-97.74,0.009412727644771844,-4.2520999999999995,-0.38655454545454543,0.009388686981641973,96.82,0.9682,-1.0,0,0.0,0,0.0,11,1.0,0.3143,0.4658090909090909,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,,no_retest,,,,,,,,,
retest_quality_bucket,C_reject_loser_or_no_mfe1,,101,4,0.039603960396039604,-1178.7200000000003,25.65,-1204.3700000000001,0.021297441816053204,-51.8862,-0.5137247524752475,0.021281010442445823,1185.5300000000002,11.855300000000002,-0.9942557337224701,16,0.15841584158415842,0,0.0,85,0.8415841584158416,0.45673861386138614,0.6282336633663366,0.42574257425742573,0.16831683168316833,0.06930693069306931,0.0,0.0,,none,,,,,,,,,
retest_quality_bucket,C_reject_loser_or_no_mfe1,,5,0,0.0,-43.31999999999999,0,-43.31999999999999,0.0,-2.0195,-0.4039,0.0,43.31999999999999,0.4331999999999999,-1.0,0,0.0,0,0.0,5,1.0,0.2679,0.41558,0.2,0.0,0.0,0.0,0.0,,strong_retest,,,,,,,,,
retest_quality_bucket,C_reject_loser_or_no_mfe1,,7,0,0.0,-83.32000000000001,0,-83.32000000000001,0.0,-3.6508000000000003,-0.5215428571428572,0.0,83.32000000000001,0.8332,-1.0,0,0.0,0,0.0,7,1.0,0.6758857142857142,0.5881285714285714,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.0,0.0,,weak_retest,,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,2,0,0.0,-34.55,0,-34.55,0.0,-1.5960999999999999,-0.7980499999999999,0.0,34.55,0.3455,-1.0,1,0.5,0,0.0,1,0.5,0.23095000000000002,0.9384,0.0,0.0,0.0,0.0,0.0,,,mild_exhaustion,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,8,3,0.375,3.59,51.230000000000004,-47.64,1.075356842989085,0.3241999999999998,0.04052499999999998,1.1567319313512205,38.67,0.38670000000000004,0.09283682441168864,0,0.0,1,0.125,7,0.875,0.648925,0.440225,0.625,0.375,0.25,0.125,0.0,,,no_shrink,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,1,1,1.0,27.95,27.95,0,inf,1.3057,1.3057,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3599,0.0064,1.0,1.0,1.0,1.0,0.0,,,none,,,,,,,,
m5_corrective_exhaustion_bucket,A_required_light_pass,,5,4,0.8,114.76,121.42,-6.66,18.23123123123123,4.9472000000000005,0.9894400000000001,17.884641638225258,6.659999999999997,0.06659999999999996,17.23123123123124,0,0.0,4,0.8,1,0.2,1.05234,0.52384,0.8,0.8,0.8,0.6,0.0,,,strong_exhaustion,,,,,,,,
m5_corrective_exhaustion_bucket,C_reject_loser_or_no_mfe1,,14,2,0.14285714285714285,-112.91999999999999,24.369999999999997,-137.28999999999996,0.17750746594799333,-5.0862,-0.3633,0.17608371671094408,119.72999999999999,1.1973,-0.9431220245552493,1,0.07142857142857142,0,0.0,13,0.9285714285714286,0.48402142857142866,0.5358428571428572,0.5,0.14285714285714285,0.0,0.0,0.0,,,mild_exhaustion,,,,,,,,
m5_corrective_exhaustion_bucket,C_reject_loser_or_no_mfe1,,45,2,0.044444444444444446,-460.42000000000013,15.57,-475.9900000000002,0.032710771234689795,-20.339699999999997,-0.45199333333333325,0.03167802105203022,460.42000000000013,4.604200000000001,-1.0,3,0.06666666666666667,0,0.0,42,0.9333333333333333,0.4790377777777777,0.5721155555555556,0.4,0.2,0.13333333333333333,0.0,0.0,,,no_shrink,,,,,,,,
m5_corrective_exhaustion_bucket,C_reject_loser_or_no_mfe1,,27,1,0.037037037037037035,-325.58,1.92,-327.5,0.005862595419847328,-14.349999999999998,-0.5314814814814814,0.005819592628516005,325.58,3.2558,-1.0,5,0.18518518518518517,0,0.0,22,0.8148148148148148,0.4065074074074075,0.6167592592592592,0.4074074074074074,0.1111111111111111,0.037037037037037035,0.0,0.0,,,none,,,,,,,,
m5_corrective_exhaustion_bucket,C_reject_loser_or_no_mfe1,,61,2,0.03278688524590164,-679.8400000000003,5.97,-685.8100000000002,0.008705034922208773,-29.8822,-0.489872131147541,0.008652091696247885,679.8400000000003,6.798400000000003,-1.0,8,0.13114754098360656,0,0.0,53,0.8688524590163934,0.4673852459016396,0.6062098360655738,0.4262295081967213,0.19672131147540983,0.09836065573770492,0.0,0.0,,,strong_exhaustion,,,,,,,,
m15_wave2_completion_quality_bucket,A_required_light_pass,,5,2,0.4,28.569999999999997,62.44,-33.870000000000005,1.8435193386477706,1.1474000000000002,0.22948000000000005,1.774380778835122,33.870000000000005,0.3387,0.8435193386477707,0,0.0,2,0.4,3,0.6,0.7324200000000001,0.63402,0.6,0.4,0.4,0.4,0.0,,,,good,,,,,,,
m15_wave2_completion_quality_bucket,A_required_light_pass,,11,6,0.5454545454545454,83.18,138.16,-54.98,2.512913786831575,3.8335999999999997,0.3485090909090909,2.5483662506563274,27.83,0.2783,2.988860941430112,1,0.09090909090909091,4,0.36363636363636365,6,0.5454545454545454,0.7829818181818182,0.44128181818181816,0.6363636363636364,0.5454545454545454,0.45454545454545453,0.2727272727272727,0.0,,,,strong,,,,,,,
m15_wave2_completion_quality_bucket,C_reject_loser_or_no_mfe1,,88,2,0.022727272727272728,-1025.9000000000003,6.97,-1032.8700000000003,0.006748187090340505,-45.10850000000001,-0.5125965909090909,0.006705128487437517,1025.9000000000003,10.259000000000002,-1.0,13,0.14772727272727273,0,0.0,75,0.8522727272727273,0.4563772727272728,0.6155488636363636,0.4431818181818182,0.19318181818181818,0.07954545454545454,0.0,0.0,,,,good,,,,,,,
m15_wave2_completion_quality_bucket,C_reject_loser_or_no_mfe1,,4,0,0.0,-58.059999999999995,0,-58.059999999999995,0.0,-2.5974,-0.64935,0.0,58.059999999999995,0.5806,-1.0,1,0.25,0,0.0,3,0.75,0.29469999999999996,0.656675,0.25,0.0,0.0,0.0,0.0,,,,poor,,,,,,,
m15_wave2_completion_quality_bucket,C_reject_loser_or_no_mfe1,,20,2,0.1,-148.33,29.43,-177.76,0.16556030603060307,-6.6776,-0.33388,0.16079978886780363,159.31,1.5931000000000002,-0.9310777728956124,1,0.05,0,0.0,19,0.95,0.5024949999999999,0.50055,0.35,0.2,0.1,0.0,0.0,,,,strong,,,,,,,
m15_wave2_completion_quality_bucket,C_reject_loser_or_no_mfe1,,35,3,0.08571428571428572,-346.47,11.43,-357.90000000000003,0.03193629505448449,-15.274599999999996,-0.4364171428571427,0.03250611231457202,353.28000000000003,3.5328000000000004,-0.9807235054347826,2,0.05714285714285714,0,0.0,33,0.9428571428571428,0.46940857142857156,0.5734942857142858,0.42857142857142855,0.14285714285714285,0.11428571428571428,0.0,0.0,,,,weak,,,,,,,
m15_wave2_depth_bucket,A_required_light_pass,,2,0,0.0,-19.880000000000003,0,-19.880000000000003,0.0,-0.8891,-0.44455,0.0,19.880000000000003,0.19880000000000003,-1.0,0,0.0,0,0.0,2,1.0,0.18685000000000002,0.636,0.0,0.0,0.0,0.0,0.0,,,,,deep_618_786,,,,,,
m15_wave2_depth_bucket,A_required_light_pass,,10,6,0.6,89.68,138.16,-48.48,2.84983498349835,4.1395,0.41395,2.9076036866359454,21.33,0.2133,4.204406938584154,1,0.1,4,0.4,5,0.5,0.8491199999999999,0.45481999999999995,0.7,0.6,0.5,0.3,0.0,,,,,preferred_382_618,,,,,,
m15_wave2_depth_bucket,A_required_light_pass,,4,2,0.5,41.949999999999996,62.44,-20.490000000000002,3.0473401659346018,1.7306,0.43265,2.9260990539788536,20.490000000000002,0.2049,2.0473401659346018,0,0.0,2,0.5,2,0.5,0.8525,0.551,0.75,0.5,0.5,0.5,0.0,,,,,shallow_236_382,,,,,,
m15_wave2_depth_bucket,C_reject_loser_or_no_mfe1,,9,0,0.0,-106.14,0,-106.14,0.0,-4.6537,-0.5170777777777777,0.0,106.14,1.0614000000000001,-1.0,1,0.1111111111111111,0,0.0,8,0.8888888888888888,0.4845111111111111,0.5877111111111111,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,,,,,deep_618_786,,,,,,
m15_wave2_depth_bucket,C_reject_loser_or_no_mfe1,,15,1,0.06666666666666667,-173.51000000000002,0.92,-174.42999999999998,0.005274322077624263,-7.751800000000001,-0.5167866666666667,0.005171904878017479,173.51000000000002,1.7351,-1.0,1,0.06666666666666667,0,0.0,14,0.9333333333333333,0.33577333333333337,0.6059666666666667,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,,,,,none,,,,,,
m15_wave2_depth_bucket,C_reject_loser_or_no_mfe1,,20,2,0.1,-150.10000000000002,29.43,-179.53,0.16392803431181419,-6.810399999999999,-0.34051999999999993,0.15816017503306593,169.35000000000002,1.6935000000000002,-0.886330085621494,1,0.05,0,0.0,19,0.95,0.4989149999999999,0.4966800000000001,0.4,0.2,0.1,0.0,0.0,,,,,preferred_382_618,,,,,,
m15_wave2_depth_bucket,C_reject_loser_or_no_mfe1,,36,1,0.027777777777777776,-412.14,1.92,-414.06,0.004637009129111723,-18.075799999999994,-0.5021055555555554,0.00462560160354189,412.14,4.1214,-1.0,4,0.1111111111111111,0,0.0,32,0.8888888888888888,0.4043638888888889,0.6222777777777778,0.3333333333333333,0.1388888888888889,0.05555555555555555,0.0,0.0,,,,,shallow_236_382,,,,,,
m15_wave2_depth_bucket,C_reject_loser_or_no_mfe1,,67,3,0.04477611940298507,-736.8700000000005,15.559999999999999,-752.4300000000003,0.020679664553513274,-32.36639999999999,-0.48308059701492523,0.020974113576004698,743.6800000000004,7.436800000000004,-0.9908428356282273,10,0.14925373134328357,0,0.0,57,0.8507462686567164,0.5057701492537314,0.5994597014925372,0.5074626865671642,0.208955223880597,0.13432835820895522,0.0,0.0,,,,,too_shallow,,,,,,
target_room_bucket,A_required_light_pass,,16,8,0.5,111.75,200.6,-88.85,2.257737760270118,4.981000000000001,0.31131250000000005,2.258591065292096,51.93,0.5193,2.151935297515887,1,0.0625,6,0.375,9,0.5625,0.7671812499999999,0.5015125000000001,0.625,0.5,0.4375,0.3125,0.0,,,,,,lt_1_0r,,,,,
target_room_bucket,C_reject_loser_or_no_mfe1,,147,7,0.047619047619047616,-1578.7600000000007,47.83,-1626.5900000000004,0.029405074419491074,-69.65810000000002,-0.4738646258503403,0.029227109356382036,1585.5700000000006,15.855700000000006,-0.9957050146004276,17,0.11564625850340136,0,0.0,130,0.8843537414965986,0.4613551020408161,0.591008843537415,0.4217687074829932,0.17687074829931973,0.08843537414965986,0.0,0.0,,,,,,lt_1_0r,,,,,
sma75_granville_quality_bucket,A_required_light_pass,,2,2,1.0,58.599999999999994,58.599999999999994,0,inf,2.6319,1.31595,inf,0.0,0.0,inf,0,0.0,2,1.0,0,0.0,1.34305,0.15560000000000002,1.0,1.0,1.0,1.0,0.0,,,,,,,expansion,,,,
sma75_granville_quality_bucket,A_required_light_pass,,7,2,0.2857142857142857,-22.24,37.74,-59.980000000000004,0.6292097365788596,-0.9296000000000002,-0.13280000000000003,0.6550393350155855,55.199999999999996,0.5519999999999999,-0.4028985507246377,1,0.14285714285714285,1,0.14285714285714285,5,0.7142857142857143,0.46568571428571426,0.5979571428571429,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,,,,,,,none,,,,
sma75_granville_quality_bucket,A_required_light_pass,,7,4,0.5714285714285714,75.39,104.26,-28.869999999999997,3.6113612746795987,3.2786999999999997,0.46838571428571424,3.5963731390560656,28.869999999999997,0.28869999999999996,2.6113612746795987,0,0.0,3,0.42857142857142855,4,0.5714285714285714,0.9041428571428572,0.5039,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.0,,,,,,,reclaim_only,,,,
sma75_granville_quality_bucket,C_reject_loser_or_no_mfe1,,65,3,0.046153846153846156,-735.0400000000002,9.649999999999999,-744.69,0.01295841222522123,-32.167999999999985,-0.49489230769230746,0.013490595837205098,741.8500000000001,7.418500000000002,-0.9908202466805959,9,0.13846153846153847,0,0.0,56,0.8615384615384616,0.4485092307692309,0.5991123076923076,0.4307692307692308,0.15384615384615385,0.07692307692307693,0.0,0.0,,,,,,,expansion,,,,
sma75_granville_quality_bucket,C_reject_loser_or_no_mfe1,,34,2,0.058823529411764705,-372.78999999999996,29.43,-402.21999999999997,0.07316891253542837,-16.435199999999995,-0.4833882352941175,0.07222814950295518,372.78999999999996,3.7279,-1.0,7,0.20588235294117646,0,0.0,27,0.7941176470588235,0.5747176470588237,0.636729411764706,0.5882352941176471,0.2647058823529412,0.11764705882352941,0.0,0.0,,,,,,,none,,,,
sma75_granville_quality_bucket,C_reject_loser_or_no_mfe1,,45,2,0.044444444444444446,-444.60000000000014,8.75,-453.35000000000014,0.019300761001433766,-19.858,-0.4412888888888889,0.018669882090157047,444.60000000000014,4.4460000000000015,-1.0,1,0.022222222222222223,0,0.0,44,0.9777777777777777,0.37758444444444444,0.5490577777777779,0.28888888888888886,0.13333333333333333,0.06666666666666667,0.0,0.0,,,,,,,reclaim_only,,,,
sma75_granville_quality_bucket,C_reject_loser_or_no_mfe1,,3,0,0.0,-26.33,0,-26.33,0.0,-1.1969,-0.3989666666666667,0.0,26.33,0.2633,-1.0,0,0.0,0,0.0,3,1.0,0.7114666666666666,0.5265333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,,,,,,,strong_expansion,,,,
entry_pattern,A_required_light_pass,,1,1,1.0,31.79,31.79,0,inf,1.3029,1.3029,inf,0.0,0.0,inf,0,0.0,1,1.0,0,0.0,1.3029,0.8229,1.0,1.0,1.0,1.0,0.0,,,,,,,,bos_down,,,
entry_pattern,A_required_light_pass,,3,2,0.6666666666666666,32.489999999999995,41.86,-9.37,4.467449306296692,1.513,0.5043333333333333,4.699266503667482,9.37,0.09369999999999999,3.4674493062966913,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0.9282333333333334,0.40499999999999997,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,,,,,,,,double_bottom,,,
entry_pattern,A_required_light_pass,,4,2,0.5,25.54,60.86,-35.32,1.7231030577576443,1.0457,0.261425,1.6565992716312947,35.32,0.3532,0.7231030577576444,1,0.25,2,0.5,1,0.25,0.851825,0.674,0.75,0.5,0.5,0.5,0.0,,,,,,,,double_top,,,
