run_id,period_id,scenario_key,scenario_mode,scenario_name,from_date,to_date,variant,variant_name,preset,tester_ini,log_folder,InpTopContextTF,InpStructureTF,InpPrimaryEntryTF,InpSessionGateMode,InpUseM5CorrectiveABC,InpM5CorrectiveMode,InpM15WaveContextMode,InpM15Wave2ExpansionMode,InpM15Wave2GateMode,InpM15Wave2AdjacentMode,InpUseM15Wave1Quality,InpM15Wave1QualityMode,InpM15Wave1QualityCombineMode,InpUseM15SwingAnchorBias,InpM15SwingAnchorMode,InpM15AnchorBreakUseClose,InpM15AnchorBreakMinAtr,InpM15AnchorLookbackBars,InpM15AnchorMinSwingStrength,InpM15RequirePullbackAfterBiasFlip,InpM15BiasFlipMaxAgeBars,InpM15AnchorFlipRequireHighMediumM5Pattern,InpM15AnchorFlipRequireCorrectiveExhaustion,InpM15AnchorRangeMode,InpExitMode,InpMaxHoldBars
q1_base,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,base,baseline_c10_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_base.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_base.ini,fx_session_reversal_m15_anchor_bias_q1_base,16385,15,5,0,false,0,0,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,1,30
q1_light,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light,required_light_original_reproduce,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light.ini,fx_session_reversal_m15_anchor_bias_q1_light,16385,15,5,0,true,2,3,0,0,0,false,0,0,false,0,true,0.05,96,2,false,24,false,false,0,1,30
q1_anchor_diag,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_diag,anchor_bias_diagnostic_only,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_diag.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_diag.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_diag,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,1,true,0.05,96,2,false,24,false,false,0,1,30
q1_anchor_aligned,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_aligned,anchor_bias_aligned_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_aligned.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_aligned.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_aligned,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,3,true,0.05,96,2,false,24,false,false,0,1,30
q1_anchor_flip,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_flip,anchor_bias_flip_required,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_flip,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,false,24,false,false,0,1,30
q1_anchor_flip_pullback,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,anchor_flip_pullback,anchor_bias_flip_plus_pullback,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip_pullback.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_anchor_flip_pullback.ini,fx_session_reversal_m15_anchor_bias_q1_anchor_flip_pullback,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,4,true,0.05,96,2,true,24,false,false,0,1,30
q1_light_and_anchor,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_and_anchor,required_light_and_anchor_aligned,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_and_anchor.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_and_anchor.ini,fx_session_reversal_m15_anchor_bias_q1_light_and_anchor,16385,15,5,0,true,2,3,0,0,0,false,0,0,true,3,true,0.05,96,2,false,24,false,false,0,1,30
q1_light_or_anchor_flip,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_flip,required_light_or_anchor_flip,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_flip.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_flip.ini,fx_session_reversal_m15_anchor_bias_q1_light_or_anchor_flip,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,false,0,1,30
q1_light_or_anchor_m5pattern,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_m5pattern,required_light_or_anchor_flip_plus_m5_pattern,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_m5pattern.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_m5pattern.ini,fx_session_reversal_m15_anchor_bias_q1_light_or_anchor_m5pattern,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,true,false,0,1,30
q1_light_or_anchor_exhaustion,q1_quick,all,0,session_reversal_pullback_all_symbols_first120,2025.01.01,2025.03.31,light_or_anchor_exhaustion,required_light_or_anchor_flip_plus_corrective_exhaustion,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_exhaustion.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_anchor_q1_light_or_anchor_exhaustion.ini,fx_session_reversal_m15_anchor_bias_q1_light_or_anchor_exhaustion,16385,15,5,0,true,1,1,6,5,9,false,0,0,true,5,true,0.05,96,2,false,24,false,true,0,1,30
